"TI3";""Sciae"";""Carang"";""Centrop"";""Haemu"";""PecDeFon"";""Calli"";""PecAgu"";""PelaMen"";""Gerre"";""Gobi"";""Mugil"";""Palaemo"";""Panae"";""MicroCrus"";""Gusan"";""Gastro"";""Elop"";""Lutja"";""Poeci"";""Bivalv"";""ProdPrimBen"";""Ari"";""Zoopl"";""Chan"";""Fitopl"";;SUM
""Bivalv"";"0,02";"0,05";"0,02";"0,04";"0,07";"0,04";"0,02";"0,03";"0,04";"0,02";"0,05";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,05";"0,02";"0,04";"0,02";"0,04";"0,05";"0,03";"0,09";;"0,85"
""ProdPrimBen"";"0,04";"0,06";"0,06";"0,06";"0,03";"0,06";"0,06";"0,06";"0,06";"0,06";"0,06";"0,07";"0,06";"0,05";"0,06";"0,06";"0,04";"0,04";"0,08";"0,03";"0,04";"0,06";"0,04";"0,09";"0,04";;"1,35"
""Ari"";"0,04";"0,04";"0,06";"0,06";"0,08";"0,06";"0,06";"0,06";"0,06";"0,06";"0,06";"0,07";"0,06";"0,05";"0,06";"0,06";"0,04";"0,04";"0,04";"0,07";"0,06";"0,04";"0,04";"0,09";"0,04";;"1,37"
""Zoopl"";"0,02";"0,03";"0,04";"0,05";"0,02";"0,02";"0,05";"0,06";"0,04";"0,04";"0,05";"0,06";"0,02";"0,04";"0,02";"0,03";"0,02";"0,02";"0,02";"0,06";"0,03";"0,03";"0,04";"0,09";"0,11";;"1,03"
""Chan"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,03";"0,01";"0,01";"0,01";"0,02";"0,03";"0,03";"0,04";"0,03";"0,09";;"0,51"
""Fitopl"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,05";"0,01";"0,01";"0,05";"0,07";"0,04";;"0,45"


"WI3";""Sciae"";""Carang"";""Centrop"";""Haemu"";""PecDeFon"";""Calli"";""PecAgu"";""PelaMen"";""Gerre"";""Gobi"";""Mugil"";""Palaemo"";""Panae"";""MicroCrus"";""Gusan"";""Gastro"";""Elop"";""Lutja"";""Poeci"";""Bivalv"";""ProdPrimBen"";""Ari"";""Zoopl"";""Chan"";""Fitopl"";;SUM
""Sciae"";"1863993,53";"133902,39";"1782267,40";"938458,03";"965301,43";"35230465,78";"11928471,63";"60881465,83";"8091159,31";"1273337,20";"28927727,14";"10308859,94";"95462854,85";"1140903205,25";"686251900,20";"198786913,51";"89662,68";"20846,58";"733570,82";"709555111,17";"547146701,46";"2783205,13";"5718051454,11";"1104895,09";"4045336920,65";;"13308552651,10"
""Carang"";"107121,91";"7368,78";"102924,06";"56320,76";"54870,91";"1961708,05";"669162,64";"4637178,56";"451677,27";"71892,19";"1591252,02";"588245,24";"4960767,19";"67155445,46";"32311209,93";"9292829,13";"4938,89";"1162,42";"36373,07";"63811329,82";"30833043,91";"150128,07";"517045915,77";"88390,14";"348413162,43";;"1084404418,60"
""Centrop"";"1901085,23";"137232,08";"979466,18";"630231,29";"657099,91";"24848205,26";"5140448,18";"47782941,34";"3430551,96";"539308,97";"14939469,01";"3781831,45";"39227052,95";"713860602,29";"350086419,13";"84007200,82";"60280,92";"13579,11";"326794,91";"1015850279,97";"267090402,52";"1998709,25";"9339609438,23";"1452971,65";"1437596270,04";;"13355947872,65"
""Haemu"";"813330,29";"61014,15";"512062,93";"298879,38";"320203,98";"13196418,08";"2738070,08";"35489916,27";"1904636,52";"303872,95";"7780711,14";"2317200,63";"22374417,46";"518487571,45";"168491365,85";"43283968,96";"29078,17";"7296,67";"173280,55";"892405985,69";"149267150,45";"929912,73";"8263686012,04";"1247800,84";"910011442,17";;"11036131599,42"
""PecDeFon"";"450474,00";"32008,03";"287481,21";"172417,53";"173343,47";"5987560,57";"1804845,14";"8812069,60";"1183459,58";"182303,11";"4597449,62";"1365955,58";"13617751,84";"161419115,72";"118267903,71";"31421065,69";"16523,60";"3579,49";"113047,08";"94524422,80";"80072855,68";"545429,33";"779004416,71";"153900,24";"488270655,46";;"1792480034,78"
""Calli"";"35230465,78";"2452135,06";"23295192,43";"15226636,25";"12830486,94";"427079240,42";"154752925,85";"1358822685,94";"97887772,22";"14639324,28";"341911259,57";"112115166,90";"889505312,06";"15340683552,99";"7405286084,67";"1925292266,10";"1210750,01";"273931,00";"7135406,26";"20477879637,03";"5723074709,91";"40914842,13";"169103555662,36";"27071479,06";"98346258738,74";;"321884385663,98"
""PecAgu"";"11133240,19";"780689,74";"4497892,15";"2948690,86";"3609690,28";"144436064,13";"10537471,59";"366064488,61";"8306949,95";"1689421,22";"60766639,20";"10296390,59";"118323593,43";"4734818552,65";"810873486,54";"98314757,36";"313862,17";"74218,54";"838945,56";"11093790663,67";"1320682679,06";"9337565,12";"105120876323,17";"15257656,89";"2857625863,97";;"126806195796,66"
""PelaMen"";"44646408,28";"4250747,01";"32850772,17";"30029929,15";"13847537,94";"996469969,69";"287622098,19";"4986842979,88";"169240121,16";"21635171,53";"341055550,28";"127361151,60";"398373675,89";"36620432363,45";"3329203367,76";"421459126,47";"1139284,78";"411280,84";"3077634,64";"93469795905,64";"4453700544,97";"41599821,51";"798451554433,68";"116405053,96";"406260525910,34";;"1350623530840,80"
""Gerre"";"7551748,69";"526956,81";"3001732,97";"2051147,02";"2366919,16";"91361920,74";"8306949,95";"215396517,84";"6019747,65";"1143280,83";"40586627,79";"6802228,65";"75720953,59";"2679011980,57";"602039912,55";"81295070,96";"208809,12";"47776,10";"571235,76";"6082862977,01";"830607605,76";"6401051,77";"57270084665,61";"8345626,61";"3130830953,19";;"71153144396,71"
""Gobi"";"1188448,05";"83874,22";"471895,35";"327247,80";"364606,21";"13663369,33";"1689421,22";"27535672,85";"1143280,83";"195833,31";"6736771,10";"1147295,65";"14001578,66";"373820720,87";"137299873,83";"25546592,57";"33060,69";"7280,23";"119349,11";"734621251,79";"125110254,76";"1067584,46";"6945220671,05";"1029903,12";"301279676,34";;"8713705513,40"
""Mugil"";"25070696,86";"1723856,36";"12138318,57";"7780711,14";"8538120,73";"296323091,63";"56426164,97";"403065650,33";"37687582,95";"6255573,16";"184335323,47";"42889986,21";"461907982,37";"6518783439,93";"4059287978,84";"924955419,18";"791673,67";"166605,78";"3798194,30";"7157800522,78";"3402586221,76";"24987024,39";"65500118622,32";"10638454,31";"12294038386,09";;"101442095602,10"
""Palaemo"";"6872573,29";"490204,37";"2363644,65";"1782462,02";"1951365,11";"74743444,60";"7354564,71";"115782865,09";"4858734,75";"819496,89";"32992297,09";"3720594,13";"56349178,11";"1492311898,65";"687641442,34";"109203851,50";"177749,05";"38323,07";"530992,25";"3000045751,67";"580623259,04";"5897493,65";"28598328416,69";"4229699,23";"781899355,76";;"35571009657,74"
""Panae"";"82734474,20";"5374164,45";"31871980,52";"22374417,46";"25290110,56";"770904603,78";"109871908,18";"470805253,32";"70312314,05";"13001465,90";"461907982,37";"73253931,54";"928934204,58";"7658586575,01";"9347311532,56";"1674221916,70";"2311857,51";"426609,99";"7990613,62";"1713664892,42";"8581583573,53";"71963711,77";"15274724785,34";"4309150,89";"14437331160,64";;"61841063190,87"
""MicroCrus"";"1597264487,35";"117522029,55";"936942040,50";"837556846,19";"484257347,17";"21476956974,18";"7102227828,98";"69911734512,05";"4018517970,85";"560731081,31";"10530342479,89";"3133854987,17";"12371562928,87";"249730691819,17";"118104713766,15";"12662581575,04";"41940846,26";"9408646,23";"100426351,57";"472849061446,85";"152390501216,78";"1336442239,54";"2399239520805,29";"389042346,85";"9537369567411,94";;"13077303369985,70"
""Gusan"";"823502280,24";"48466814,89";"393847221,53";"233295737,33";"304117466,67";"8886343301,61";"1042551625,55";"5447787329,06";"774051316,13";"176528409,21";"5620552586,08";"1237754596,22";"12942431352,77";"101232611799,56";"70878839676,85";"11087082887,87";"26466226,47";"4889352,96";"85424070,95";"42444683623,84";"128871369957,26";"698326399,89";"360049162541,37";"71945070,33";"264194819024,58";;"1017576850669,22"
""Gastro"";"185534452,61";"10841633,99";"73506300,72";"46613505,04";"62842131,38";"1796939448,36";"98314757,36";"536402524,60";"81295070,96";"25546592,57";"996105836,05";"152885392,11";"1803008217,98";"8441721050,02";"8623286690,56";"29334481,19";"5411527,70";"954104,76";"10868000,68";"44101160,45";"23888478329,45";"140363585,26";"3496463425,16";"1501057,36";"14081604418,65";;"64633923694,97"
""Elop"";"53797,61";"3704,17";"33908,02";"20131,04";"21244,63";"726450,01";"201768,54";"932142,09";"134234,44";"21253,30";"548081,77";"159974,15";"1600516,73";"17974648,40";"13233113,24";"3478839,23";"1980,51";"418,06";"12971,25";"9305234,51";"9902463,02";"63614,98";"76112166,84";"15666,41";"50660821,47";;"185219144,41"
""Lutja"";"18067,04";"1259,29";"11033,03";"7296,67";"6647,62";"237406,87";"68917,22";"486059,17";"44363,52";"6760,22";"166605,78";"49819,99";"426609,99";"5824400,05";"3531199,36";"885954,42";"603,87";"132,16";"3426,31";"5731902,14";"2879192,59";"20041,49";"45000180,53";"7742,36";"38682722,35";;"104098344,03"
""Poeci"";"342333,05";"21217,62";"142972,77";"93304,91";"113047,08";"3329856,25";"419472,78";"1958494,77";"285617,88";"59674,56";"2045181,55";"371694,57";"4302638,10";"33475450,52";"33220472,04";"5434000,34";"10088,75";"1844,94";"32519,88";"9882133,82";"42433796,40";"290784,57";"85836222,51";"20262,54";"73329311,23";;"297452393,44"
""Bivalv"";"473036740,78";"53176108,18";"634906424,98";"686466142,84";"135034889,71";"13651919758,02";"7924136188,33";"84972541732,40";"4344902126,44";"524729465,57";"5506000402,14";"3000045751,67";"1318203763,40";"225166219736,60";"23580379791,02";"31500828,89";"10339149,46";"4409155,49";"14117334,03";"592250985731,25";"29970611426,88";"444312475,31";"2848659553903,63";"444761240,18";"12426868186868,20";;"16270670477135,40"
""ProdPrimBen"";"620099594,98";"43680145,54";"283783552,67";"195195504,43";"194462649,50";"6486151337,90";"1603686110,29";"6882991751,31";"1008594949,86";"151919595,07";"4449535828,46";"987059540,38";"11222070826,93";"123363739080,25";"121711849404,08";"29007437971,47";"18704652,38";"3765098,00";"103053505,55";"50950039425,70";"70752229416,26";"644538895,82";"423499114242,41";"96703723,82";"294747728998,24";;"1149028135801,30"
""Ari"";"3154299,15";"212681,43";"2123628,58";"1216039,72";"1324614,10";"46370154,42";"11338471,93";"64290633,24";"7772705,73";"1296352,56";"32675339,59";"10025739,21";"94106392,32";"1081881812,96";"659530488,78";"170441496,39";"120161,63";"26208,11";"706191,09";"755331208,03";"644538895,82";"3593711,92";"6164430406,62";"1134498,39";"4206452826,12";;"13964094957,84"
""Zoopl"";"4574441163,29";"517045915,77";"7004707078,67";"7628017857,27";"1335436142,92";"135282844529,89";"90103608277,00";"871038059382,20";"49088643999,09";"5953046289,47";"60461647959,07";"34317994100,03";"14099745955,69";"1370994011888,74";"240032775027,58";"2996968650,14";"101482889,12";"41538628,18";"147147810,01";"3418391464684,35";"298940551229,94";"4351362639,96";"777304846353,66";"525193658,63";"141450036667394,00";;"148845269249505,00"
""Chan"";"441958,04";"44195,07";"544864,37";"575908,08";"131914,49";"10828591,62";"6538995,81";"63493665,80";"3576697,12";"441387,05";"4910055,84";"2537819,54";"1988838,87";"111154956,24";"23981690,11";"643310,30";"10444,27";"3573,40";"17367,89";"266856744,11";"34130726,05";"400411,20";"262596829,31";"68247,09";"10160695977,19";;"10956615168,85"
""Fitopl"";"1348445640,22";"145172151,01";"449248834,39";"350004400,84";"348764753,90";"32782086246,25";"1020580665,70";"184663875413,79";"1118153911,85";"107599884,41";"4728476302,34";"390949677,88";"5552819677,17";"2270802277955,22";"73387449729,05";"5029144435,23";"28144900,82";"14877970,13";"52378079,45";"6213434093434,11";"86690508528,89";"1237192007,68";"58937515278080,80";"8467246647,65";"777291190848,26";;"68606955960177,10"

