TI3;"Rast""""";"Scomber""""";"Caran""""";"Lpisc""""";"Cepha""""";"Tuna""""";"Mamm""""";"Zoopl""""";"Jpela""""";"Phyto""""";"Spela""""";"Sha""""";"Shri""""";"TraFish""""";"Sdem""""";"Lutja""""";"PonyFish""""";"Benth""""";"Pomf""""";"Nemi""""";"FalTrev""""";"SergShri""""";"Jcaranx""""";"Scian""""";"Saur""""";"Plecto""""";"Silla""""";"DemPisc""""";"DemBenth""""";"Jsaur""""";"Jnemi""""";"Ari""""";"Pria""""";"ShellFish""""";"Ray""""";"Cucu""""";"CrabLobs""""";"Jelly""""";;SUM
"Spela""""";0,03;0,06;0,04;0,04;0,02;0,03;0,06;0,04;0,02;0,07;0,04;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,05;0,02;0,07;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0;0,01;0,02;;0,89
"Sha""""";0,02;0,06;0,05;0,05;0,02;0,04;0,02;0,02;0,01;0,02;0,02;0,04;0,05;0,05;0,05;0,05;0,02;0,04;0,06;0,03;0,01;0,02;0,01;0,02;0,03;0,09;0,03;0,05;0,06;0,01;0,01;0,07;0,03;0,04;0,02;0,01;0,03;0,01;;1,29
"Shri""""";0,02;0,06;0,05;0,03;0,04;0,03;0,03;0,04;0,02;0,02;0,02;0,06;0,05;0,03;0,06;0,07;0,03;0,05;0,06;0,08;0,02;0,03;0,02;0,05;0,03;0,09;0,09;0,06;0,06;0,03;0,03;0,08;0,08;0,04;0,17;0,12;0,03;0,02;;1,93
"TraFish""""";0,03;0,07;0,05;0,05;0,05;0,02;0,07;0,04;0,02;0,08;0,03;0,05;0,03;0,04;0,03;0,06;0,04;0,04;0,06;0,03;0,02;0,03;0,02;0,05;0,07;0,03;0,03;0,05;0,06;0,03;0,03;0,03;0,08;0,03;0,02;0;0,03;0,03;;1,52
"Sdem""""";0,03;0,06;0,05;0,05;0,03;0,04;0,07;0,04;0,02;0,02;0,03;0,05;0,05;0,03;0,04;0,06;0,03;0,04;0,06;0,03;0,02;0,07;0,02;0,05;0,06;0,03;0,03;0,05;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,01;0,02;0,02;;1,39
"Lutja""""";0,01;0,02;0,04;0,02;0,04;0,02;0,02;0,02;0,01;0,01;0,01;0,05;0,05;0,04;0,04;0,04;0,02;0,04;0,02;0,06;0,01;0,06;0,01;0,02;0,02;0,02;0,08;0,05;0,02;0,01;0,01;0,03;0,07;0,01;0,02;0,01;0,02;0,01;;1,11
"PonyFish""""";0,01;0,01;0,04;0,02;0,04;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,03;0,03;0,01;0,01;0,01;0,02;0,02;0,05;0,06;0,01;0,02;0,04;0,05;0,02;0,02;0,02;0,07;0,01;0,01;0;0,02;0,02;;0,85
"Benth""""";0,03;0,03;0,06;0,04;0,03;0,04;0,07;0,05;0,02;0,09;0,03;0,07;0,07;0,06;0,06;0,08;0,08;0,06;0,07;0,08;0,02;0,08;0,02;0,06;0,09;0,09;0,1;0,07;0,08;0,03;0,03;0,1;0,09;0,06;0,18;0,12;0,15;0,03;;2,54
"Pomf""""";0,02;0,02;0,02;0,04;0,01;0,04;0,02;0,03;0,01;0,02;0,06;0,04;0,04;0,04;0,04;0,02;0,01;0,03;0,03;0,06;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0,02;0,02;;0,9
"Nemi""""";0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,03;0,01;0,02;0,04;0,01;0,03;0,05;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,02;;0,71
"FalTrev""""";0,02;0,01;0,01;0,03;0,02;0,03;0,01;0,03;0,08;0,01;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,06;0,09;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0;0;0,01;0,02;;0,74
"SergShri""""";0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,02;0,01;0,04;0,04;0,01;0,03;0,01;0,01;0,06;0,03;0,03;0,05;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,06;0,02;0,02;0,01;0;0,01;0,02;;0,78
"Jcaranx""""";0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,03;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,06;0,02;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0;0,01;0;0;0;0,01;0,02;;0,5
"Scian""""";0,02;0,02;0,02;0,03;0,03;0,03;0,02;0,03;0,08;0,01;0,01;0,01;0,03;0,04;0,04;0,02;0,06;0,03;0,02;0,02;0,03;0,06;0,09;0,04;0,02;0,01;0,02;0,02;0,02;0,11;0,11;0,02;0,02;0,01;0,01;0,01;0,02;0,02;;1,2
"Saur""""";0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,04;0,03;0,01;0,05;0,03;0,01;0,01;0,01;0,02;0,01;0,02;0,03;0,01;0,01;0,02;0,05;0,01;0,01;0,06;0,02;0,02;0,01;0;0,02;0;;0,74
"Plecto""""";0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,08;0,01;0,01;0,02;0;;0,58
"Silla""""";0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,04;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0;;0,52
"DemPisc""""";0,02;0,02;0,03;0,05;0,04;0,04;0,02;0,02;0,01;0,02;0,02;0,05;0,05;0,05;0,05;0,07;0,07;0,05;0,03;0,07;0,02;0,03;0,02;0,02;0,04;0,03;0,09;0,04;0,06;0,02;0,02;0,08;0,08;0,03;0,02;0,01;0,03;0,01;;1,41
"DemBenth""""";0,01;0,01;0,02;0,04;0,02;0,04;0,01;0,01;0,01;0,02;0,01;0,05;0,04;0,04;0,02;0,02;0,06;0,04;0,02;0,02;0,01;0,01;0,01;0,02;0,07;0,03;0,02;0,05;0,04;0,01;0,01;0,03;0,02;0,09;0,02;0,01;0,14;0,01;;1,12
"Jsaur""""";0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,02;0,02;0,01;0,01;0;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0;0,02;0,02;0;0,01;0;0;0;0,01;0,02;;0,38
"Jnemi""""";0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,02;0,02;0,01;0,01;0;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0;0,02;0,02;0;0,01;0;0;0;0,01;0,02;;0,38
"Ari""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,02;0,01;0,04;0,03;0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,05;0,01;0,01;0,06;0,02;0,01;0,04;0,02;0,01;0,01;0,04;0,01;0,08;0,01;0,01;0,01;0,01;;0,7
"Pria""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,04;0,05;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,04;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,02;;0,63
"ShellFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,07;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,07;0,01;0,01;0,04;0,01;0,01;0,06;0,01;0,04;0,01;0;0,01;0,02;;0,56
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0,01;0;0,02;0;0,01;0;0;0;0;0;0,01;0,01;0;0;0;0;0,01;0,01;0;0,12;0,46;0,01;0;;0,75
"Cucu""""";0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0,11;0;0;;0,3
"CrabLobs""""";0;0;0;0,01;0;0,02;0;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0,02;0,01;0,01;0;0;0;0;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0;0,01;0,01;0;0,02;0;;0,28
"Jelly""""";0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;;0,1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Rast""""";"Scomber""""";"Caran""""";"Lpisc""""";"Cepha""""";"Tuna""""";"Mamm""""";"Zoopl""""";"Jpela""""";"Phyto""""";"Spela""""";"Sha""""";"Shri""""";"TraFish""""";"Sdem""""";"Lutja""""";"PonyFish""""";"Benth""""";"Pomf""""";"Nemi""""";"FalTrev""""";"SergShri""""";"Jcaranx""""";"Scian""""";"Saur""""";"Plecto""""";"Silla""""";"DemPisc""""";"DemBenth""""";"Jsaur""""";"Jnemi""""";"Ari""""";"Pria""""";"ShellFish""""";"Ray""""";"Cucu""""";"CrabLobs""""";"Jelly""""";;SUM
"Ari""""";0;0,03;0,03;0,05;0,05;0,07;0;0,08;0;0,01;0;0,08;0,09;0,07;0,08;0,05;0,03;0,09;0,03;0,03;0,01;0,03;0;0,03;0,03;0,03;0,03;0,07;0,08;0;0;0;0,03;0,03;0;0;0;0;;1,2
"Benth""""";0,12;0,12;0,21;0,29;0,25;0,29;0,08;0,34;0,04;0,05;0,12;0,26;0,36;0,29;0,28;0,17;0,12;0;0,14;0,08;0,07;0,08;0,03;0,12;0,11;0,03;0,04;0,25;0,18;0,01;0,01;0,09;0,07;0,07;0,03;0,03;0,01;0;;4,82
"Caran""""";0,12;0,12;0;0,18;0,17;0,17;0,08;0,21;0,03;0,05;0,13;0,14;0,16;0,21;0,18;0,09;0,04;0,21;0,13;0,07;0,05;0,03;0;0,08;0,05;0,01;0,03;0,12;0,09;0;0;0,03;0,05;0,01;0;0;0;0;;3,05
"Cepha""""";0,13;0,12;0,17;0,24;0;0,25;0,09;0,33;0,08;0,04;0,12;0,13;0,2;0,22;0,2;0,12;0,09;0,25;0,09;0,07;0,11;0,08;0,04;0,17;0,08;0;0,04;0,14;0,09;0,01;0,01;0,05;0,07;0;0;0;0;0;;3,83
"CrabLobs""""";0;0;0;0,01;0;0,01;0;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0;0;0;0;0,01;0;0;0,01;0,01;0;0;0;0;0,01;0;0;0;0;;0,14
"Cucu""""";0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;;0,08
"DemBenth""""";0,03;0,04;0,09;0,14;0,09;0,13;0,01;0,14;0,01;0,03;0,03;0,17;0,17;0,13;0,12;0,07;0,07;0,18;0,08;0,05;0,03;0,01;0;0,07;0,08;0,03;0,03;0,17;0;0;0;0,08;0,05;0,05;0;0;0,01;0;;2,39
"DemPisc""""";0,04;0,07;0,12;0,21;0,14;0,17;0,04;0,2;0,03;0,01;0,03;0,21;0,24;0,17;0,17;0,14;0,09;0,25;0,11;0,07;0,03;0,05;0,01;0,09;0,11;0,01;0,04;0;0,17;0;0;0,07;0,07;0,04;0;0;0,01;0;;3,2
"FalTrev""""";0,07;0,03;0,05;0,08;0,11;0,11;0,03;0,11;0,04;0,01;0,07;0,03;0,04;0,04;0,07;0,01;0;0,07;0,05;0,03;0;0,03;0,01;0,07;0,01;0;0;0,03;0,03;0;0;0,01;0;0;0;0;0;0;;1,2
"Jcaranx""""";0,01;0,01;0;0,04;0,04;0,04;0,01;0,04;0,04;0;0,01;0;0,03;0,03;0,01;0,01;0,03;0,03;0;0;0,01;0,04;0;0,04;0,01;0;0;0,01;0;0,01;0,01;0;0;0;0;0;0;0;;0,53
"Jelly""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jnemi""""";0;0;0;0,01;0,01;0,01;0;0,01;0,01;0;0;0;0,01;0,01;0,01;0;0,01;0,01;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;;0,18
"Jpela""""";0,05;0,03;0,03;0,08;0,08;0,08;0,03;0,08;0;0,01;0,04;0,01;0,03;0,04;0,03;0,01;0,03;0,04;0,01;0,01;0,04;0,04;0,04;0,05;0,01;0;0;0,03;0,01;0,01;0,01;0;0;0;0;0;0;0;;0,96
"Jsaur""""";0;0;0;0,01;0,01;0,01;0;0,01;0,01;0;0;0;0,01;0,01;0,01;0;0,01;0,01;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;;0,18
"Lpisc""""";0,12;0,12;0,18;0;0,24;0,3;0,08;0,29;0,08;0,04;0,12;0,24;0,25;0,24;0,24;0,14;0,09;0,29;0,13;0,08;0,08;0,07;0,04;0,13;0,08;0,01;0,04;0,21;0,14;0,01;0,01;0,05;0,05;0,03;0;0;0,01;0;;4,24
"Lutja""""";0,03;0,08;0,09;0,14;0,12;0,13;0,05;0,14;0,01;0,01;0,01;0,13;0,17;0,13;0,14;0;0,07;0,17;0,08;0,04;0,01;0,05;0,01;0,08;0,04;0,01;0,04;0,14;0,07;0;0;0,05;0,05;0;0;0;0;0;;2,33
"Mamm""""";0,07;0,09;0,08;0,08;0,09;0,08;0;0,09;0,03;0,04;0,05;0,04;0,07;0,09;0,07;0,05;0,03;0,08;0,05;0;0,03;0,03;0,01;0,04;0,04;0;0;0,04;0,01;0;0;0;0,01;0;0;0;0;0;;1,38
"Nemi""""";0,03;0,01;0,07;0,08;0,07;0,07;0;0,08;0,01;0;0,04;0,08;0,07;0,07;0,08;0,04;0,01;0,08;0,05;0;0,03;0,01;0;0,03;0,01;0;0,04;0,07;0,05;0;0;0,03;0,04;0;0;0;0;0;;1,22
"Phyto""""";0,04;0,04;0,05;0,04;0,04;0,04;0,04;0,07;0,01;0;0,04;0,03;0,03;0,07;0,03;0,01;0;0,05;0,03;0;0,01;0;0;0,01;0,01;0,01;0;0,01;0,03;0;0;0,01;0,01;0,03;0;0;0;0;;0,79
"Plecto""""";0;0,01;0,01;0,01;0;0,03;0;0,01;0;0,01;0;0,03;0,03;0,03;0,01;0,01;0;0,03;0,01;0;0;0;0;0;0;0;0;0,01;0,03;0;0;0,03;0;0,01;0;0;0;0;;0,32
"Pomf""""";0,05;0,08;0,13;0,13;0,09;0,13;0,05;0,13;0,01;0,03;0,07;0,12;0,12;0,12;0,14;0,08;0,01;0,14;0;0,05;0,05;0,01;0;0,07;0,04;0,01;0,01;0,11;0,08;0;0;0,03;0,03;0;0;0;0;0;;2,13
"PonyFish""""";0,03;0,03;0,04;0,09;0,09;0,08;0,03;0,11;0,03;0;0,01;0,07;0,12;0,12;0,07;0,07;0;0,12;0,01;0,01;0;0,03;0,03;0,05;0,05;0;0,01;0,09;0,07;0,01;0,01;0,03;0,03;0,01;0;0;0,01;0;;1,54
"Pria""""";0;0,03;0,05;0,05;0,07;0,03;0,01;0,07;0;0,01;0;0,05;0,07;0,07;0,05;0,05;0,03;0,07;0,03;0,04;0;0,01;0;0,04;0,03;0;0,04;0,07;0,05;0;0;0,03;0;0;0;0;0;0;;1,03
"Rast""""";0;0,08;0,12;0,12;0,13;0,13;0,07;0,14;0,05;0,04;0,12;0,05;0,07;0,12;0,09;0,03;0,03;0,12;0,05;0,03;0,07;0,01;0,01;0,04;0,03;0;0;0,04;0,03;0;0;0;0;0,01;0;0;0;0;;1,82
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;;0,08
"Saur""""";0,03;0,04;0,05;0,08;0,08;0,05;0,04;0,09;0,01;0,01;0,01;0,08;0,11;0,09;0,07;0,04;0,05;0,11;0,04;0,01;0,01;0,04;0,01;0,07;0;0;0;0,11;0,08;0;0;0,03;0,03;0,03;0;0;0,01;0;;1,5
"Scian""""";0,04;0,05;0,08;0,13;0,17;0,16;0,04;0,18;0,05;0,01;0,03;0,07;0,12;0,11;0,09;0,08;0,05;0,12;0,07;0,03;0,07;0,07;0,04;0;0,07;0;0,01;0,09;0,07;0,01;0,01;0,03;0,04;0;0;0;0;0;;2,17
"Scomber""""";0,08;0;0,12;0,12;0,12;0,12;0,09;0,12;0,03;0,04;0,07;0,08;0,11;0,13;0,11;0,08;0,03;0,12;0,08;0,01;0,03;0,03;0,01;0,05;0,04;0,01;0,01;0,07;0,04;0;0;0,03;0,03;0;0;0;0;0;;1,97
"Sdem""""";0,09;0,11;0,18;0,24;0,2;0,22;0,07;0,25;0,03;0,03;0,11;0,21;0,24;0,21;0;0,14;0,07;0,28;0,14;0,08;0,07;0,07;0,01;0,09;0,07;0,01;0,04;0,17;0,12;0,01;0,01;0,08;0,05;0,01;0;0;0;0;;3,7
"SergShri""""";0,01;0,03;0,03;0,07;0,08;0,07;0,03;0,09;0,04;0;0,01;0,04;0,08;0,05;0,07;0,05;0,03;0,08;0,01;0,01;0,03;0;0,04;0,07;0,04;0;0,01;0,05;0,01;0,01;0,01;0,03;0,01;0,01;0;0;0;0;;1,2
"Sha""""";0,05;0,08;0,14;0,24;0,13;0,21;0,04;0,21;0,01;0,03;0,07;0;0,25;0,18;0,21;0,13;0,07;0,26;0,12;0,08;0,03;0,04;0;0,07;0,08;0,03;0,04;0,21;0,17;0;0;0,08;0,05;0,05;0;0;0,01;0;;3,37
"ShellFish""""";0,01;0;0,01;0,03;0;0,04;0;0,05;0;0,03;0,01;0,05;0,05;0,04;0,01;0;0,01;0,07;0;0;0;0,01;0;0;0,03;0,01;0;0,04;0,05;0;0;0,03;0;0;0;0;0,01;0;;0,61
"Shri""""";0,07;0,11;0,16;0,25;0,2;0,25;0,07;0,28;0,03;0,03;0,07;0,25;0;0,25;0,24;0,17;0,12;0,36;0,12;0,07;0,04;0,08;0,03;0,12;0,11;0,03;0,04;0,24;0,17;0,01;0,01;0,09;0,07;0,05;0,03;0,03;0,01;0;;4,2
"Silla""""";0;0,01;0,03;0,04;0,04;0,03;0;0,04;0;0;0;0,04;0,04;0,04;0,04;0,04;0,01;0,04;0,01;0,04;0;0,01;0;0,01;0;0;0;0,04;0,03;0;0;0,03;0,04;0;0;0;0;0;;0,64
"Spela""""";0,12;0,07;0,13;0,12;0,12;0,13;0,05;0,14;0,04;0,04;0;0,07;0,07;0,12;0,11;0,01;0,01;0,12;0,07;0,04;0,07;0,01;0,01;0,03;0,01;0;0;0,03;0,03;0;0;0;0;0,01;0;0;0;0;;1,76
"TraFish""""";0,12;0,13;0,21;0,24;0,22;0,22;0,09;0,28;0,04;0,07;0,12;0,18;0,25;0;0,21;0,13;0,12;0,29;0,12;0,07;0,04;0,05;0,03;0,11;0,09;0,03;0,04;0,17;0,13;0,01;0,01;0,07;0,07;0,04;0;0;0,01;0;;4
"Tuna""""";0,13;0,12;0,17;0,3;0,25;0;0,08;0,32;0,08;0,04;0,13;0,21;0,25;0,22;0,22;0,13;0,08;0,29;0,13;0,07;0,11;0,07;0,04;0,16;0,05;0,03;0,03;0,17;0,13;0,01;0,01;0,07;0,03;0,04;0;0;0,01;0;;4,17
"Zoopl""""";0,14;0,12;0,21;0,29;0,33;0,32;0,09;0;0,08;0,07;0,14;0,21;0,28;0,28;0,25;0,14;0,11;0,34;0,13;0,08;0,11;0,09;0,04;0,18;0,09;0,01;0,04;0,2;0,14;0,01;0,01;0,08;0,07;0,05;0;0;0;0;;4,74
