TI3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"Dab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"OFlatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LBottFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bream""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bass""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jcod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Crab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CommCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Hake""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Seal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ToothCet""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"OvWint""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jsole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"ProdPrim""""";22236777446;9,43527E+12;43090517548;2,24241E+11;1,28965E+11;1,04779E+13;2,78872E+11;87581765,72;1795381114;54620449445;9411825889;39250576439;980577970,5;82340555,44;280553059,6;640062114,6;91184138,92;16372133,08;121473295,5;31479823,41;5505542,56;67439089113;1618737729;163769145,4;646077113,1;146794159,9;8785599,22;38562308,93;288015472,4;1105823725;539662298,5;2417219636;134500443,9;9351135;49492091,38;66106028,87;54457591,23;16865019,9;138424676,1;370225457,9;6050562729;527679846;3882915,17;3226825,91;2519577,4;42873,72;142,52;752,04;;2,07998E+13
"Zoopl""""";2,35882E+13;25057303702;1,09238E+11;5,3306E+11;80272837903;12791760089;317576609,6;370487106,1;28836559455;71953437917;176731917,6;3,69772E+12;3174433050;25126095526;288657891,3;24062483482;1072163955;784256243,8;458434879,1;43927387,19;2366722836;3,66907E+11;2,12575E+11;32012754463;5,70834E+11;20599728326;10900226528;88762552,95;957663890,3;1542136497;3182484673;1687321142;4918505759;6125508,09;1056947501;4920835585;225193604,8;73284161,14;60346487,29;214608407,6;87754687527;19174167913;2047764,93;1502984,91;1982502,06;853440,01;1111365,95;6668186,36;;2,9545E+13
"SuspFeed""""";51708621057;52434219881;474121123,8;2386311018;892199219,4;57658536876;1534572917;1306900,15;86168038,77;456066198,7;53470708,85;8333094694;23699526,22;58162802,95;4442112,11;59024588,1;3204629,41;1848489,58;2094988,88;825015,95;5190594,02;1458693994;473847846,2;70743874,55;1238269091;48183063,23;23609621,08;537844,5;5107483,26;14760309,59;12727484,41;38156820,31;12662148,64;649758,94;3346291,81;12678298,57;1169425,03;804264,8;1281967,76;4760507,76;255953282,9;47677218,42;49030,99;34937,06;41666,32;13889,6;13448,63;80683,99;;1,79903E+11
"ShriPrawn""""";4,48482E+11;4,26448E+11;3977185030;19936722791;7329793182;4,68769E+11;12477205865;10518153,43;701223154,9;3787113425;416668627,7;71802586816;116111396,3;481515353,8;33243417,32;504161351,3;27093744,62;15893888,67;15141567,28;3830020,3;44559279,1;12270495307;4066337864;610212991,3;10696353589;399336265,3;203946251,3;4420247,84;43699888,82;129194471,2;106803061,2;210400447,4;104991773,6;1965954,66;25923986,04;101223577,2;9485492,72;3688256,81;9510868,38;37913555,24;2242835191;415765613,6;365877,37;263223,62;369709,96;137463,15;156564,78;939357,51;;1,49708E+12
"Echino""""";1,54758E+11;38530962193;892199219,4;4397875909;1070872716;43218789405;1149654864;2953285,45;205297798,4;692263402,3;45143550,95;23925036750;29997089,52;167467481,8;3264057,55;160490317,6;7224362,9;5129385,54;4192867,53;1336952,85;15652905,91;2374074227;1392705046;208116312,7;3710426143;139149494,4;70850928,43;479522,06;6755041,81;11953933,29;25092134,16;134024504,6;34137957,53;1545261,78;8076529,57;33560605,52;2537165,94;1219107,06;565405,2;4370360,89;590483877,2;127890106,9;62377,4;13089,16;26037,81;9595,36;8734,65;52404,47;;2,78162E+11
"Bivalv""""";1,67646E+13;8186726457;76878049168;3,75015E+11;57625052540;1293614247;20225996,3;265085469,5;20709212696;50620240544;2454153,03;2,59145E+12;2206266953;17683968575;206972342,1;16943776747;736325731,3;550987706,7;315028962,2;30730628,03;1666221382;2,57143E+11;1,49317E+11;22538986641;4,01904E+11;14512924469;7674485842;50807416,53;677227309,8;1112773022;2243400060;1177770527;3533123659;3576098,82;759641933,8;3538225301;161442429,2;52380400,77;16606019,2;154757876,9;63128845645;13788655577;1427073,79;23118,33;1441254,23;633679,98;832400,4;4994399,11;;2,09305E+13
"Scall""""";55774364588;25406128,76;255762152,8;1247720587;191609144;2528249,54;20131,93;881745,59;68744691,69;168417939,9;3505,56;8622461207;7324465,11;58785391,28;669004,36;56359442,87;2448922,27;1833038,66;1045994,8;101141,41;5543947,68;855573298,5;496815392,5;74992808,08;1337240397;48267125,82;25535091,45;168998,46;2246847,54;3684310,03;7457127,45;3889208,55;11740578,02;4614,04;2519092,74;11761655,75;535417,4;166835,79;54665,54;504641,46;209901860;45860976,03;4715,91;68,14;4558,26;1889,57;2514,64;15087,81;;69630981197
"Lobs""""";61307236;103736389,7;762358,42;3681353,7;1722749,84;115974892,9;3086109,56;2318,92;234980,94;762194,49;113564,74;8113317,18;33832,82;101999,62;21858,49;78761,88;4373,96;2202,31;5627,59;2679,75;5363,12;820253,04;481891,34;70994,29;1261045,47;66343,35;24026,64;226,73;12320,39;37484,42;22345,08;115608,83;27919,32;6596,25;10757,55;22289,24;4072,5;7238,85;1941,76;16018,51;463470,9;73386,63;80;20,54;426,52;400,18;457,84;2747,05;;303304529,2
"Sdemers""""";4488452784;28836559455;179516747,4;876528943,6;427703746,6;32358144837;859308646,2;839217,63;25171115,04;187334843,2;59024352,06;1001979235;35832534,07;12756293,02;2664674,96;21974812,59;2045528,67;342261,61;4519300,07;4635257,26;1829187,99;111068852,9;114583211,3;8442866,92;148840840,2;24012606,63;2839619,53;78980,56;1938330,37;7791191,22;20524523,09;541037671,2;3792077,52;5164432,01;3293447,27;2691644,07;4566580,85;1579148,95;1224743,1;12250482,26;46345396,59;4617277,14;215164,71;60200,9;60830,63;21016,58;8218,7;48940,23;;70454262068
"Pil""""";43696359556;23025100134;304044132,5;1514845370;461508934,9;25310120272;673671759,7;871079,42;59947149,82;263693680,8;22291198,92;6908882004;8527654,46;46136997,86;1745560,75;46620070,92;2290444,97;1495839,37;1122349,12;194409,22;4348914,65;963117402,9;393927607,5;59313178,94;1047717084;38225733,5;19991013,75;297394,09;2990568,69;7700506,34;8071205,92;9200723,79;9582868,64;14726,37;2171144,1;9459053,46;633716,78;170255,13;511456,47;1951942,98;190582167,4;38102363,67;19586,61;13731,68;14586,62;1653,11;2023,33;12130,64;;1,05158E+11
"Cepha""""";16000104011;120177703,9;75750170,86;354168333,6;63953363,85;2607537,6;29797,28;275800,09;40136559,4;47368797,69;914620,67;2428597959;5424448,38;23733815,39;3011983,53;18540690,01;859904,14;558745,65;684700,17;237427,22;1562512,83;295600346,8;140452420,8;21155492,57;376353524,9;16483621,48;7179413,98;59921,47;1688316,44;4172395,76;3429620,07;6388091,72;5162434,54;968678,24;1810928,75;4606440,89;432280,77;1068766,81;156294,24;1755760,64;79211766,64;14731497,2;6934,04;2119,81;44576,88;41244,32;47126,28;282726,37;;20171991625
"CarnZoopl""""";7850115288;2,95818E+11;1388849116;7180258682;3987506125;3,23931E+11;8622461207;2318090,62;80158338,78;1727220501;285717407;4062902613;36983286,16;14600881,35;15441922,21;44921533,53;5298785,01;1209980,65;4158786,06;1475980,18;1416148,96;5073812257;180951072,2;25399016,92;326972094,2;16248572,17;6020621,34;2161583,24;16165483,67;61666994,92;31111470,28;78225949,53;4925598,63;31216,5;2456528,85;3159611,65;2855000,21;476400,44;5997824,41;19846282,15;341180711,8;28464231,84;203487,84;176342,76;174089,22;26945,06;29549,27;177295,61;;6,61291E+11
"Sgado""""";1274751362;1650705186;25674486,73;75472407,61;32496846,98;1792591900;47609023,2;62832,37;18632917,72;13857438,5;4148107,58;240391360;3343995,17;7627376,29;2335489,04;4184779,57;466344,67;104954,91;625935,07;708272,55;201846,4;39646524,02;16319520,3;2085186,11;35871284,09;4287675,54;680011,55;21946,47;917512,48;2664403,01;1970406,21;28551858,88;1711442;992909,22;1029828,39;1173663,04;720981,61;865542,68;150469,16;1745736,76;20408146,63;1848304,7;28788,85;5228,57;30558,58;25008,49;27550,74;165056,85;;5359938407
"Mull""""";57638388,81;7035306747;33928301,72;168530373,8;97689364,41;7736736252;205748869,5;101999,62;3571762,04;40369873,13;9772747,51;51103084,71;4107048,77;429816,62;604327,28;2487231,29;307889,77;31620,85;509530,33;557035,38;141059,27;89793538,37;7820047,6;205686,33;587356,71;2150517,91;6197,35;51680,69;564218,96;2386217,18;2931956,95;62982351,42;402034,44;550269,01;390511,86;287998,55;584024,78;152785,51;222232,08;1851730,73;12962624,19;1045030,74;29185,56;10587,04;11002,95;3024,6;1759,51;10498,13;;15637668393
"Sole""""";140276529,8;57731578,25;1850880,05;8310854,33;1360023,98;64678856,89;1672510,91;15613,21;532934,99;1090975,47;885877,51;38604805,53;898265,01;431662,34;67482,57;638981,57;52236,28;11714,75;117855,36;112745,68;54601,81;3962002,46;3681729,18;336056,85;5963310,47;672505,81;113838,09;1448,61;50077,42;182584,79;514034,78;13280828,04;86525,38;129008,12;80194,42;53416,7;111850,86;38622,63;32041,75;300489,78;901071,93;70151,25;5347,55;1393,69;1344,6;375,77;38,76;229,38;;349967505,4
"Gurna""""";384037268,8;5774996036;29512294,05;151248405,4;80245158,81;6353916280;169078328,6;67510,19;5273955,02;34965053,19;6543772,94;134764600,6;1931436,72;2131912,54;766777,89;1803117;158531,88;42274,83;238205,53;115722,52;84145,15;82123486,67;7981605,3;992692,95;15034761,25;1437281,42;282822,1;44860,68;446156,72;1475314,79;1016232,11;10803277,09;477927,42;267810,7;287915,75;309513,76;147621,32;205646,65;170923,7;749921,01;8001935,02;710642,19;8116,14;4409,23;5248,96;1816,56;1723,48;10340,36;;13264920791
"Whit""""";182368277,8;857731163,8;5341049,02;27093744,62;12040604,83;920407164,1;24489222,71;12497,04;1636422,94;5726112,43;1011651,93;52987850,11;717453,34;879685,05;208945,13;528439,59;32370,58;13925,83;53322,5;27715,68;33177,72;32811351,37;3112508,29;439840,4;7459666,04;530846,8;141393,07;7224,73;85921,02;216754,66;176925,78;1241689,34;144681,06;80732,68;85783;122693,69;23032,94;77623,05;29182,19;130812,96;1236366,13;110792,73;1062,64;672,03;1996,24;1445,49;1531,72;9182,65;;2141622510
"Cod""""";27832626,24;533294245,8;2618693,57;13509805,37;7266629,52;585424438,4;15580828,61;5348,46;232737,89;3178658,66;558745,65;10284835,55;137248,72;76793,5;39830,14;119778,68;11836,96;3186,39;14431,49;6045,9;4914;8232321,4;538025,39;71637,3;1046214,91;65215,23;19579,92;4045,24;35494,99;129046,61;70941,64;364386,99;19963,06;5452,31;9910,91;13790,52;7969,34;5292,59;14117,97;47274,71;734225,07;65382,37;472,15;351,16;500,19;230,58;244,17;1463,39;;1211705210
"RayDogFish""""";315830568,4;476772274,2;4539142,57;19684037,46;9084546,32;511922063,5;13597932,34;20902,46;4700072,07;3647634,64;1047188,49;54064218,82;1251870,13;1892541,23;612847,87;1032223,97;69319,25;22071,69;143421,29;84732,48;42402,53;13880422,91;3687827,24;460665,64;7857873,35;1034118,21;148567,88;7001,28;252997,61;745895,03;477380,54;5252917,13;457182,24;239255,48;260401,86;328138,21;96189,87;222428,55;58519,55;437332,79;5175778,47;550430,09;3283,12;1134,44;8905,45;8108,58;8937,67;53599,83;;1461777305
"Poll""""";31479823,41;17570954,88;687513,3;1915010,15;1114127,38;19206642,52;505707,05;3828,22;1854102,91;243011,53;139663,07;7379900,9;544825,04;795764,83;225491,35;192870,87;13857,84;3556,41;32589,42;30352,52;5589,35;901189,52;514022,5;70704,21;1140234,3;352272,69;21612,31;942,8;41425,1;48279,05;31647,3;507967,12;164216,35;102792,92;103064,6;141582,99;19034,01;99400,18;7245,1;83299,13;238456,54;18714,43;793,63;165,4;803,53;693,12;693,37;4157,24;;88560592,38
"JohnDo""""";2202217,03;378675653,8;1730198,01;8911855,82;5217635,3;416555345,5;11087895,37;3064,64;292670,08;2174457,32;367650,08;2832297,91;62106,58;80605,29;43681,45;56096,76;6635,54;1156,24;6523,47;2235,74;285,61;4852878,42;95295,69;12672,75;49046,08;36891,25;662,56;2782,98;24312,26;83887,32;38119,4;104046,36;23075,19;10599,38;13866,64;16185,31;4171,52;10544,64;7795,49;33471,81;447826,13;38267,16;280,25;227,49;215,58;31,32;31,33;187,8;;836217639,6
"Sande""""";74182998025;1,61439E+11;1337136161;6748772419;2176234708;1,76786E+11;4705653142;1288969,06;48870295,26;1324286429;191270812,6;27905967411;33547058,79;141104131,7;8716405,42;150559725,6;18046243,25;5326796,2;5872486,62;991308,48;13345415,65;4099036047;1388235258;183821271,4;3208219436;113797341;61154004,73;7498934,54;13020356,32;33922935,59;32264853,43;47189251,82;2744727,53;44803,16;1351111,64;1717817,13;1530223;220996,63;14965393,3;10901581,96;184385122,9;15574837,88;112019,04;624226,25;78780,93;3401,11;2429,85;14399,46;;4,66647E+11
"Herr""""";2104359047;1,10539E+11;513335166,7;2643119612;1508763800;1,2132E+11;3229300051;894941,07;59583269,89;640132362,2;107404792,4;1176181969;16319520,3;14522945,54;9572495,88;17293478,14;2023130,39;411431,18;1843913,62;668229,25;309711,01;1640641668;48138135,77;6605105,65;68793865,71;8522608,02;1229873,05;812131,9;6904008,75;25102523,41;11945174,51;32019106,06;4530180,34;1551169,8;2558098,16;3083007,62;1251305,6;1667754,46;2319249,94;9021652,73;139652585,2;12050998,2;80830,11;66768,98;81158,99;25805,26;28893,58;173246,38;;2,45934E+11
"Sprat""""";163769145,4;12805101785;58953228,79;305106495,6;173430260,6;14086866651;374964040,4;101420,41;3377146,77;74141473,68;12444407,39;126995084,6;1603989,32;293837,62;672113,7;1654488,26;219920,2;42139,59;177179,09;70704,21;31681,89;167110246,8;5080850,5;671796,58;6461345,49;462233,49;114632,48;92863,76;694299,82;2691696,76;1305035,59;4203086,02;216744,54;7925,01;110419,91;139292,76;126263,14;18832,35;261875,45;880313,09;14740566,36;1241577,12;9220,64;7700,55;6262,46;97,95;7,56;34,66;;28396672414
"Mack""""";323038556,5;1,14167E+11;515945454,7;2674088397;1546010893;1,25595E+11;3343100993;900746,76;29768168,03;654823177,6;110692213,2;817430235,6;13796647,73;419540,51;5963310,47;12528967,71;1864916,51;307710,27;1511129,49;570117,15;61307,6;1458281562;26459179,12;3230672,74;8324533,47;2200817,38;81998,41;822621,98;6104096,99;23901111,8;11115568,67;30811032,9;1907076,12;11280,11;949037,78;1219271,95;1065847,95;152834,4;2336593,11;7701346,71;130878264,9;11039665,39;78799,83;68196,72;54589,07;919,1;272,81;1636,85;;2,51543E+11
"Scad""""";190832407,9;10711858729;52198318,49;259568572,5;150745285,6;11791751131;313736317,8;123209,08;12486555,45;62116816,94;12605122,31;105615719,1;4287675,54;3993818,98;1748515,12;3114109,75;345050,42;49870,47;517059,11;457954,49;119896,55;134487766,7;8522608,02;600903,54;5722125,2;3021161,23;101417,19;78277,26;861156,2;2967901,21;2612483,71;44982092,77;1111654,15;843486,04;784167,28;787199,3;506707,47;554552,46;275680,3;1983679,58;15840074,87;1305260,76;26205,88;10715,56;11649,73;3287,86;2340,36;13998,98;;23906290690
"BaskSha""""";878559,92;436009061,1;1967468,42;10197312,57;5904244,04;479655365,1;12767545,72;3432,38;113584,78;2498876,72;422318,47;3010310,67;52308,58;885,34;22767,62;47137,02;7069,65;1151,76;5714,15;2161,23;165,64;5559454,98;94605,62;11463,25;16399,68;7801,32;19,25;3127,32;23285,04;91265,39;42299,22;115815,07;7258,24;23,49;3613,15;4652,53;4054,26;578,29;8877,42;29370,38;499740,4;42146,65;300,32;259,13;207,46;2,37;0;0;;960134061,1
"Bird""""";30849847,15;28404016,95;358563;1768099,14;319681,37;25403708,26;675993,85;259,12;25273,78;297394,09;28198,34;8646332,96;13505,52;59063,65;2317,77;59814,24;2889,89;1903,64;2154,24;754,24;5565,96;5453770,57;499773,48;74291,01;1316195,17;48170,62;25018,6;406,8;3833,85;8114,73;15562,5;63927,46;1249,71;589,33;726,26;776,52;1318,57;610,77;751,75;3598,5;63832,74;4610,67;45,42;29,14;186,78;142,75;156,31;935,13;;104513962,3
"Jbass""""";115206189;153226222,4;1702494,42;8739977,76;2251680,6;169306827,5;4493695,09;7040,22;310132,86;1495284,34;397250,93;32330967,34;282311,53;322410,84;40061,93;297437,81;17184,2;8351,76;38922,71;16570,04;24312,26;4734675,03;2124310,39;277719,93;4883277,59;264971,14;93140,15;1916,93;26522,88;62654,96;107275,97;1830397,93;40815,96;27427,42;22286,03;20247,51;17595,66;14787,82;18219,19;58757,13;331913,03;35143,07;874,22;267,81;354,22;184,8;136,5;819,01;;505512017,8
"Jplai""""";663494234,8;370112759,4;7380154,8;38758341,36;5976966,64;417289883,1;11052930,08;32129,51;1869885,89;5775379,75;1472610,27;185000984,8;1229724,46;2045329,01;219101,75;1475314,79;65026,4;45545,86;172129,62;28967,43;125830,98;18503419,41;11585780,04;1615018,06;28681334,17;1369800,56;547592,35;6086,05;93982,44;73165,03;269874,17;3034152,1;230397,94;120738,99;109093,73;112291,69;31535,33;92873,72;83227,16;134175,57;218261,24;60669,38;1649,94;346,86;345,95;275,44;77,68;466,07;;1780599862
"Jwhit""""";593628528,3;1400293256;11666860,71;58741683,63;23001122,98;1542337541;41014200,98;35113,7;9030790,16;11097908,15;2219165,93;171113086,6;1667266,8;4607360,92;1130876,52;1863092,19;97309,18;45903,42;201968,69;34812,03;104828,36;32264853,43;10107455,36;1435539,15;24454251,07;2210563,14;465291,47;21398,44;295008,92;494769,31;361316,32;1833193,43;822246,74;481417,44;492577,79;552450;54015,36;447969,87;100738,38;470984,83;2192642,04;237350,71;2389,44;1484,63;2597,58;1782,79;1848,53;11071,79;;3953749885
"DepoFeed""""";7251658907;2024785371;95392050,77;315600671,1;335061261,4;2208319738;58338128,18;495466,4;649245205,4;34502714,19;11273103,04;1173389243;65888905,1;269924363,2;79684968,26;54016385,45;1862534,01;643035,86;6061058,23;1523901,35;780347,73;128697959,5;73890244,76;12609258,07;184866197,4;103804829,5;3474452,2;239727,99;13727984,44;15170760,49;4999618,44;21133868,56;56770504,36;35393487,6;35919391,67;41327294,2;2273994;33533394,71;767229,38;26655236,65;50700337,32;7205485,95;68747,56;9283,46;108671,01;89721,18;96994,22;581885,81;;15492563918
"Whelk""""";94150310,74;1377181612;7386253,37;36747120,74;19913808,56;1545741601;41092023,08;27919,32;1061781,71;8385010,06;2125708,34;17239595,19;921545,69;402034,44;121135,53;557581,99;50638,37;8220,09;123087,53;114951,45;40381,58;1746644,79;2439327,88;151721,18;2669906,57;598583,01;50807,7;1093,49;71427,93;268797,59;523247,93;13246451,02;133649,49;142246,68;100402,15;85877,2;116894,09;57898,12;35151,72;332733,79;1634785,66;160240,71;5278,68;1401,54;2469,29;1468,56;1320,22;7917,84;;3177980066
"Plai""""";5610681;1470121,94;324879,47;589786,4;772630,89;1341037,06;13842,13;5653,93;1239463,68;11044,77;341886,44;93649,51;458265,8;471659,15;154809,74;267810,7;24219,8;1924,34;55212,8;61675,75;15899,07;24438,09;715924,52;4755,01;13536,13;389301,25;140,91;442;41141,14;120738,99;262591,33;7078697,52;121925,73;121100,98;96118,05;89317,84;62631,64;70764,11;8820,53;199527,59;560709,46;42368,21;2899,6;748,32;925,38;351,33;211,88;1269,81;;23357551,73
"Dab""""";39593673,1;338223200,3;2230861,21;10369594,42;5384353,05;379820966,9;10076370,96;12294,34;1053903,13;2171144,1;852201,77;9826115,41;633740,55;446299,26;128311,08;383887,67;34313,2;4663,96;80123,65;82451,68;27733,29;982626,65;1574214,25;88335,93;1518460,45;482564,48;28905,2;726,26;44572,07;145458,31;358238,39;9578504,45;114745,32;128157,39;93668,83;79892,25;82694,48;62183,07;17872,97;242222,04;695865,42;53321,96;3881,08;1007,05;1101,79;365,71;152,74;913,61;;817816855,1
"OFlatFish""""";46274220,21;1377833964;7395674,16;35428252,03;19577019,89;1547973569;41165795,12;22289,24;753660,34;8276671,78;1896769,78;11058640,76;631972,4;287998,55;74783,38;361099,39;42942,79;5678,45;88344,9;99108,09;28324,29;1093156,36;1660081,03;97504,93;1706980,73;423876,55;32567,72;679,46;35433,15;131006,97;351559,09;9643035,31;85877,2;104204,15;69905,72;56869,34;95240,94;41953,19;20769,12;221687,59;787317,61;56082,63;4443,73;1042,81;1042,39;266,17;29,17;167,43;;3115999559
"LBottFish""""";108915182,5;180154883,9;1949041,72;9485492,72;4228609,9;201803036,5;5354174,05;11635,71;3653264,68;1584291,96;508565,62;28550002,06;1109202,47;1668642,24;447403,46;492071,08;23032,94;9375,7;73992,21;38068,03;20857,62;2782223,63;1925085,53;252526,28;4263391,79;779549,96;81085,15;3296,43;87978,32;105117,77;98209,74;1515996;333983,11;208772,14;206736,21;272116,98;23613,1;195682,05;25829,1;179174,36;365205,23;45876,03;1000,14;420,68;1512,92;1455,08;1376,18;8253,77;;563846294,7
"Bream""""";11805513,93;20519565,12;469154,46;1290889,88;711145,79;22916425,34;583925,27;7238,85;442161,71;148973,24;440080,45;1667401,52;466061,44;152785,51;54071,68;239921,09;27168,07;2179,3;59884,61;69580,13;18453,12;140634,22;898021,63;13182,65;213968,15;298605,17;4048,03;534,43;25878,68;108352,68;285071,74;7824458,76;57898,12;82558,12;54410,19;41953,19;68488,72;29259,56;12999,8;181126,42;587392,45;46694,43;3220,76;841,78;828,67;229,78;35,2;186,06;;73073459,88
"Bass""""";69212338,02;12069297,46;534153,23;2377717,09;235585,5;5189381;136663,84;1386,97;244948,62;319660,3;45968,89;14994561,03;57872,75;158737,2;32041,75;142436,41;7295,55;4152,34;11253,76;3622,55;9744,36;6802451,5;892019,21;130937,73;2336593,11;106030,88;44387,12;469,85;22773,98;69355,97;45790,17;127871,56;25108,37;7350,44;11170,6;14835,08;6457,27;9285,57;4665,95;26903,03;547625,31;58744,16;120,3;37,56;1053,32;970,87;1112,74;6676,45;;117089616,8
"Jcod""""";222135274,8;51506017,82;2380253,88;11374066,57;2185180,45;58034203,84;1513924,39;13730,15;2940115,74;1463957,23;619680,22;59538846,44;805724,66;1587197,77;360587,73;749921,01;39243,89;16685,19;100922,95;49979,48;50207,71;5946317,43;4163839,72;528187,85;9241616,05;915544,42;176222,28;2698,87;88135,69;134175,57;256900,82;5331047,33;285200,39;199527,59;181666,53;190017,93;53752,31;155251,22;32283,64;230112,44;519565,39;58109,88;2454,53;585,58;954,16;521,05;404,03;2423,79;;446163238,4
"Crab""""";13311238005;77224125024;469247685,4;2467118710;1082553775;86802162763;2308920460;1456622,84;40783949;524100960,2;102509345,1;3752987830;34536863,53;40739676,04;3964716,49;29340428,39;1360002,75;950173,61;4379504,86;524604,39;2463043,69;368770245,8;236335144,2;32429245,99;575864365,5;26806280,55;10994288,76;175540,04;1825521,65;800291,22;4385284,08;37180247,37;5137897,79;2055934,69;1913629,92;2474426,78;401725,76;1846090,56;2409551,38;1905073,1;1598684,83;1354179,48;22489,68;8726,55;11318,57;14060,07;10221,78;59954,81;;1,89522E+11
"CommCrab""""";263839923;3834833583;19865507,68;103941403,4;53287544,54;4308954868;114652440,1;52419,02;923455,43;23813977,29;4332793,29;71160579,6;710886,42;746450,53;70151,25;592201,82;27698,18;19230,11;105851,94;9357,21;47833,95;7079471,76;4634999,31;620788,56;11039665,39;502023,37;210733,24;2881,67;43928,84;50557,81;107886,69;1200914,33;114457,65;35306,84;33326,23;40059,02;11469,01;33353,16;58744,16;48424,9;307768,06;64257,16;517,58;133,45;512,8;538,48;540,4;3240,95;;8828234656
