TI3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DepoFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Whelk""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"RedMull""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jsole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Asole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jplai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Aplai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Dab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LFlatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Gurna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jwhit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jcod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DogFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bream""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bass""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SMCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lcrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lbott""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"JohnDo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"AngFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Seal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Hake""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ToothCet""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
"PrimProd""""";1,30339E+12;1,07689E+13;8,72871E+12;39943103572;1,04707E+11;97053953701;1,81884E+12;1,08042E+12;334446533,9;247925908,8;7067616169;312543564,3;1150989645;18789696,77;128412752,4;573626872,3;3399981589;7627432724;5229401612;1257724700;1,47948E+11;3965502,61;49065017,74;14947026699;327184221,6;24602730,14;1053371093;168422751,9;95765057,91;793669,65;2060938,14;1288804,26;1455633,56;10024206,06;36049923,79;269876106,2;132030045,7;26674429,3;40966957,48;4976020,47;118622718;1824648728;338036843,2;28830139,46;11230199,99;5254735,61;2496416,15;8120835,52;3882873,49;9,88;;2,41368E+13
"MicroZoopl""""";1,39996E+13;1,29994E+12;1,06873E+12;67067903209;1,67511E+11;14010428658;1,10726E+11;65597337543;98956777,7;1239527167;439664513,6;2716703169;4904146330;187732069,3;758426406,4;6041139933;34405095275;80001240121;42304367466;5292456860;1,53158E+12;24626250,7;154740528,6;1,53793E+11;3389231265;48240311,03;717073010,9;2249148348;93826634,12;91038913,62;204894825,7;600804096,4;405426885,8;43101500,31;13584549,46;126141360,1;56330092,8;14299457,7;56336007,78;8996096,3;58279560,79;8293791080;3372006135;4986721,49;1105940,14;694108,91;338216,93;787723,83;935801,93;294912,3;;1,8677E+13
"MesoZoopl""""";1,74574E+13;1,6442E+12;1,3012E+12;84152340670;2,10039E+11;17378958974;1,38516E+11;82061334781;122308853,4;1567881133;535164897,4;3344819562;6067106127;231884909,8;938274202,1;7479776644;43003595639;1,00039E+11;53741059203;6644534396;1,95878E+12;31352984,35;196083296,4;1,96689E+11;4334596321;58796143;785601606,5;2777080612;115048419,6;112598826,2;253414373,8;740060214,9;499379035,8;53099536,25;15924076,03;148667221,9;65741144,28;16705505,25;69318917,73;13262843,07;68403767,78;10154573421;4140492743;5297098,95;1220637,18;1085736,8;49343,49;671150,94;1057177,22;376212,57;;2,33388E+13
"SuspFeed""""";55920345001;72226972687;58906638469;478434632,4;1225954633;660569706,8;11842583979;7033915894;2442476,23;5840396,31;46111016,61;11961706,15;24426721,52;796287,92;3487431,56;24435734,83;138397649,1;319622624,6;174157029,1;26380162,95;5947409557;108896,7;836068,65;598200430,2;13159422,61;350084,12;12140823,62;9403942,11;1065404,26;337837,56;762597,27;2083488,1;1410226,46;233066,8;340785,19;2285828,3;1113750,92;236257,69;455167,39;156609,75;1043576,19;40938601,52;13837342,76;215266,74;87607,88;34957,69;22019,51;60500,6;30578,35;1026,18;;2,15722E+11
"ShriPrawn""""";2,82708E+11;3,47908E+11;2,83552E+11;2364341078;6055866504;3186513039;56924154622;33811109042;11870209,76;29255870,87;221636572,3;63708669,84;129244982,7;4021726,87;17513849,88;123202667,5;699094541,2;1615306185;880816693,2;134134216,9;30234508318;545968,27;4428649,1;3041062665;66898356,34;1694697,68;54432789,36;48861938,63;5936364,62;1744230,65;3926570,18;10962073,64;7417549,32;1192192,13;1733917,07;13297388,62;6411560,02;1328007,69;2513246,14;736569,81;5913020,02;227141345,3;74471259,63;1099447,45;399227,57;292703,28;104779,65;309540,57;230986,7;46248,67;;1,05426E+12
"Echino""""";1,45581E+11;16165879221;13034219230;707753257,3;1770285022;174632724,7;1605696107;945450027,3;1174619,21;13293234,54;9109951,42;32408593,8;52415066,4;2063052,8;7994839,33;62690795,53;357719644,6;832141895,3;441556347,3;55197272,1;16017090910;290458,8;1779581,38;1609277229;35444394,33;535116,6;26817439,33;26783222,11;1876507,73;1031250,72;2321718,71;6381521,42;4310658,93;517344,76;609098,45;1812119,62;706707,59;222554,32;1141780,32;403557,76;851990;88306950,15;35533350,73;129071,03;83523,09;164988,44;10091,17;12804,17;13654,11;4780,85;;1,99717E+11
"Bivalv""""";4,00144E+12;1,87383E+11;1,52368E+11;18609774824;46382644507;2355020957;181560219,4;56960148,01;22698742,96;352252179,5;816812,85;783816260,7;1390596866;53844697,57;214921380,2;1723352231;9833149799;22874820251;12109476283;1497983450;4,40254E+11;7035914,17;43875005,86;44209565414;974246079,8;13171651,72;180051909,2;652865053,8;26551028,25;26544405,29;59735319,39;173493308,5;117062489,5;12442230,83;3389031,28;32200787,72;14161752;3646572,34;15735921,65;3864937,06;14908974,86;2361080707;966201275,9;846556,14;110246,43;122929;10873,43;14270,53;225448,5;108668,04;;4,9498E+12
"Scalo""""";1,08042E+11;5045949042;4103066739;502422563,9;1252263298;63030001,82;2589097,64;179413,33;610286,84;9507407,66;1145,56;20906249,77;37415432,97;1444165,57;5800839,94;46534466,66;265518702,2;617675905,4;326978528;40403355,04;11887932261;189677,48;1178662,98;1193632991;26307027,13;355500,37;4772166,94;17354807,34;669475,47;705825,45;1588378,21;4664234,86;3147134,27;328296,66;84551,11;818524,54;359553,6;94712,46;408913,4;64205,96;382965,45;63334404,61;25987566,24;21282,87;2466,69;520,24;208,43;1,58;4741,64;2289,07;;1,33619E+11
"Lobs""""";234112573,7;53284418,76;42808098,69;1221238,12;3077461,79;548155,63;7222327,31;4272007,89;3008,34;21616,15;37019,71;68287,47;104640;3603,44;13114,25;100513,12;573432,8;1333826,87;708446,45;94690,25;25681264,36;504,44;3754,78;2583784,38;56830,18;837,35;51303,23;53751,88;6370,08;1975,94;4425,03;11645,91;7868,2;1083,87;1722,45;9421,01;3907,52;916,61;3557,45;1394,2;3822,26;203930,55;70697,65;493,89;160,3;848,23;23,98;90,45;250,95;118,71;;378375236,6
"Ogado""""";520644408,4;2002313115;1646275190;8760594,47;22754566,23;18610528,35;336240716,8;199655560,9;64848,46;97019,44;1388613,79;474312,73;439684,77;24289,65;52334,39;232236,92;1343119,49;3012394,77;1983156,81;469295,69;55433480,66;2287,79;21693,51;5895744,75;122518,24;10388,64;539877,28;520836,67;101918,17;19920,75;45080,16;24779,89;16854,35;16102,55;18474,95;120397,35;53858,62;10004,85;41654,52;81161,55;46656,7;674318,75;134637,12;8986,05;3792,82;5086,35;1197,02;4473,15;2675,7;559,31;;4828815405
"Cepha""""";17669040422;845508680;668956121,8;82341101,1;205219048,4;15183252,36;928196,42;28639,11;132213,25;1653111,66;224989,85;7066816,93;9494598,91;332243,86;1005182,52;7526873,47;43220257,6;100513049,2;54121588,41;7828979,68;1965778742;35691,84;330938,52;198793692,5;4349961,86;61893,07;2626723,26;5829986,67;813740,9;220830,48;493768,68;1030576,01;695756,87;134185,29;146249,12;1284209,03;582188,87;109815,29;303023,51;373856,57;521675,79;20905849,59;6460703,28;44213,28;6711,78;76266,98;2545,28;13952,71;42697,58;20142,93;;21932415955
"SMDem""""";781358910,7;5224429171;4181024452;21360189,56;58989509,11;54014323;890700296,2;522656244,3;243883,81;564658,01;7066816,93;4983359,9;2707980,27;167183,3;246058,86;300956,08;1881627,61;4342775,25;3738618,69;1185357,26;99950132,93;41818,96;241873,12;11719076,18;221036,71;61067,97;18910422,79;4554721,78;1204637,56;135836,66;307449,55;199234,48;138390,21;112443,97;532221,64;913657,05;284888,6;110201,9;752418,84;510264,36;386500,93;4090334,04;904862,69;115452,7;85146,34;217362,86;9991,1;21673,47;7655,33;1513,17;;11908704661
"Sgado""""";2532177220;8299324559;6673816740;38384848,11;105310726,6;76875430,72;1390596866;823139525,3;328868,56;460622,14;8355247,04;2383022,64;3367136,3;83856,6;278344,44;1047507,27;6464083,05;14842122,58;9781675,61;1994324,47;329002902,9;28544,01;237695,82;33985350,61;727786,95;31135,24;3529007,67;2208167,26;733087,05;70602,5;158439,41;123643,91;84192,46;57367,84;182596,61;973438,49;308028,68;87568,01;664857,76;248870,9;275879,25;5051464,07;1042507,64;90152,23;25277,37;221914,92;3463,21;33428,53;17354,75;6315,34;;20369223767
"Lemsole""""";22547636,13;173291140,9;139130945,9;682532,5;1787434,16;1650442,24;29369835,04;17329986,79;6177,32;13879,8;159477,05;80247,98;45739,97;2462,5;5400,15;8543,64;59190,13;134727,7;125658,21;32867,02;3565508,44;711,58;3654,01;378694,39;7882,2;1539,96;426384,69;61495,67;18186,21;1370,15;3106,24;1689,66;1237,59;1468,7;10516,58;13481,52;5053,36;1955,91;8855,47;5489,19;7643,77;70762,88;11950,4;2040,32;1821,05;2767,28;241,18;379,43;181,46;20,91;;391080415,3
"Awhit""""";179777853,4;816766899,2;656791941,5;3487431,56;9081255,49;7461850,04;136768151;81211759,21;26228,49;34889,59;562902,21;137792,96;177128,28;6300,17;15709,32;70222,66;477234,1;1086568,21;831392,07;167736,42;27911213,93;902,21;9393,31;2889106,03;61724,3;2796,83;144730,61;140214,58;33264,55;5006,71;11311,53;6116,55;4185,15;4362,54;7005,96;48790,21;21624,91;4183,42;15225,83;20688,19;18895,31;285485,77;53731,07;3473,15;1330,08;2170,02;297,55;1410,23;981,38;240,23;;1926651108
"Herr""""";630989559,5;5111733790;4113877154;19199505,94;50193679,34;45973250,06;861676115,4;511879133,3;157949,19;121647,91;3311824,33;132420,67;523753,64;7831,67;55174,95;252919,13;1675550,28;3801869,9;2876016,58;590429,62;93013929,72;1953,37;23441,42;9371305,4;205753,88;9880,47;377959,68;68809,57;40709,87;214,32;604,44;398,31;523,85;4443,48;15564,56;120437,88;60025,58;11739,82;14468,27;1841,29;53811,87;831036;153438,76;12677,24;5134,76;1568,47;856,45;3358,42;1708,53;2,3;;11463437173
"Sprat""""";5439970542;42344732646;34402876511;158168741,8;414278246,6;381567620,9;7151381672;4248299235;1310703,55;1023329,13;27660964,86;1204241,67;4701151,31;78920,17;545410,4;2437164,04;14143595,31;31653503,47;21249179,4;5258680,74;580924713,1;14847,72;190469,17;58721562,56;1284606,8;106398,07;4172300,14;619603,22;365516,67;1895,23;5379,75;3709,63;4810,6;40449,06;139386;1086937,37;542819,9;107824,47;130980,27;16489,14;486563,13;7523255,84;1388447,08;115290,19;44738,05;13170,7;11078,99;33992,03;16295,11;31,86;;95310655621
"Pil""""";7627432724;61539415478;50019320297;228301874,7;598261549,9;554761263,5;10397645568;6176759054;1905466,96;1434473,7;40205219,68;1737110,1;6746419,36;112273,09;776120,15;3456245,36;19783439,67;44207361,46;29244750,65;7447736,04;780654696,7;20456;270130,6;78944750,2;1726178,66;152164,34;6039418,04;889052,55;527604,02;2383,4;6987,25;4836,21;6611,23;58501,43;201583,92;1573904,86;786542,21;156162,69;187995,59;22482,26;705053,97;10897967,16;2011323,21;166976,08;64918,67;18158,14;16019,14;49042,5;23514,13;7,78;;1,38185E+11
"Mack""""";9412922901;58575278030;48366953283;223916180,2;587211128,8;529867616,7;9907753322;5885613504;1821719,45;1699848,69;38967543,65;2691805,46;8003189,14;188487,31;1068932,67;4706208,95;23905326,83;52640551,17;29999307,7;9192145,49;585623349,2;23560,7;297008,01;60313994,25;1293667,99;224600;8786693,27;1906987,38;738645,05;41025,48;94451,81;46572,31;35055,23;92165,19;235812,39;1853604,1;912588,33;183688,8;284916,6;185113,7;812246,05;12432354,55;2286299,32;191344,5;69791,48;28494,95;26508,54;69667,63;32525,19;1434,94;;1,34344E+11
"Scad""""";2515449399;8142241323;6644534396;37685947,07;99358679,2;73596362,81;1361803136;808067100,8;270543,56;446948,28;6263183,74;948285,81;1813022,24;54778,37;239623,45;1073508,4;6573350,93;14895472,08;10213494,99;1993958,13;316418954;13973,24;110169,77;32339088;699793,14;40266,11;2064374,53;944144,08;295009,09;30450,7;69103,38;29581,03;20542,64;30218,6;77061,78;425684,3;159119,71;39959,87;230530,35;124331,6;142063,99;1959531,41;355752,92;45538,75;16055,72;66976,11;4068,79;19230,68;6110,19;495,64;;20084300695
"MacroZoopl""""";73974177407;5,89068E+11;4,89694E+11;2124074842;5598983022;5339030303;1,00058E+11;59439661307;18343760,26;13198447,78;393155748,4;19990026,59;74773387,03;1485628,52;9968290,69;42279058,96;181538972,8;390327348,4;162673152,6;79104738,49;25455355,17;135463,31;2366660,05;11914963,67;34614,63;2207478,88;91506675,87;10090390,58;6006341,29;25853,25;77090,77;53336,48;74149,87;676192,36;2280514,03;17945861,03;8964489,51;1836858,68;2265241,38;248409,3;8036403,15;124309355,9;22929350,66;1935154,1;693267,2;201547,73;281565,75;663560,61;291287,48;56,69;;1,32703E+12
"Acod""""";5948253,91;28414904,65;23514738,26;116675,04;303315,71;290458,8;4797214,21;2845162,2;1080,94;1634,13;21415,1;25091,38;19461,83;889,48;966,65;2663,69;13919,74;30684;19633,92;10479,93;406389,93;52,8;866,97;52853,93;897,47;172,47;21795,59;23910,33;4907,07;877,09;1969,05;1603,21;1087,05;670,02;899,09;6548,38;2945,34;534,76;1824,77;3311,17;2578,29;50781,45;10716,88;307,33;93,27;390,23;30,4;98,91;186,78;79,93;;66978023,5
"Ray""""";58878021,28;142837411,1;117649977,8;716630,27;1968288,49;1423665,1;23931821,38;14143955,81;6436,76;12396,29;158850,49;116099,1;129652,26;3654,01;8051,4;25572,46;142851,88;324156,73;198005,34;66101,86;5679984,13;693,58;7121,24;613487,64;12559,53;1053,95;158412,78;98641,4;27588,36;3244,77;7245,21;7402,75;5027,96;2617,89;7072,63;39407,82;15391,7;3529,84;17299,49;11071,98;14068,65;289988,39;61311,12;2696,86;843,79;5938,42;169,88;969,31;1040,1;440,81;;369837921,8
"Sande""""";23915242718;1,89284E+11;1,57352E+11;683657634,5;1802111209;1716562378;32152411210;19098127857;5905792,86;4491996;127227963,2;7500208,75;24716618,62;504925,85;3301835,46;13630989,67;58721562,56;126311600,3;53612439,33;25871270,4;38127883,73;56377,53;817983,51;6896827,57;77375,78;741519,59;37667731,02;3850497,85;2196228,62;11589,98;32236,51;22496,89;29238,73;229273,24;935507,41;5960099,14;2952495,91;625207,05;857319,78;91978,26;2713497,7;41129161,35;7545139;659014,84;257346,19;118908,66;95709,74;218612,87;96073,24;268,23;;4,2661E+11
"BaskSha""""";65436844,32;521420194,7;433459632,1;1879917,52;4955433,8;4725919,24;88567825,43;52614054,27;16237,2;11668,4;347996,95;17682,94;66162,45;1313,7;8817,76;37409,8;160575,85;345235,73;143740,89;69979,31;13845,85;119,66;2093,25;9671,97;11,5;1952,5;80952,31;8915,96;5313,92;22,35;67;46,65;65,24;598,17;2017,97;15879,81;7932,29;1625,33;2003,48;217,91;7111,2;110013,08;20290,09;1712,7;613,79;177,51;249,08;587,37;258,4;0,22;;1174581009
"Bird""""";19682184,11;29686345,25;23518457,2;200048,07;502132,64;285395,52;4789691,54;2844002,93;956,98;3957,58;19805,78;19541,75;11321,9;1026,64;1598,19;7185,8;53199,04;121731,47;99822,22;16106,44;3531966,21;91,98;702,63;370759,8;7809,99;310,58;11299,32;23375,46;3871,26;958,21;2165,21;1009,38;681,26;699,98;389,54;3187,76;1403,07;202,26;1323,62;4044,16;1116,99;13668,95;2218,91;159,5;76,51;117,22;30,09;165,23;120,52;34,96;;85848471,64
"DepoFeed""""";3160113279;1654783871;1178402410;26016050,6;60480877,07;53634878,66;245525330,8;143165008,2;219871,01;771253,26;3152067,91;22692507,34;4812283,18;1065961,74;310137,03;1030799,11;7823062,76;18118254,11;14644488,79;3096561,79;549040055,2;43591,18;396031,96;70626995,65;1214284,72;42372,47;5279245,96;28646371,14;4249626,69;1201566,56;2719847,78;1558555;1050330,72;817482,69;357686,27;2591509,29;1033926,98;127300,23;1685346,9;4782458,72;771699,64;9220489,58;2932123,51;67828,18;36660,17;163150,83;3521,68;32951,02;29106,32;11651,28;;7290592722
"Whelk""""";101053651,2;1038068468;833124183,6;4030260,91;10858208,58;10713288,85;178054105,6;104128844;46073,04;148810,48;1399196,8;1093133,23;602227,43;30747,84;60091,96;37532,49;232351,21;533431,53;635662,46;283243,23;12108468,7;9564,13;49320,7;1443936,69;26747,89;17531,6;5729274,23;820737,79;251700,62;18097,9;40914,92;30346,76;21739,76;18799,21;146573,05;188896,2;67054,45;27351,05;132376,85;66402,49;103586,3;1105931,61;212515,83;27481,68;24294,31;45789,2;3026,14;4527,21;2385,82;541,33;;2307879427
"RedMull""""";67035540,54;50522033,76;40266946,85;532702,13;1539057,49;875703,61;8448054,44;4686328,29;6370,08;33972,72;227847,45;337298,52;233254,97;10608,62;16632,28;25906,28;159913,54;369322,81;287250,85;103253,18;8408877,81;2289,96;16093,21;960850,02;18598,71;3387,35;991579,56;293650,72;77816,5;9019,86;20279,14;15653,12;10764,92;7406,97;29603,69;76689,39;28142,64;8042,93;44389,5;33460,55;31280,51;485202,8;99229,54;6982,02;4358,33;14520,14;594,62;1742,6;1650,78;668,37;;187420824,7
"Jsole""""";476201,79;42017960,13;33779647,85;144787,52;387606,81;412500,29;7239383,26;4234952,71;1693,66;5691,64;52999,32;32600,8;19255,23;685,08;2145,73;116,9;710,71;1430,04;13675,16;9135,21;31023,89;350,84;1622,38;4346,24;67,05;718,66;240313,31;18097,9;7731,31;75,91;171,77;216,6;201,25;325,44;5822,73;5624,47;2019,7;997,4;3928,77;208,49;3728,8;34830,08;5540,19;1032,71;987,42;1526,9;126,33;135,33;71,34;10,15;;89205033,17
"Asole""""";824375,26;63044561,75;50682874,76;217884,93;581714,1;619124,99;10860967,16;6353512,83;2528,59;8586,7;79002,99;49191,93;28807,17;1035,41;3231,86;219,8;1344,94;2794,9;20989,29;13820,68;61672,62;525,08;2415,07;8059,13;133,99;1082,61;362646,37;27276,61;11588,08;114,51;259,23;327,17;303,99;491,39;8765,04;8389,24;3040,61;1495,7;5796,74;319,89;5620,43;52486,6;8331,73;1544,27;1487,86;2275,13;190,38;202,42;107,07;15,09;;133973534
"Jplai""""";902162,98;323509898,1;259021075,2;1041744,05;2842019,09;2978043,33;55202416,35;32649644,02;11645,91;8259,96;288561,28;55785,65;39341,25;985,63;3058,28;253,47;1622,97;3385,35;18111,45;10353,36;74671,07;748,16;4318,27;9842,39;163,28;883,21;363662,83;35404,55;15653,12;252,7;572,55;331,92;315,51;476,1;8900,63;12728,29;2634,79;1792,62;14061,47;599,92;4847,5;38372,75;6889,07;2168,27;1415,91;3852,43;151,81;256,49;62,04;2,2;;679194399,5
"Aplai""""";727816,78;155933417,6;124844758,9;503652,31;1373620,24;1436886,31;26605111,25;15735671,37;5620,14;4012,94;139151,37;27678,04;19134,65;515,66;1494,7;238,11;1503,31;3305,61;9737,56;5135,66;74149,87;362,35;2094,98;9137,1;163,1;425,79;175055,12;18116,47;7689,23;167,71;379,99;225,37;196,03;260,01;4297,13;6210,93;1299,25;866,6;6837,81;466,35;2355,2;18779,28;3446,08;1046,32;683,21;1871,46;73,01;126,46;29,76;0,94;;327715275,5
"Dab""""";9021785,46;29839500,22;23894791,31;149828,66;397397,38;310406,85;5090003,52;2954669,98;1393,54;6901,09;48306,71;40479,83;23468,66;1101,52;2804,49;3635,57;22752,59;52651,28;46082,59;13598,37;1217146,24;402,01;1963,42;128966,2;2691,74;787,48;245244,81;28198,82;9523,25;488,16;1105,62;612,12;468,02;615,19;6052,33;6843,47;2411,52;1075,5;4982,36;1926,1;4029,37;36140,54;5737,03;1112,72;1017,76;1793,21;130,58;175,62;76,76;10,7;;73633288,27
"LFlatFish""""";25234946,66;7314757,4;5573426,61;170392,59;449534,06;284245,94;1078328,13;591857,78;1722,45;6158,32;40949,75;149022,06;58098,92;6134,67;3502,98;9904,72;60981,37;141108,75;91704,82;26971,62;3192719,64;419,58;4125,7;409284,49;7062,89;340,85;83460,13;171001,9;29603,69;6793,18;15338,81;8900,63;6015,98;4707,37;3323,61;24630,28;9273,67;1603,77;14881,2;27134,39;7345,29;115889,45;25914,73;1113,93;294,79;3214,41;56,69;445,92;513,43;232,75;;45469392,76
"Gurna""""";269876106,2;97031815,47;74333610,95;1632734,5;4924958,75;1208079,74;14636721,69;8185245,43;13458,59;57332,07;513683,61;365462,82;442472,04;11234,6;34850,15;109488,98;679335,85;1573904,86;1029780,06;212842,15;35891722,06;4365,59;32839,85;3725061,96;79399,07;3984,7;863836,43;314827,01;109556,27;9374,11;20973,09;18183,28;12421,86;7603,86;35186,12;130710,39;39676,34;12673,03;95011,63;31874,59;39654,45;712519,51;146173,8;12482,86;4735,78;34452,83;571,64;4579,65;2546,62;1025,67;;519271142,6
