TI3;"BalWhale""""";"ToothWhale""""";"Apoll""""";"Jpoll""""";"PacCod""""";"Shri""""";"PacHerr""""";"Cepha""""";"ForFish""""";"Lzoopl""""";"Copep""""";"WalrBSeal""""";"Seal""""";"StLion""""";"Phal""""";"ArrTooFlo""""";"SFlatFish""""";"MacroUri""""";"KingCrab""""";"PacSal""""";"SpeWhale""""";"GreenTur""""";"TanCrab""""";"SnowCrab""""";"EpiFau""""";"InFAu""""";"BenthAmph""""";"Jelly""""";"SculRockFish""""";"Bird""""";"Skate""""";"Zoar""""";"Phyto""""";;SUM
"BenthAmph""""";122887085,7;2810452,83;4757412925;1578659944;45837371,99;162634273,3;481670246,5;1031179156;2082791974;28497169172;38849822544;36606914,02;8017840,86;2659831,88;2171436;3575986,17;77346165,72;68018810,95;3667606,62;25060471,92;6388432,99;2431806,06;4514040,01;13531424,79;583818060,2;18870153,1;121078088,2;385320715,9;14452953,87;26109793,35;8879954,03;27418886,39;5,35066E+11;;6,14119E+11
"Jelly""""";750398342,4;3862132,59;30590075790;10114354574;99572730,4;514314641,4;2609998056;5357988957;8993922027;1,12673E+12;9,02582E+12;6347004,62;16603340,75;4201107,15;2447591,6;10305102,32;213848764,2;161681132,1;22821,87;122965710,2;2301995,3;4052140,06;29510,94;93033,18;839466,63;2982294,51;165137449,7;4061917809;32285211,62;149035720,9;17796220,54;83510323,54;3,86463E+12;;1,40813E+13
"SculRockFish""""";22759484,56;170727,03;924376367;304587604,1;6417379,56;32559980,89;79240734,31;146364740,2;265043460,4;12373223107;40477212012;10517139,45;561064,02;154398,38;103208,45;251269,6;18099424,12;8876314,7;1110022,67;2771165,32;167008,22;145682,71;1303744,41;3938313,76;207932688,5;149554192,8;18582369,26;96855634,87;2699122,02;3865749,22;908473,42;3166723,21;1,48582E+11;;2,03746E+11
"Bird""""";41229375,56;375018,12;1674429482;552984759,6;7513891,4;37007335,92;142267869,9;269742468;488677317;54901786130;3,92783E+11;687977,03;1312691,29;399599,06;244295,18;665719,75;10885176,68;6658923,77;54211,36;5238470,69;309826,96;379380,45;57598,74;176471,19;531999,21;11688545,68;16784867,15;223553581,3;1932874,61;6992182,18;1657263,22;3597100,27;2,59033E+11;;7,10226E+11
"Skate""""";8799773,52;45953,64;355238314,8;117213616,6;1077948,19;7445812,12;30932871,48;65326741,36;108698483,5;2255239841;2634275651;1216436,99;176724,92;34891,12;27782,63;89420,13;4132954,35;2935440,22;114800,83;1545756,14;65515,87;32286,07;141823,64;438426,51;27373031,6;5370613,25;6342824,31;29660367,57;504707,46;1841403,58;152971,4;1275589,81;42413862930;;48081631706
"Zoar""""";37542080,81;362622,35;1529392875;503703427,2;7962975,28;48271165,78;130666623,4;224191710,5;444883550,7;27558017065;1,05785E+11;5601462,97;1156812,72;368551,82;235148,34;493802,53;14828398,71;6180625,56;592426,82;3335024,62;355041,61;355057,18;691839,61;2083815,61;97859503,01;77634978,76;25460394,5;180939034,4;2287077,87;5195811,51;1658266,75;2599104,17;2,84401E+11;;4,21101E+11
"Phyto""""";3,05481E+11;2729952707;1,20515E+13;4,00166E+12;74018779531;51305544617;1,05179E+12;2,65749E+12;3,83465E+12;8,09179E+14;7,76398E+15;4985693032;12173192025;2981297510;1718351634;7785910659;1,05332E+11;1,27617E+11;20048105,63;79294412177;1479187049;2890812431;26081577;79986814,04;557854319,1;2451812688;1,14657E+11;1,93231E+12;24763681354;86344310773;12724158879;65631030823;5,84853E+14;;9,18463E+15
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"BalWhale""""";"ToothWhale""""";"Apoll""""";"Jpoll""""";"PacCod""""";"Shri""""";"PacHerr""""";"Cepha""""";"ForFish""""";"Lzoopl""""";"Copep""""";"WalrBSeal""""";"Seal""""";"StLion""""";"Phal""""";"ArrTooFlo""""";"SFlatFish""""";"MacroUri""""";"KingCrab""""";"PacSal""""";"SpeWhale""""";"GreenTur""""";"TanCrab""""";"SnowCrab""""";"EpiFau""""";"InFAu""""";"BenthAmph""""";"Jelly""""";"SculRockFish""""";"Bird""""";"Skate""""";"Zoar""""";"Phyto""""";;SUM
"Apoll""""";0,14;0,05;0;0,27;0,11;0,14;0,17;0,24;0,27;0,3;0,3;0,05;0,05;0,05;0,02;0,05;0,12;0,09;0;0,06;0,02;0,02;0;0;0,03;0,06;0,11;0,15;0,06;0,06;0,05;0,06;0,3;;3,36
"ArrTooFlo""""";0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,02;0;0,05;0,05;0;0,05;0,02;0,02;0;0;0,02;0,03;0,05;0,05;0,05;0,05;0,05;0,05;0,05;;1,18
"BalWhale""""";0;0,05;0,14;0,14;0,11;0,14;0,14;0,14;0,14;0,14;0,14;0,05;0,05;0,05;0,02;0,05;0,12;0,09;0;0,06;0,02;0,02;0;0;0,02;0,03;0,11;0,14;0,06;0,06;0,05;0,06;0,14;;2,39
"BenthAmph""""";0,11;0,05;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,05;0,05;0,05;0,02;0,05;0,11;0,09;0;0,06;0,02;0,02;0;0;0,02;0,05;0;0,11;0,06;0,06;0,05;0,06;0,11;;2,09
"Bird""""";0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,05;0,05;0,02;0,05;0,06;0,06;0;0,06;0,02;0,02;0;0;0,02;0,03;0,06;0,06;0,06;0;0,05;0,06;0,06;;1,45
"Cepha""""";0,14;0,05;0,24;0,24;0,11;0,14;0,17;0;0,24;0,24;0,24;0,05;0,05;0,05;0,02;0,05;0,12;0,09;0;0,06;0,02;0,02;0;0;0,03;0,06;0,11;0,15;0,06;0,06;0,05;0,06;0,24;;3,12
"Copep""""";0,14;0,05;0,3;0,27;0,11;0,14;0,17;0,24;0,27;0,39;0;0,05;0,05;0,05;0,02;0,05;0,12;0,09;0;0,06;0,02;0,02;0;0;0,03;0,08;0,11;0,15;0,06;0,06;0,05;0,06;0,41;;3,58
"EpiFau""""";0,02;0,02;0,03;0,03;0,02;0,03;0,02;0,03;0,03;0,05;0,03;0,03;0,02;0,02;0,02;0,02;0,03;0,02;0;0,02;0,02;0,02;0;0;0;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,05;;0,62
"ForFish""""";0,14;0,05;0,27;0,27;0,11;0,14;0,17;0,24;0;0,27;0,27;0,05;0,05;0,05;0,02;0,05;0,12;0,09;0;0,06;0,02;0,02;0;0;0,03;0,06;0,11;0,15;0,06;0,06;0,05;0,06;0,27;;3,27
"GreenTur""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0;0;0;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;0,44
"InFAu""""";0,03;0,03;0,06;0,06;0,03;0,03;0,05;0,06;0,06;0,08;0,08;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0;0,03;0,02;0,02;0;0;0,02;0;0,05;0,03;0,03;0,03;0,03;0,03;0,08;;1,11
"Jelly""""";0,14;0,05;0,15;0,15;0,11;0,14;0,15;0,15;0,15;0,15;0,15;0,05;0,05;0,05;0,02;0,05;0,12;0,09;0;0,06;0,02;0,02;0;0;0,02;0,03;0,11;0;0,06;0,06;0,05;0,06;0,15;;2,52
"Jpoll""""";0,14;0,05;0,27;0;0,11;0,14;0,17;0,24;0,27;0,27;0,27;0,05;0,05;0,05;0,02;0,05;0,12;0,09;0;0,06;0,02;0,02;0;0;0,03;0,06;0,11;0,15;0,06;0,06;0,05;0,06;0,27;;3,27
"KingCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lzoopl""""";0,14;0,05;0,3;0,27;0,11;0,15;0,17;0,24;0,27;0;0,39;0,06;0,05;0,05;0,02;0,05;0,14;0,09;0;0,06;0,02;0,02;0;0;0,05;0,08;0,11;0,15;0,06;0,06;0,05;0,06;0,41;;3,64
"MacroUri""""";0,09;0,05;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,05;0,05;0,05;0,02;0,05;0,09;0;0;0,06;0,02;0,02;0;0;0,02;0,03;0,09;0,09;0,06;0,06;0,05;0,06;0,09;;1,88
"PacCod""""";0,11;0,05;0,11;0,11;0;0,11;0,11;0,11;0,11;0,11;0,11;0,05;0,05;0,05;0,02;0,05;0,11;0,09;0;0,06;0,02;0,02;0;0;0,02;0,03;0,11;0,11;0,06;0,06;0,05;0,06;0,11;;2,08
"PacHerr""""";0,14;0,05;0,17;0,17;0,11;0,14;0;0,17;0,17;0,17;0,17;0,05;0,05;0,05;0,02;0,05;0,12;0,09;0;0,06;0,02;0,02;0;0;0,02;0,05;0,11;0,15;0,06;0,06;0,05;0,06;0,17;;2,64
"PacSal""""";0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,05;0,05;0,02;0,05;0,06;0,06;0;0;0,02;0,02;0;0;0,02;0,03;0,06;0,06;0,06;0,06;0,05;0,06;0,06;;1,45
"Phal""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0;0,02;0,02;0,02;0;0;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;0,44
"Phyto""""";0,14;0,05;0,3;0,27;0,11;0,15;0,17;0,24;0,27;0,41;0,41;0,06;0,05;0,05;0,02;0,05;0,14;0,09;0;0,06;0,02;0,02;0;0;0,05;0,08;0,11;0,15;0,06;0,06;0,05;0,06;0;;3,65
"SculRockFish""""";0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,05;0,05;0,02;0,05;0,06;0,06;0;0,06;0,02;0,02;0;0;0,02;0,03;0,06;0,06;0;0,06;0,05;0,06;0,06;;1,45
"Seal""""";0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0;0,05;0,02;0,05;0,05;0,05;0;0,05;0,02;0,02;0;0;0,02;0,03;0,05;0,05;0,05;0,05;0,05;0,05;0,05;;1,18
"SFlatFish""""";0,12;0,05;0,12;0,12;0,11;0,14;0,12;0,12;0,12;0,14;0,12;0,06;0,05;0,05;0,02;0,05;0;0,09;0;0,06;0,02;0,02;0;0;0,03;0,03;0,11;0,12;0,06;0,06;0,05;0,06;0,14;;2,32
"Shri""""";0,14;0,05;0,14;0,14;0,11;0;0,14;0,14;0,14;0,15;0,14;0,06;0,05;0,05;0,02;0,05;0,14;0,09;0;0,06;0,02;0,02;0;0;0,03;0,03;0,11;0,14;0,06;0,06;0,05;0,06;0,15;;2,47
"Skate""""";0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,02;0,05;0,05;0,05;0;0,05;0,02;0,02;0;0;0,02;0,03;0,05;0,05;0,05;0,05;0;0,05;0,05;;1,18
"SnowCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SpeWhale""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0;0,02;0;0;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;0,44
"StLion""""";0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0;0,02;0,05;0,05;0,05;0;0,05;0,02;0,02;0;0;0,02;0,03;0,05;0,05;0,05;0,05;0,05;0,05;0,05;;1,18
"TanCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ToothWhale""""";0,05;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,02;0,05;0,05;0,05;0;0,05;0,02;0,02;0;0;0,02;0,03;0,05;0,05;0,05;0,05;0,05;0,05;0,05;;1,18
"WalrBSeal""""";0,05;0,05;0,05;0,05;0,05;0,06;0,05;0,05;0,05;0,06;0,05;0;0,05;0,05;0,02;0,05;0,06;0,05;0;0,05;0,02;0,02;0;0;0,03;0,03;0,05;0,05;0,05;0,05;0,05;0,05;0,06;;1,26
"Zoar""""";0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,05;0,05;0,02;0,05;0,06;0,06;0;0,06;0,02;0,02;0;0;0,02;0,03;0,06;0,06;0,06;0,06;0,05;0;0,06;;1,45
