TI3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
WI3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"Cet""""";3897309,58;2984048,61;1186571,53;2323659,43;2370884,52;6426812,22;1027150,36;1845059,48;83213251,45;28624572,71;51641689,68;1874231,14;674481,5;4631021,62;36803753,53;23701284370;948626735,2;1729792655;6579,72;928156,47;2815860,25;151506,85;24000764,62;1083900,74;822166,1;562903,18;1427312808;263650,55;4263358,45;549077,46;8013086,03;724196073;676078,74;1923210,49;775464,38;983894,53;5129532,45;3820,76;242675722,6;2389209,82;34168353740;93781115263;8110797277;22186155534;;1,87305E+11
"Sha""""";3861709,97;2287349,2;1934152,51;2564325,09;2649527,09;7193016,94;4549763,51;7328216,3;93495767,31;35588316,36;62576241,48;7760011,65;3685789,16;26692656,79;43128503,7;6631451405;842677274,4;1799384855;6498,13;1012506,83;4828255,18;134819,39;33600233,84;13777793,38;8085142,07;559140,06;6270253588;278422,32;4404218,74;1017074,79;5572456,26;5516172022;1349143,45;1590658,06;651768,38;525997,05;5633370,03;32180,53;1732965348;18198268,3;38968621130;41609416700;17485092796;30938528124;;1,52201E+11
"Cod""""";1884554,78;2373732,63;1765239,73;2340257,78;1256505,36;3405064,01;4153875,28;5838289,01;41159001,66;15435648,37;27924434,07;5263665,58;3517947,46;22458696,12;18631864,84;7389070232;634574807,2;1917746428;9407,74;1274639,11;3282688,39;90523,58;15640043,37;12958630,66;8301341,13;258276,42;6109935145;308366,17;2237321,76;826907,04;5775347,72;6388126783;1794541,8;1454678,72;598957,28;286953,77;2601416,04;29116,88;2149593927;17313433,13;22363873850;47931095701;12391368020;34234827516;;1,41743E+11
"Jcod""""";3827203,77;3263686,48;2426934;2474632,19;2540146,48;6876835,5;4510163,7;5938555,92;87075950,36;33409328,59;57444374,68;7204032,82;3903990,33;22512594,02;38725916,83;20067338657;1405915011;3806716134;13778,39;2104293,66;4895968,16;182201;29019576,21;14610688,88;8615806,44;539264,42;10578042206;761770,69;4574533,3;995787,74;8266086,7;10556074855;2200422,81;1998186,57;827722,81;846281,14;5585924,77;25624,44;3346095652;25900220,04;49142448862;1,11697E+11;25032973089;63212106734;;2,99239E+11
"NseaMack""""";2649812,11;2288227,94;884207,47;1723670,83;1529290,57;4143405,61;752602,97;1351513,59;52454830,73;16993360,69;31351078,72;1283989,6;469004,8;3346656,6;22908200,96;20243523479;732758226,3;1425714211;4989,54;691618,46;1836268,64;110705,6;14802300,43;654432,56;551678,67;379755,06;1055778119;201551,14;2866165,12;408588,95;6259316,78;480874194;513083,46;1465944,85;590456,03;798841,98;3306252,14;2890,83;160359852,6;1586708,5;26715151022;79325698383;6247279458;18289355282;;1,54858E+11
"Wmack""""";7560955,56;6539106,3;2522269,64;4912025,35;4361479,59;11816860,57;2147531,66;3854138,75;149586219;48462061,05;89401745,15;3661184,32;1339481,83;9547067,27;65330706,77;57712095291;2089280716;4064695594;14246,77;1972938,26;5237838,06;315764,61;42211186,34;1872865,62;1578988,43;1083644,42;3010389672;575838,71;8176767,6;1164834,14;17891366,31;1371615042;1466582,38;4180601,7;1683838,17;2286008,73;9431901,28;8256,9;457760406,9;4527089,24;76168186850;2,2615E+11;17812171237;52143678351;;4,41497E+11
"Hadd""""";1329253,4;4549763,51;3384639,11;3543700,05;871435,02;2362284,82;10811465,65;14588969,33;27609170,93;10667661,05;19326024,62;14342596,67;9501252,44;61021800,08;12952681,73;6676332433;830441236,6;2881870262;17528,09;1908923,55;6109270,02;72529,88;16629917,81;40354688,99;25846539,1;171014,44;10936883657;298924,79;1636817,54;1535499,14;11090078,87;11142261075;4395729,32;1357132,5;570148,16;224548,39;1831959,88;81893,82;4284343401;37223281,6;38912150463;57211882770;25830356309;55099626145;;2,14154E+11
"Jhadd""""";2496256,95;7661317,04;4973357,31;4878099,5;1636042,77;4432259,56;15252104,3;19452769,83;52996819,9;19947930,56;34843637,93;20366461,06;13742664,87;83768411,77;24553011,37;13756892541;1349956238;4490136128;29172,92;3202604,89;9123405,45;138431,87;24641715,44;59867459,43;38507189,27;335114,63;15688967100;594255,14;3083870,67;2046273,9;18809669,93;16348062516;6846676,94;1853090,71;784733,85;527989,41;3537386,62;111874,14;6493091587;53126000,18;55496522899;1,01377E+11;37989983162;83378316429;;3,36907E+11
"Herr""""";132162222,9;114744805,3;41159001,66;83966094,99;74541075,25;201941395,6;33883982,5;62213658,14;2436335095;675421387,3;1308794494;63484732,69;19412644,75;146987033,4;1061328300;1,27579E+12;42020824345;84369869533;231631,52;32784319,54;85121981,52;6205907,04;643835790,4;18829261,31;19052288,79;18916358,66;51695596585;9759295,08;142894347,6;19454522,7;314004272,6;9804156568;23505292,15;72249970,27;29037999,93;38790688,55;154559431,6;123797,69;3544529561;48749388,84;1,72423E+12;4,87383E+12;3,84516E+11;1,07851E+12;;9,53644E+12
"Sprat""""";35359766,28;33970665,62;12005504,29;25056996,45;18782135,5;50885164,1;10182767,37;18213327,91;525327745,6;79147786,71;201843267,2;20709878,33;5725743,52;43035929,46;228787780,5;4,51058E+11;12905163347;29195526313;67521;10023909,71;20752463,85;2110693,8;116489260,9;5798484,03;5504456,51;4977935,74;14952629141;3045623,69;38363042,09;5769110,59;92047844,33;3157290692;6947304,73;21526889,05;8649290,25;10576069,14;34994709,78;35716,93;984286927,2;12236389,78;4,78518E+11;1,72961E+12;1,05772E+11;3,70547E+11;;3,19841E+12
"Sande""""";85056900,65;79642489,15;28958672,37;57444374,68;46201589,69;125162443,2;24596758,6;42418341,83;1357268364;269124356,3;597890768,6;49798019,21;14647969,4;101975424,3;591527525,6;9,95028E+11;29946068594;66921310404;165862,87;24537367,58;52408639,7;4798169,49;321598578,5;19777189,02;15880704,96;12022873,41;42108056630;7741101,08;92594754,86;13499680,82;216080283;16275842767;17301846,19;49998958,57;20115337,59;25570990,56;89415748,6;81201,31;5102307461;47658883,49;1,10198E+12;3,85232E+12;2,57073E+11;8,59914E+11;;7,23116E+12
"Sole""""";1102488,91;3527278,02;1949505,77;2572868,86;675784;1830592,16;6519362,12;8854983,07;23512863,96;9861846,82;17785006,86;4487508,37;5637682,12;35640555,89;10473570,68;3200390422;555740215,9;2495241364;13291,84;1384881,76;3877630,77;45506,65;12485778,63;18813003,67;13487225,29;143269,43;9282781238;196779,7;1296626,81;949568,03;8704170,52;11056188788;3053437,93;1260286,95;521247,68;229109,21;1472994,89;54812,23;3751185552;26927757,44;13330373803;44076977743;9300079046;50732678549;;1,48011E+11
"OpredFish""""";1190261,47;5026076,13;3908830,51;4182846,78;740533,9;2009222,75;12956253,33;17925215,05;21569605,27;8179633,6;15694252,93;16913046,35;11273485,77;74133856,24;10543394,71;5127522987;855177493,6;3194132499;19115,7;2016293,17;6974138,28;68123,54;17607568,49;47143603,56;30235851,79;144319,47;12906718589;270994,86;1456373,81;1855267,2;12249382,36;13140322961;5025393,33;1545810,6;653992,89;216132,06;1500309,66;100398,88;4964761566;44193561,91;43400857649;55661551578;29003044376;62943612801;;2,31577E+11
"OpreyFish""""";7082738,94;31545867,12;21626892,56;20904551,59;4579635,34;12411187,46;72116672,82;94694726,35;141543069,2;53282579,34;94691465,42;92665445,3;64249342,07;403684806;67330489,59;43930594932;5340501231;19531456308;120742,34;12664237,02;39705120,05;431801,2;92406586,62;274729272;177370579,1;902389,3;73581317428;1999809,34;8959075,48;9424824,32;77103175;76787101230;30601543,06;6874760,65;2928202,08;1464649,34;9750712,52;550199,35;29855181474;250481537,4;2,3899E+11;3,87683E+11;1,66483E+11;3,76178E+11;;1,42054E+12
"Cepha""""";54123166,96;49009663,29;17251726,7;34576711,45;30142369,69;81663383,46;14718956,51;26688055,83;982711388,8;272366405,4;528149576,4;26183926,71;8786162,26;64740855,37;427888367,7;5,12384E+11;16599651498;33924387253;99316,98;13609028,78;35026865;2537712,45;260387669,7;10113645,27;9793533,87;7733543,49;19238829940;4083139,65;58255223,28;8067457,83;134436500,2;4838997153;10407307,73;29852261,05;12003059,21;16913920,85;62874666,4;58512,25;1722093933;21240215,03;6,14535E+11;1,97566E+12;1,35496E+11;4,28863E+11;;3,74658E+12
"Zoopl""""";22307091171;4822873749;4378708286;11467050661;17047177666;46169676233;4855514497;9570012202;7,56021E+11;3,43663E+11;5,68588E+11;5120624675;2734678926;27034212266;3,27926E+11;5,87503E+13;6,91239E+12;5,94355E+12;14990031,46;2770273242;20433524697;148223889,9;2,44838E+11;5189165219;4397723402;3394656020;1,81596E+13;11974004,72;25184257493;2535328949;11692885889;2,59102E+12;1246436146;7719161330;3095536392;66642963,8;41043418489;27406375,72;1,51162E+12;19985011215;6,16998E+14;1,62092E+14;1,49405E+14;1,06355E+14;;1,13126E+15
"Eupha""""";1283436171;880980786,8;540563724,6;1154858759;887023116,1;2402672823;868188565,5;1349956238;35795517035;14134226523;24598556345;1278202497;655636078,4;4724289551;15271679378;9,93656E+12;5,13801E+11;8,84489E+11;2415939,87;345948976,3;1292993422;31213981,57;11055388206;2574073547;1727252021;188250168,6;1,53841E+12;27355809,74;1427597325;275238664,7;2220726015;8,31915E+11;350618989,2;749639898;301119514,6;96328464,98;1973896526;5299765,58;3,5841E+11;3122899604;3,09561E+13;3,86396E+13;9,05174E+12;1,31552E+13;;1,06E+14
"Ocrus""""";3968347856;3189818606;2770078174;5302211758;2926466011;7926156409;5108770010;7613709086;1,21868E+11;54220263153;93211825205;9731441321;4152372249;29297184463;52922044114;1,44874E+13;1,49979E+12;1,78969E+12;10240894,41;1426487891;5376545785;54088955,02;41401968579;20783364370;12786343138;580744156,9;5,69227E+12;10551762,03;4419871223;1355634168;7760772544;1,91517E+12;1697610379;3030009687;1217404201;40063534,31;6685004379;29913195,48;1,35553E+12;15276593187;1,29391E+14;5,0478E+13;4,4831E+13;2,92658E+13;;2,81234E+14
"Seal""""";7353,81;5612,02;6620,26;9349,62;4989,54;13534,43;15137,9;24099,37;162999,96;61090,43;112549,8;25254,49;12106,61;88234,79;75480,9;17800662,36;1995776,41;4989153,69;22,16;3553,71;12105,89;326,93;67444,46;46707,86;27469,99;1005,92;17979733,02;817,25;8601,49;3476,53;13281,1;15856608,84;4403,57;5618,66;2330,38;713,31;10114,72;104,49;5104318,42;55022,88;98929950,17;113139515,4;49794338,07;87576009,19;;414053600,8
"Whit""""";1146546,23;966483,79;991385,97;1578220,24;764420,41;2071585,17;1822154,29;2924117,51;25498915,2;10023909,71;18403025,68;2908251,7;1411405,22;10228806,82;11431584,18;3635983631;315866456,6;768108864,6;3927,78;631234,99;1631287,37;49501,51;9843983,24;5080148,62;3012498,91;155784,76;2390536293;146632,21;1333037,33;508377,76;2348023,41;2189359443;617513,06;1069710,73;436817,29;156562,14;1586791,84;11514,43;699165346,3;6883388,54;13162567927;20765453764;6514429432;12882832999;;63451981704
"Jwhit""""";5134803,99;6803450,48;3769012,59;5420536,17;2996017,26;8118648,99;8608516,85;12296763,87;97732645,45;30634589,5;58023851,09;12020655,4;7206609,55;47340720,06;43433312,6;39589954100;1742730265;4273664598;19751,72;2408090,88;6998458,03;240693,83;33145455,12;28346407,51;18352574,95;719516,97;8726588829;509730,19;5696361,18;1752284,47;17650000,93;7807700674;3756628,58;3427457,7;1396624,86;1400554,51;6270849,85;60680,71;2995106261;26933304,45;70101003808;1,73922E+11;27258532965;66412242481;;4,03339E+11
"Saithe""""";160419,02;110306,77;60349,05;117129,21;104878,99;284188,15;59342,63;108337,99;4137271,36;1809166,11;3084537,53;81911,97;40874,13;298939,29;1827152,97;166751876,2;24428333,4;24964133,09;309,73;42429,87;139757,71;3739,58;1358531,02;85876,76;60541,39;23218,89;53176956,82;9425,7;176049,54;28654,97;294581,54;42136414,85;31944,95;89733,58;36355,97;36384,62;248357,67;276,65;14713426,91;155006,5;832930417;851058790,1;230376716;335206202,9;;2590849249
"NorPout""""";38118861,45;41236650,63;15640043,37;27983162,78;21034847,98;56985101,56;20409444,59;28927231,17;643835790,4;149771906,8;310112915;33711602,31;15846811,64;95960686,11;281218683,3;4,13163E+11;12978064416;28662901324;95842,13;12656549,89;28868622,2;2037796,54;159891459,9;55186570,74;37975762,44;5400715,72;20802721260;3413733,32;41542150,91;6773036,19;110295567,3;10915483546;12966539,65;22128909,99;8924620,17;11406443,19;41952136,03;105254,33;5232596544;42532522,86;4,74504E+11;1,61496E+12;1,22189E+11;3,74409E+11;;3,08021E+12
"Plai""""";956383,01;9393950,03;7199239,26;7827154,76;516657,28;1404649,21;27514560,67;39043995,28;10460700,73;4141774,31;10594922,69;28219505,5;23571801,78;158497656,9;6068187,16;4864842393;1678743618;7993601681;36874,62;3628677,59;13716003,63;71563,97;30659205,97;88383039,81;58887762,72;80228,63;33413374982;370470,66;1298351,37;3765157,61;22754781,08;36435428941;10515125,56;2709373,11;1140317,68;77470,45;838469,35;230301,86;12553200368;104578785,6;75099371107;1,16801E+11;51109795138;1,65646E+11;;5,06275E+11
"Brill""""";435264,4;3307558,12;2767113,71;2769366,36;261321,48;710544,8;10573584,18;15068030,59;6350762,93;2359052,79;5104512,31;12138502,76;9070755,54;61397508,16;3525672,19;2473719413;675881225,7;2950694570;13012,1;1291070,96;5328166,92;30270,7;12658587,48;35332657,63;23017516,97;43277,78;12412349671;149384,52;582826,56;1438107,53;8004298,23;13027329787;3870700,07;867042,66;367800,7;41950,51;474315,34;87157,97;4534270991;39542385,14;34191976650;44279138921;22292967885;60247713450;;1,97355E+11
"SalTrout""""";364231,47;279570,03;105223,73;211853,88;219858,19;596004,43;85507,22;160272,22;7706664,64;2607490,15;4723271,7;157596,38;52917,14;381780,09;3402759,14;2333826014;90032689,31;163799634;582,37;81601,54;255312,47;14189,32;2200291,59;58834,33;52895,07;52714,55;115988859,4;23110,14;396596,37;49230,72;754046,42;46202394,54;58381,83;176916,13;71176,43;94232,14;474749,58;308,98;15427230,64;166848,75;3261212269;9139607899;734772316,5;2071921218;;17998827544
"OMacroBenth""""";2098989423;7125288168;5657347357;9444680541;1389181736;3762987089;12428276882;17053225108;47866293134;17800748977;37596479134;23206953096;10755598824;70751266757;19238829940;2,83744E+13;1,67219E+12;3,64889E+12;23657543,44;2845876540;7037571636;73856884,47;19261778945;55688958303;34478749086;263611044,2;9,13669E+12;12793284,58;2245911174;2567395956;17283362092;6,09885E+12;4656212435;4760359116;1917907770;1284004,65;2514142326;76756577,51;3,7925E+12;37168683884;8,86128E+13;1,33619E+14;5,90884E+13;5,19404E+13;;3,86463E+14
"Bird""""";248141,7;202488,96;182735,51;435297,54;169727,28;460670,96;217399,85;413394,88;5783285,97;2320475,19;4423486,33;314847,52;144530,59;1230651,9;2613209,37;11974004,72;19030128,51;4328928,01;688,21;111719,78;263086,55;8378,4;2022953,08;395168,7;265572,48;33614,75;8187702,13;4901,69;278874,6;101374,88;467751,97;5760525,47;66780,51;282099,42;114481,1;7641,93;337029,79;1184,33;9239395,92;237305,81;488411025,1;130361271,5;84335192,68;24834737,23;;810623862,8
"Jsaithe""""";4514144,24;3603451,7;1491547,84;2940771,41;2715314,33;7359090,84;1339214,35;2413464;95262898,43;32882607,5;59525199,55;2333928,26;873824,28;6202436,87;41943760,76;28332289680;1117250081;2039940565;8148,78;1142603,42;3307564,56;176049,54;27694767,27;1558021,65;1165653,12;648975,88;1617056045;313733,93;4921539,01;697423,87;9706366,96;763890824;846158,85;2409115,55;972517,09;1185111,44;5899714,13;5343,51;265963296,8;2809497,11;40441488840;1,11703E+11;9568032278;26063997990;;2,22244E+11
"Gurna""""";645973,48;924613,44;612523,73;711276,96;430093,63;1164834,14;1395908,31;1779368,61;14410757,55;5494391,04;9642629,15;1899136,07;1236844,8;7249864,87;6453966,26;3169161186;239337969,3;695197009;3659,5;484169,3;1130506,11;31838,86;5017063,84;5020210,14;3195794,51;89510,4;2053916765;126718,6;774915,41;251193,7;2282733,98;2149920337;683890,72;437317,91;181029,32;124710,48;923117,25;9149,33;768153496,7;5870581,84;8095856628;19066671016;4711732130;12025073581;;53055710411
"Jsha""""";8484444,03;4559282,4;3850231,81;5313912,88;5929879,06;16102229,68;9073700,89;14720611,25;209336181,7;78898152,29;138908753,3;15667506,93;7349629,41;53379121,15;96794280,12;13154496625;1737959490;3581895020;12582,1;2012591,49;10248387,63;294581,54;73530378,21;27305737,3;16008596,46;1233894,15;12444020707;526220,97;9706366,96;2054460,59;10766712,73;10940604526;2646381,84;3223438,93;1319084,61;878600,89;12463274,99;64163,52;3431528952;36142315,24;79132981766;82749557619;34706657296;61362883637;;3,04121E+11
"Polych""""";937194918,1;5516172022;5205140341;8294058815;556801698,3;1508776546;11142261075;15637277189;7988572018;3307637868;12788162174;24323615334;9636236838;64973701041;4258317495;3,56266E+12;7,95745E+11;1,08035E+12;18360283,92;2293614655;5540948866;51500062,59;8894097704;53438629113;31844583924;92404789,07;5,36699E+12;7920722,52;933644340,5;2364912370;13371849976;1,18342E+12;3638149264;4119994686;1658501452;1749117,08;631103852,1;64694592,99;2,13756E+12;28698315660;7,99375E+13;1,88662E+13;5,65242E+13;1,30223E+13;;1,82811E+14
"HalTur""""";596540,07;919870,53;996967,67;1178797,93;405065,89;1099936,79;2997088,17;4465224,09;13058495,64;4962360,52;9268846,17;4580156,9;2512696,67;17654736,38;6244384,64;1168533887;228664558,2;652927068,8;3476,5;441080,76;1817723,5;26620,79;7203633,14;10515125,56;6451166,79;79611,59;2793727461;62606,73;705132,37;512918,04;2205318,2;2480556316;938920,56;522971,64;216732,95;49112,8;817028,27;22555,51;912789808;9803028,51;14040310294;10937266394;8038392931;12417691744;;53784196394
"RaySkate""""";1244430,32;795329,03;592646,89;785001,87;848704,92;2299330,93;678566,25;886260,77;29435173,07;11275989,5;19642448,01;1386315,64;566797,22;2908552,58;13134994,86;5306923414;358523429,5;854618116,9;3252,91;560324,67;1216194,67;54837,19;9015481,85;1986873,61;1059718,81;176916,13;2094558011;193943,35;1472237,28;240524,85;1969879,35;2059997343;383512,54;658168,54;269716,82;202800,6;1828645,97;2053,02;636708286;4672002,81;11613187843;27740935703;5449396499;13430074668;;69657370940
"JraySkate""""";456155,52;296258,36;221836,03;295615,29;310766,33;841919,08;259158,25;341188,63;10754814,79;4118709,64;7184049,14;521247,68;217997,63;1126231,57;4801223,68;1934710245;130921528,1;312154923,2;1226,52;208008,23;450524,15;20197,76;3305414,88;760211,79;408667,44;64705,84;767163108,1;71550,69;540287,27;90514,66;732824,78;753864296,2;144488,63;245197,11;100499,09;74521,44;668861,92;827,34;233691188,5;1726249,6;4249867758;10119384489;1999631812;4908619486;;25451370785
"BlueTuna""""";636637,64;262998,53;116907,09;332467,59;462487,46;1257304,8;112274,19;252516,67;15803613,85;5539845,74;10045746,29;252020,13;79248,42;619659,33;7442125,17;45817037,61;46070135,42;11299971,22;412,97;82008,74;496970,96;22235,05;4647069,45;56811,66;51272,85;94232,14;564962,05;5253,83;724234,77;68590,76;536922,76;874558,54;36016,05;202800,6;81973,59;4784,32;908548,39;512,51;263179,36;83774,83;1177822881;324124130,8;27438166,77;29361359,2;;1714956661
"HorMack""""";5733006,86;4865183,21;1830626,1;3790448,95;3306252,14;8960306,21;1582147,17;2922188,95;108764044,5;31661880,28;60674972,26;2798690,3;950196,12;7125520,69;47784746,47;48739059455;1630610174;3256797005;10114,72;1435668,8;3843424,1;262155,32;29521873,5;1062061,17;1001332,39;820022;1910748168;400222,88;6227476,02;876961,38;13155679,16;545044235,9;1034902,48;3158570,31;1270837,64;1569310,86;6850699,21;6322;187544519,4;2328112,14;59787571476;1,88415E+11;13096605258;41167868772;;3,59104E+11
"Stur""""";674,25;4388,25;3235,21;2745,48;456,45;1238,53;11167,34;14592,28;13755,3;5102,42;8700,14;16443,67;10039,89;63484,54;7021,47;5138695,45;691273,77;2301015,04;16,5;1644,92;5872,33;46,11;11694,93;46060,37;29052,66;84,27;9210789,3;222,06;890,59;1372,4;10693,92;8821989,95;4511,1;559,91;248,2;139,78;998,21;83,5;3817387,18;35151,52;39345790,58;44213568,72;27622209,28;43886098,56;;185361206,3
"Echino""""";256950765,1;1417880739;1433062618;2151061491;151919860,4;411984366,2;3505371873;5081549938;2363019707;843674509,1;3280054796;6752133993;2978856940;20668971789;1239907632;1,70057E+12;2,80495E+11;6,25629E+11;4835670,08;599284582,6;1739093958;14713426,91;3488397696;15063840441;9068541982;25244559,23;2,7306E+12;10394320,41;265963296,8;691338147,1;3431528952;1,74891E+12;1095347770;1041886286;420644139,2;430657,14;177673755,2;22904323,08;9,41035E+11;10678537562;2,47334E+13;1,11305E+13;1,57264E+13;1,05494E+13;;7,02674E+13
"EdiCrabLobs""""";1264875,79;7444746,12;5771144,38;8325070,73;751598,76;2037190,16;15227706,11;20788434,85;16249796,28;5244167,05;15318926,83;24234981,7;13258068,57;86705147,56;7646477,41;11241568809;1222004193;3525367658;26063,47;2950023,66;7819346,45;77503,25;14177507,62;62747271,33;39542385,14;136512,61;13380726198;133484,52;1404748,56;2641761,83;18071157,62;11740220043;5881817,11;3822547,75;1553624,64;68543,04;1102789,96;105454,55;5339268781;47870017,35;87580712305;73420812343;52392023274;65082393163;;3,25365E+11
"Phyto""""";12059418967;10627805763;4969749744;10530524756;8436363481;22850456055;10612404672;14477353800;3,83162E+11;1,36719E+11;2,36138E+11;7998224282;8680171530;55151592877;1,47488E+11;2,31374E+14;8,0755E+12;1,99063E+13;31241036,9;3760733693;13567936221;277643472,3;1,05445E+11;30039748443;22794651100;1778843056;2,12671E+13;183154134,4;13480496280;2428756988;26377660589;2,18011E+13;5616124118;6334466096;2549920655;642448844;18880285729;78691581,17;8,24448E+12;58387141537;1,10863E+14;1,0169E+15;6,69858E+13;2,5862E+14;;1,76542E+15
"PlankMicroFlo""""";38615753343;13239359859;12426580367;27924242886;29225257299;79152506040;18203780881;30853766871;1,26359E+12;5,76536E+11;9,63079E+11;30853884420;12987695368;1,04376E+11;5,53185E+11;7,0915E+13;1,17599E+13;9,06016E+12;41682979,36;6921817921;39272795142;330967307,3;4,18694E+11;54507333438;34439330272;5816114118;3,74133E+13;57033056,29;43439999221;6673334856;32180383519;6,00289E+12;5104057650;17653322720;7083569142;206260810,5;69415907794;103164993,7;4,32854E+12;57105076267;1,18639E+15;1,41317E+14;3,09753E+14;1,80721E+14;;1,96221E+15
"MeioFau""""";3816845777;6358215562;3671516450;7152278025;2630433456;7124868495;9392856840;13213907187;1,13931E+11;40294275092;73449348112;7440063237;7734145167;51225667063;43358623916;7,47025E+13;3,14843E+12;9,1961E+12;20966037,08;2481687403;7034460120;102389651,6;36204092717;27258557407;19815971453;534379866,6;1,89083E+13;42167596,34;4252458790;1884692852;15425181021;2,05543E+13;4287142896;3963197454;1599705450;19955030,38;5514360109;73659224,73;6,98951E+12;46570687354;8,93144E+13;3,54003E+14;3,66538E+13;1,47894E+14;;7,61932E+14
"BenthMicroFlo""""";10440543781;11250373863;10143652597;18060601924;7700781172;20857471340;20036227689;29001153541;3,19557E+11;1,41161E+11;2,4569E+11;40586142839;16784963414;1,15747E+11;1,37236E+11;5,31776E+13;4,57571E+12;6,00324E+12;36874109,13;4907745904;17138643221;148980534,6;1,10936E+11;88344668371;53553523067;1506851795;1,66209E+13;12417368,61;11583999107;4810029432;27272392728;4,73537E+12;6622768930;9767327031;3926895588;21353715,78;17333839483;117029596,2;4,68864E+12;57851016145;3,44827E+14;2,06539E+14;1,47894E+14;8,43248E+13;;8,74946E+14
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"BenthMicroFlo""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0,38;0,18;0,32;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,34;0;0,06;0,05;0,08;0,31;0,05;0,06;0,02;0;0,06;0;0,18;0,09;0,4;0,42;0,35;0;;5,06
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BlueTuna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Brill""""";0,05;0,07;0,07;0,07;0,05;0,05;0,08;0,08;0,07;0,06;0,08;0,07;0,08;0,08;0,07;0,08;0,08;0,08;0;0,05;0,07;0;0,08;0,08;0;0,01;0,08;0;0,05;0,05;0,07;0,08;0,05;0,05;0,02;0;0,05;0;0,08;0,08;0,08;0,08;0,08;0,08;;2,48
"Cepha""""";0,06;0,08;0,08;0,08;0,06;0,06;0,08;0,09;0,1;0,09;0,1;0,07;0,08;0,1;0;0,1;0,1;0,1;0;0,05;0,09;0;0,1;0,09;0,07;0,01;0,1;0;0,06;0,05;0,08;0,1;0,05;0,06;0,02;0;0,06;0;0,1;0,08;0,1;0,1;0,1;0,1;;3
"Cet""""";0;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0;0,05;0,06;0;0,06;0,06;0,05;0,01;0,06;0;0,06;0,05;0,06;0,06;0,05;0,06;0,02;0;0,06;0;0,06;0,06;0,06;0,06;0,06;0,06;;2,02
