TI3;"TranOrc""""";"Porp""""";"Pinni""""";"ResOrc""""";"Asal""""";"Aherr""""";"Sha""""";"Hal""""";"LingCod""""";"SabFish""""";"Aatooth""""";"PacCod""""";"Jatooth""""";"DeepDem""""";"PollOne""""";"RockFish""""";"Squide""""";"DeepEpiBent""""";"Cape""""";"Jherr""""";"Jelly""""";"OmnZoopl""""";"ShalSmEpiBenth""""";"Sal""""";"NshDem""""";"Eula""""";"ShalEpiBenth""""";"Sandl""""";"HerbZoopl""""";"PollZero""""";"DeepSmInFau""""";"AviPred""""";"ShalSmInFau""""";"NeaOmnZoo""""";"Bird""""";"ShalLgInFau""""";"MeioFau""""";"DeepLgInFau""""";"BelWhale""""";"NeaHerbZoo""""";"Otter""""";"MacroalgaGrass""""";"InveatBird""""";"NeaPhyto""""";"OffshPhyto""""";;SUM;%;;
"Jatooth""""";399,41;279019,83;522987,49;104039,01;125900,13;301636436,9;1037577,97;268018,65;215606,91;796071,31;5422997,92;551576,71;1302151,36;4751275,91;21842557,51;3758079,46;54035088,32;1439091058;34366545,24;1608662626;3775500624;14436460536;177297776,9;14745745,09;5015076,52;12085426,29;5753283,74;68607455,49;56537767058;19967827,46;2770697230;4507,88;2544398,51;7231731,72;1110367,46;1363413,02;23054605,82;2647077666;4721943,18;5081313,17;6305391,41;38831204,45;769312,38;23195476,1;84014742625;;168078702008,55;0,00;;
"Jelly""""";24,8;101767999,6;331347161,4;65734318,63;98914448,02;3,06709E+11;1073198176;193156027,9;271841248,4;737887705,2;10489217063;137700185,7;2265300374;1336893768;26272833477;4763053632;93896922363;3,87005E+11;34867786335;1,5166E+12;4,47991E+12;2,02599E+13;1320823680;14791777249;3859076436;21301078910;5950124891;66224065014;8,54088E+13;19414661448;2,87052E+12;427238,54;4869378545;6945469275;2575441979;1720565336;10064207953;2,44857E+12;9043497433;9781706328;7010109950;17639256331;1211166282;9,55978E+11;8,11653E+13;;200180010699277,00;0,02;;
"Jherr""""";423,25;146138748,8;524696192,1;100483585,8;162801329,9;27961044216;817488760,7;314522364;178918022,8;755496255,5;15920435927;181256760,1;2359371851;1910584361;9479300908;2161348858;41131410058;3,54844E+11;3343593725;44089364812;3,70724E+12;3,1792E+13;2123564054;1876328260;622907470,5;9530502921;104478667,5;3306781031;1,39563E+14;1165473404;3,71127E+11;160367,13;9269452346;1228730631;3448126673;3277367865;14773297539;48963483737;6277476366;10432765465;7881841803;16445540614;1773367,56;11479180728;4,1871E+12;;180279156073100,00;0,01;;
"LingCod""""";97,01;18611,48;44761,53;11018,1;24518,24;20831135,75;108848,5;28622,75;20931,66;69604,41;988045,09;32398,68;186859,32;170639,99;1850648,77;327149,63;5113266,37;45845282,98;2364095,28;105724286,2;392659581,1;2162202708;585010,98;1067616,47;1090523,41;1142137,31;2726246,31;4596451,82;9192815215;1335021,93;195085810,8;987,15;259985,89;513470;227716,46;2489,57;2629716,68;173498470;559186;749908,53;474492,52;20015496,71;997353,13;20126879,02;5593389250;;17952512546,80;0,00;;
"MacroalgaGrass""""";0;5612612,2;27221366,38;3931252,08;2604955,03;564145286,4;6766404,85;7488537,42;4618960,78;5835585,62;103096110,4;14154470,72;7766240,89;93357025,42;323622036,1;20884488,07;353478415,4;34976985436;66138951,59;2242573720;5879752110;16772491131;1,31767E+11;26451609,42;321219301,7;88706343,25;857465099,2;110300042,5;23212776006;32698114,86;5583599973;465534,41;1,49651E+12;1857674323;27441456,19;5,28926E+11;1505865,36;3400015610;45399623,9;16397845837;690696995,6;561827606,2;17898641,43;1396877445;1,27829E+11;;2401146564991,99;0,00;;
"MeioFau""""";0;688767,61;1883505,97;0;478502,78;335854497,3;2823743,25;1230533,69;404571,8;3061537,56;15863344;3870400,33;3073947,44;45551410,35;45071899,53;12079616,2;211810131,1;12527608296;39471962,04;1343027049;2236490656;9932053790;2430483232;15262635;3171653;51276901,13;42928742,73;63614844,5;13703629500;19598985,09;3350438325;11537,78;818584,7;5656156,36;2801299,19;8240527,47;977363,84;2039814486;16812958,24;10513868,89;82243552,82;1003910,24;2786,19;1195837,89;76697534002;;125310429851,51;0,00;;
"NeaHerbZoo""""";474,95;641301,23;1056570,9;284338,02;225144,53;1880274167;19707416,58;6479891,64;634537,99;2392358,82;12445243,09;132215486;3726296,33;240267411,7;66640911,86;44180005,88;333927702,4;1613068195;151728834,7;5216382732;11955418846;42218442865;39365394,91;200895806,7;3267173739;40683113,38;54576547994;344836726,7;1,69854E+11;64553549,64;8839268705;2077804,92;693703310,7;25137206,82;151255175,8;245511814,3;57826278,89;8493503556;14698787,39;29451908,85;22513724704;60125434736;11265327678;8,81738E+12;2,70357E+11;;9492483708122,24;0,00;;
"NeaOmnZoo""""";238,31;433045,96;1646641,34;309381,54;529624,19;410200324,6;6061814,57;2070852,45;671460,77;2662731,35;52099253,29;23481500,07;8195962,62;47189962,22;43483065,25;15008587,05;209107313,3;1163756569;36431298,49;949473669,1;13119219742;1,02467E+11;15510872,86;40347692,15;571163939,2;42302072,03;9511918535;67249125,21;4,4818E+11;14075640,98;2685012151;361816,51;204865827,1;7635109,77;37346018,93;72478304,78;48077329,05;1443370379;23920457,55;38848410,53;3949019261;10526821161;1963549058;1,5366E+12;56132217341;;2190733749206,01;0,00;;
"NeaPhyto""""";0;9930722,67;53490228,53;6938399,68;3288364,83;643169604,1;6380345,59;49070018,97;9289328,78;3625206,13;179359005,6;51436301,08;9278190,44;85854806,74;2578290830;15055696,92;216997772,6;25207737805;73787836,57;3130685653;6,37318E+11;7161272185;2,20589E+13;31174669,08;3095660465;55780335,71;2421089960;146176706,9;23139163252;40652680,68;6005929668;1017117,83;4,38852E+14;5,42329E+11;54025214,56;1,5534E+14;3587513,66;6456391934;49288859,7;4,80948E+12;5642222938;2793754890;5521825,6;4336296396;1,67642E+11;;622501642235493,00;0,05;;
"NshDem""""";55,16;1491322,99;7576882,54;1121196,22;979475,89;167082332,3;3179373,52;2642891,61;1426069,08;2390365,35;54908837,46;3735438,1;5683753,39;17580549,79;87369053,6;7571610,56;119823248;6662451546;17909335,41;481337590,8;7289366602;53442781205;36163558464;12152990,73;148602866,5;29233098,51;500999700,3;28732497,25;2,2782E+11;7661107,15;1545424365;174991,05;4,59325E+11;571163939,2;14059990,3;1,62408E+11;26959050,48;715423929;19020594,36;5049268505;164728284,7;1820242709;107338444,4;8771037983;29589952538;;1003216762682,14;0,00;;
"OffshPhyto""""";0;1156985985;3869670943;760265765,3;1167365003;2,411E+11;5898608797;2268094503;1290782135;5522725014;1,12748E+11;1412516953;16802948525;14163601134;69316038663;15680007162;2,8978E+11;2,73941E+12;28525686763;5,70968E+11;2,70551E+13;2,2936E+14;13189069082;15531399343;5221756330;66895542185;884274033,9;34053280696;1,00556E+15;11305791551;3,02348E+12;2007976,48;14505621225;9905685413;24343391386;5104443319;1,15046E+11;7,88123E+11;44334220721;73733775006;54938951589;1,27829E+11;0;83821014577;4,27708E+13;;1313380250756510,00;0,10;;
"OmnZoopl""""";50803,09;84219120,09;318615270;59301731,46;102268346,3;6,79789E+12;14901608688;449245811,8;3991758846;7058126670;35123392457;615601610,1;23098336857;4121772388;5,01027E+11;85584439030;1,71856E+12;3,76534E+12;7,7103E+11;3,46822E+13;5,40265E+13;3,9184E+13;7172617875;3,19733E+11;75448632289;3,86787E+11;405970518,6;1,4986E+12;9,2016E+13;4,37141E+11;6,25622E+13;175646,45;42358747000;1,44659E+11;14589947291;15002729841;1,19185E+11;5,62882E+13;1,32978E+11;92112966251;6369488928;1,3418E+11;102590518,2;28645088739;1,83488E+15;;2190822311991810,00;0,17;;
"Otter""""";0;24357,29;188383,55;0;11924,38;260698716,6;1114329,53;571915,6;145997,7;361260,64;2918878,54;1165824,14;1681437,71;2044464,05;19886016,81;3598849,63;20072598,64;420294817,6;28589074,7;1433062146;3115604422;1061581488;37406692758;13938888,2;38759596,4;1656184,16;162806670,3;61221973,39;349072792,5;17098889,79;2635956349;28936,71;7,46967E+11;929181002,5;780763,84;2,64672E+11;164487105,6;2553423014;394159,72;8186808983;4149115,76;920929327,4;45953982,75;3761481958;73251935451;;1148518874171,74;0,00;;
"PacCod""""";126,22;46864,2;165645,67;27562,29;34726,84;44094262,86;559115,93;183898,76;52336,33;270167,94;1696891,34;412280,95;772207,4;2459931,91;8677644,18;1897927,05;29682441,11;647161918,8;5092501,08;173017816,4;321300433,3;538651408,8;1385967043;2096831,53;4614364,71;6468272,7;12896354,04;8292106,1;721957367,9;2501285,44;547588951,9;6218,05;22912568520;29006558,92;374134,55;8108484958;40639203,5;296694412,1;2220729,16;252411382,4;6120576,73;99081295,06;3219894,01;180027053,8;9887618674;;46287114297,31;0,00;;
"Pinni""""";831,62;6421,23;15989,43;2558,07;105646,85;77749033,77;470903,86;68435,02;51647,92;141224,11;816704,95;118318,33;522987,49;138141,02;8432623,38;1625844,7;30053791,32;41166945;8854312,97;357747403,7;552245269;199134543,8;3545344,72;3832899,3;6685484,59;6851649,51;19035084,6;16142178,85;101123553,9;4719360,67;756365360,5;5042,4;2164747,43;1452918,83;336171,19;15228,98;14126294,78;579559406,1;2310750,06;1440778,5;706438,32;136106831,9;7024785,9;133725571,3;19348354716;;22425100175,68;0,00;;
"PollOne""""";1155,35;5327290,77;11805672,73;2428210,91;3005844,17;1832131243;14824568,54;6224602,68;2989509,56;15101594,71;190320879,9;8677644,18;30579580,51;63839614,35;198685333,9;42861744,53;546119606,8;17125483484;208045132,1;9048423594;61303278113;4,38398E+11;1494061044;101486654;107926478;121470684,4;354163039,2;397552768,2;1,87001E+12;116308591,9;17997594590;112004,24;29028715,49;53714374,72;39113778,42;28603334,35;473254945;14981241223;75291707,72;127223559;104401588,3;2265354252;108265542,3;9024017904;4,85212E+11;;2932280568760,91;0,00;;
"PollZero""""";39,03;1073099,78;3460864,49;686148,98;1041382,24;222701460,3;5188480,42;2013576,7;1129633,94;4892867,97;98020349,82;1310197,13;14643073,47;12608555,01;60923548,12;13758234,86;249215929,1;2488905475;26277392,35;582736701,9;23729030659;2,00356E+11;14549452,06;14240394,94;4957186,98;57407028,08;1073023,13;33067632,13;8,77826E+11;10817304,53;2756012374;2504,8;59536734,76;9107767,69;21085721,87;20999133,64;107794418;838204678,4;38284124,36;64553549,64;47021946,93;119893087,8;6863,7;74529914,59;41454569019;;1151449936653,41;0,00;;
"Porp""""";212,38;616,93;4280,82;2926,91;7289,74;17564473,72;138404,97;14830,64;14316,52;52079,65;256068,19;22316,28;186013,22;37595,24;2536805,13;568616,25;11989303,54;10068642,55;2025293,51;66426704,01;113075555,1;35091300,04;143300,27;810306,24;877248,82;2773676,1;2378589,17;3216375,52;40428936,27;975545,26;184741904;972,71;82472,72;254732,92;101814,8;1885,23;3443838,03;102583217,1;946686,81;583001,12;60893,23;18708707,32;869519,65;16551204,46;3856619950;;4497238423,49;0,00;;
"ResOrc""""";69,28;585,38;341,08;365,34;29581,38;2133699,03;11113,82;1937,77;1695,09;4550,71;31073,63;2624,98;13871,87;2093,22;231258,18;48621,64;1043250,83;1161921,77;242925,02;9134871,44;14607626,36;4941810,96;3499,44;102197,64;131905,44;243702,3;409942,18;422111,47;3540169,05;124754,36;20261022,06;127,47;0,3;36397,83;10244,98;0;0;14244236,02;83804,6;51697,82;0;2620834,72;152656,09;2312799,89;506843843,5;;585241835,96;0,00;;
"RockFish""""";375,68;966647,62;1842624;413283,98;388448,59;326697973,3;2296682,06;873563,41;427811,05;2373047,03;22105610,28;1536417,14;4259156,72;11117020,92;34697602,72;7337574,19;88289916,98;3150974035;37331396,64;1670133209;8996879083;60622310980;680333373,6;17135902,83;7571610,56;19141958,14;9361237,9;72234736,33;2,55466E+11;21262726,61;3279373951;9421,05;4709141455;15008587,05;4274638,65;1665150038;102676737,7;2790135822;10552761,23;68278190,9;15295110,92;118345432,4;206438,04;42657807,93;88853373918;;432950558485,43;0,00;;
"SabFish""""";289,6;88535,41;160053,99;38681,04;51215,41;119563941,2;643889,16;121913,25;91021,16;344038,52;2270710,99;218707,38;902214,15;1103173,21;12225100,48;2373047,03;40531750,4;324972540,8;13712754,54;583792561,1;1393787888;4999506391;32588543,67;5729932,4;2390365,35;9080988,34;1309224,72;25620710,13;20020187969;7561705,05;1186590301;2064,13;85313644,31;2662731,35;540984,29;29871280,93;26023069,29;957072537,5;3330970,47;3697281,81;1535357,71;33068318,52;235948,56;10271417,36;31295441748;;61236627511,08;0,00;;
"Sal""""";386,37;1296489,99;4088425,91;817581,11;1140794,96;375320018,1;5903599,73;2235044,87;1313989,5;5392877,55;103608903,9;1597585,93;15728794,76;14020580,66;77323164,98;16127908,54;287601935,4;3054739061;43729059,36;1364602371;26296492886;2,13156E+11;1755180607;21754636,91;11438108,92;66268267,01;11665570,89;66890916,79;9,31536E+11;20713301,73;4190153335;10469,09;20455812279;37974298,49;22407724,59;7229600261;122101080;2116189238;42245317,67;292212082,5;55755552,79;141075250,2;97799,68;83132450,89;82834129828;;1295941387157,15;0,00;;
"Sandl""""";99,35;6111113,49;20446759,88;4010058,99;6109277,13;1223298034;30541146,78;11865025,02;6717891,12;28634911,33;584489697;7502381,71;86902776,95;73739997,66;359690599,8;80732940,6;1484880656;14427538326;144829026,8;2855856345;1,39806E+11;1,18639E+12;1735156362;79432963,68;32112791,04;342732781,8;18180464,41;171670767,7;5,20122E+12;57116819,14;15425180650;18071,67;19699284446;75160787;126156810,8;6962094175;604341022,8;3934888180;228466619,7;595627073,4;290804373,6;698566935,8;1373062,25;462892905,3;2,15671E+11;;6816073525859,66;0,00;;
"Sha""""";1004,41;262969,43;596478,22;105581,31;660648,16;137897741,2;796874,25;361476,12;159086,27;719640,83;7383064,8;505866,79;1314265,43;3433758,31;13412704,87;2566879,95;35590859,04;1001978004;15788814,65;706013020,6;2265640594;11797106878;345627553,5;7010524,68;3553417,46;7998850,39;6528225,46;30541146,78;48041637351;8961920,73;1333288292;5115,82;2704958836;6774969,22;1359804,93;956128627,2;26825560,91;1165684515;3692471,42;34040083,18;5293065,29;42853897,36;729736,26;20204427,71;37357855714;;108103850315,81;0,00;;
"ShalEpiBenth""""";1717,39;2140730,25;11421050,76;1844739,83;953684,4;49103771,73;3092317,33;3574358,6;1887401,29;693118,97;38916939,17;5527008,88;3451970,24;10541772,66;151784159,6;4955949,48;30487754,14;6632644362;3823196,55;42741273,07;5950124891;152238944,5;2,28808E+11;6561883,62;265235135,5;6133358,17;691166575,9;8611798,93;317360846;877928,01;722819419;284474,88;4,0753E+12;5035721578;12840254,04;1,44207E+12;193179342,3;208506716;9710534,49;44653539268;366315008,3;2572395298;128806808,6;3631634940;2652822102;;5820762663324,30;0,00;;
"ShalLgInFau""""";0;754,09;4061,06;0;752,23;10724704823;201290237,3;71015887,24;766,02;7028536,69;194497,49;1544473325;363576,81;2775426099;5448254,16;391800008,9;1932588759;34452862,83;493173014,3;595885066,3;764695705;2500454974;79694558,2;1807400065;38213550025;41254454,6;6,40921E+11;1465704037;7479742533;7636048,6;47362367,82;24317781,51;835004980,2;17053718,77;1743103675;287283884,1;16481054,94;13778212,11;1011481,9;89277023,38;2,64672E+11;7,05235E+11;1,32294E+11;1,0356E+14;6805924426;;105384232478821,00;0,01;;
"ShalSmEpiBenth""""";11363,53;257940,48;4254413,67;31495;312137,15;11921646551;327436629,6;130128482,8;810015,2;34505516,83;230418419,2;1187971751;212757332,3;1911981670;1280623752;720352983,8;2863800080;293488070,6;567060894,5;1737461498;2641647359;5379463406;732756681,6;1974578182;38290826609;83799822,34;4,57615E+11;1643832343;8847945320;23808194,27;65486585297;26497376,76;731604106;16423277,15;1342450481;358625511,9;21874349087;20357275096;12975332,28;64416100,76;1,6833E+11;7,90603E+11;1,02687E+11;6,61767E+13;79134414492;;67968353109069,10;0,01;;
"ShalSmInFau""""";148,92;57730,9;1010215,47;1,05;8524,37;53104049004;996563781,6;351789075,2;139992,4;35129147,66;7591436,2;7637522840;1187385,97;13708999877;9676238,5;1939058246;9555188526;29298421,19;2442218696;2949371201;3787294424;12354634542;284512707,9;8949417872;1,89134E+11;205682387,8;3,16967E+12;7257631112;36315525697;37887013,03;27457876,22;120423997,3;4010155668;84356517,05;8616735696;1461258715;2865046,45;9841605,86;5154989,32;441447561,4;1,30719E+12;3,49186E+12;6,54389E+11;5,11994E+14;33846449525;;521016919681497,00;0,04;;
"Squide""""";338,57;26376467,79;44078893,93;11475759,17;8270116,42;7235162443;41210468,36;17693837,78;8653220,02;52452853,46;451398097,4;31095890,69;79251462,87;194582449,3;572125302,4;114257539,6;566820438,2;57650796735;819358313,1;41131410058;2,29526E+11;1,57535E+12;3500200098;395452661,1;155065379,7;90186665,06;74525621,22;1719335497;6,67862E+12;498431858,3;69729399810;188901,33;30030592512;270609464,3;80751364,95;10629238176;2329911442;70017725115;127638731;667855404,8;110399292,5;2592175046;137956,57;795658499,5;2,12505E+12;;10911421212031,80;0,00;;
"TranOrc""""";0,31;42,48;110,88;69,28;29,38;6,55;105,73;28,36;14,93;34,07;526,23;12,02;53,25;35,92;110,03;44,2;30,78;724,43;10,02;38,48;5,51;4233,59;1262,61;48,3;6,49;32,54;381,64;10,46;7090,78;7,1;2,66;7,68;42,55;28,04;93,44;0;0;0;132,94;86,36;0;0;0;0;0;;15500,01;0,00;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13110263260532400,00;1,00;;
