"TI3";""TranOrc"";""SSLpup"";""SSLjuv"";""SSLad"";""Smamm"";""ToothWhale"";""Sal"";""Spela"";""AtkaMack"";""Herr"";""Apoll"";""DemSM"";""Mycto"";""BenthInv"";""Cephalo"";""Lzoopl"";""Szoopl"";""BalWhale"";""ShaMeater"";""Sandl"";""Jpoll"";""RockFish"";""PacCod"";""ShaSkate"";""ArrToo"";""FlatFish"";""Lpred"";""SabFish"";""Shri"";""EpiCarn"";""Otter"";""Bird"";""Lpela"";""DeepL"";""Halib"";""Macroph"";""POP"";""Phyto"";;SUM
""Lzoopl"";"0,01";"0,00";"0,03";"0,03";"0,03";"0,06";"0,06";"0,06";"0,04";"0,07";"0,04";"0,04";"0,04";"0,03";"0,04";"0,04";"0,06";"0,06";"0,03";"0,05";"0,05";"0,05";"0,04";"0,04";"0,05";"0,04";"0,05";"0,07";"0,05";"0,05";"0,03";"0,06";"0,09";"0,03";"0,03";"0,03";"0,06";"0,21";;"1,85"
""Szoopl"";"0,01";"0,00";"0,02";"0,02";"0,02";"0,05";"0,05";"0,02";"0,03";"0,06";"0,04";"0,02";"0,03";"0,02";"0,02";"0,04";"0,04";"0,05";"0,02";"0,02";"0,04";"0,04";"0,03";"0,03";"0,02";"0,04";"0,02";"0,02";"0,02";"0,04";"0,02";"0,05";"0,08";"0,02";"0,02";"0,02";"0,06";"0,20";;"1,33"
""BalWhale"";"0,01";"0,00";"0,02";"0,02";"0,02";"0,02";"0,05";"0,05";"0,03";"0,05";"0,03";"0,03";"0,01";"0,01";"0,03";"0,03";"0,04";"0,03";"0,04";"0,04";"0,03";"0,04";"0,03";"0,02";"0,02";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,02";"0,02";"0,01";"0,01";"0,02";"0,01";"0,02";;"0,90"
""ShaMeater"";"0,01";"0,01";"0,04";"0,02";"0,01";"0,01";"0,04";"0,01";"0,01";"0,02";"0,03";"0,03";"0,01";"0,01";"0,03";"0,01";"0,01";"0,04";"0,03";"0,01";"0,01";"0,03";"0,01";"0,03";"0,03";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,07";"0,04";"0,01";"0,01";"0,01";"0,01";;"0,78"
""Sandl"";"0,01";"0,01";"0,01";"0,04";"0,03";"0,01";"0,02";"0,02";"0,02";"0,01";"0,01";"0,02";"0,02";"0,02";"0,03";"0,03";"0,01";"0,04";"0,01";"0,03";"0,02";"0,04";"0,03";"0,03";"0,01";"0,03";"0,01";"0,02";"0,01";"0,02";"0,08";"0,04";"0,01";"0,01";"0,03";"0,06";"0,01";"0,01";;"0,88"
""Jpoll"";"0,02";"0,02";"0,04";"0,04";"0,04";"0,02";"0,02";"0,02";"0,04";"0,02";"0,04";"0,04";"0,04";"0,03";"0,02";"0,03";"0,04";"0,04";"0,02";"0,02";"0,03";"0,04";"0,02";"0,03";"0,04";"0,02";"0,04";"0,02";"0,04";"0,04";"0,02";"0,05";"0,02";"0,02";"0,04";"0,02";"0,02";"0,02";;"1,17"
""RockFish"";"0,02";"0,02";"0,04";"0,04";"0,04";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,04";"0,05";"0,04";"0,04";"0,03";"0,02";"0,03";"0,02";"0,02";"0,02";"0,02";"0,03";"0,04";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";;"1,00"
""PacCod"";"0,02";"0,02";"0,05";"0,05";"0,05";"0,03";"0,03";"0,06";"0,04";"0,03";"0,04";"0,04";"0,04";"0,04";"0,04";"0,04";"0,04";"0,05";"0,03";"0,05";"0,03";"0,03";"0,03";"0,04";"0,05";"0,05";"0,05";"0,07";"0,05";"0,05";"0,03";"0,05";"0,02";"0,06";"0,05";"0,03";"0,07";"0,03";;"1,59"
""ShaSkate"";"0,02";"0,01";"0,05";"0,05";"0,03";"0,03";"0,05";"0,05";"0,04";"0,06";"0,05";"0,04";"0,04";"0,04";"0,04";"0,04";"0,05";"0,03";"0,06";"0,05";"0,05";"0,05";"0,04";"0,03";"0,05";"0,05";"0,05";"0,07";"0,05";"0,05";"0,03";"0,03";"0,03";"0,06";"0,05";"0,03";"0,03";"0,03";;"1,65"
""ArrToo"";"0,02";"0,01";"0,04";"0,04";"0,02";"0,02";"0,02";"0,05";"0,04";"0,05";"0,04";"0,04";"0,04";"0,04";"0,03";"0,03";"0,02";"0,02";"0,05";"0,02";"0,04";"0,02";"0,04";"0,04";"0,03";"0,02";"0,05";"0,06";"0,04";"0,02";"0,02";"0,02";"0,03";"0,05";"0,03";"0,02";"0,02";"0,02";;"1,19"
""FlatFish"";"0,02";"0,02";"0,04";"0,04";"0,04";"0,02";"0,02";"0,02";"0,04";"0,02";"0,04";"0,03";"0,04";"0,04";"0,03";"0,03";"0,04";"0,02";"0,02";"0,05";"0,02";"0,02";"0,04";"0,03";"0,02";"0,03";"0,02";"0,02";"0,04";"0,04";"0,03";"0,02";"0,02";"0,06";"0,05";"0,02";"0,06";"0,02";;"1,18"
""Lpred"";"0,02";"0,01";"0,04";"0,04";"0,02";"0,02";"0,02";"0,02";"0,03";"0,01";"0,02";"0,03";"0,03";"0,03";"0,03";"0,03";"0,01";"0,02";"0,05";"0,02";"0,04";"0,02";"0,03";"0,03";"0,04";"0,02";"0,03";"0,02";"0,04";"0,04";"0,02";"0,02";"0,02";"0,02";"0,04";"0,02";"0,02";"0,01";;"0,96"
""SabFish"";"0,01";"0,00";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,03";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";;"0,47"
""Shri"";"0,01";"0,00";"0,02";"0,02";"0,04";"0,02";"0,01";"0,02";"0,04";"0,02";"0,04";"0,03";"0,02";"0,04";"0,03";"0,03";"0,02";"0,02";"0,02";"0,02";"0,04";"0,04";"0,04";"0,03";"0,04";"0,04";"0,04";"0,03";"0,03";"0,04";"0,02";"0,02";"0,02";"0,06";"0,05";"0,02";"0,06";"0,02";;"1,08"
""EpiCarn"";"0,01";"0,00";"0,02";"0,02";"0,04";"0,02";"0,02";"0,02";"0,04";"0,02";"0,04";"0,04";"0,02";"0,04";"0,03";"0,03";"0,04";"0,02";"0,02";"0,03";"0,04";"0,04";"0,03";"0,03";"0,02";"0,04";"0,04";"0,02";"0,04";"0,03";"0,09";"0,02";"0,02";"0,02";"0,04";"0,06";"0,02";"0,02";;"1,14"
""Otter"";"0,00";"0,00";"0,00";"0,01";"0,01";"0,01";"0,00";"0,00";"0,02";"0,00";"0,01";"0,02";"0,01";"0,02";"0,01";"0,01";"0,00";"0,01";"0,00";"0,03";"0,01";"0,01";"0,01";"0,01";"0,00";"0,01";"0,01";"0,01";"0,01";"0,03";"0,02";"0,01";"0,00";"0,00";"0,01";"0,01";"0,00";"0,00";;"0,30"
""Bird"";"0,01";"0,00";"0,01";"0,01";"0,02";"0,02";"0,04";"0,04";"0,03";"0,05";"0,01";"0,01";"0,03";"0,03";"0,02";"0,03";"0,03";"0,02";"0,01";"0,04";"0,03";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,02";"0,01";"0,01";"0,02";"0,01";"0,02";;"0,77"
""Lpela"";"0,00";"0,00";"0,01";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,01";"0,01";"0,01";"0,02";"0,02";"0,02";"0,03";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,00";"0,01";"0,01";"0,02";;"0,39"
""DeepL"";"0,00";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,03";"0,02";"0,01";"0,01";"0,01";"0,04";"0,01";"0,01";"0,01";"0,03";"0,03";"0,03";"0,03";"0,02";"0,02";"0,03";"0,01";"0,01";"0,01";"0,01";"0,03";"0,03";"0,01";"0,05";"0,01";;"0,66"
""Halib"";"0,01";"0,00";"0,02";"0,02";"0,02";"0,01";"0,01";"0,01";"0,03";"0,01";"0,03";"0,03";"0,03";"0,03";"0,03";"0,02";"0,01";"0,02";"0,02";"0,04";"0,04";"0,02";"0,03";"0,03";"0,02";"0,04";"0,04";"0,06";"0,04";"0,04";"0,03";"0,02";"0,01";"0,05";"0,03";"0,02";"0,02";"0,01";;"0,96"
""Macroph"";"0,00";"0,00";"0,01";"0,01";"0,01";"0,01";"0,04";"0,04";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,02";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,00";;"0,45"
""POP"";"0,00";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,02";"0,02";"0,02";"0,03";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,01";"0,03";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,01";"0,04";"0,01";"0,01";"0,02";"0,02";;"0,54"
""Phyto"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,02";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,02";;"0,13"


"WI3";""TranOrc"";""SSLpup"";""SSLjuv"";""SSLad"";""Smamm"";""ToothWhale"";""Sal"";""Spela"";""AtkaMack"";""Herr"";""Apoll"";""DemSM"";""Mycto"";""BenthInv"";""Cephalo"";""Lzoopl"";""Szoopl"";""BalWhale"";""ShaMeater"";""Sandl"";""Jpoll"";""RockFish"";""PacCod"";""ShaSkate"";""ArrToo"";""FlatFish"";""Lpred"";""SabFish"";""Shri"";""EpiCarn"";""Otter"";""Bird"";""Lpela"";""DeepL"";""Halib"";""Macroph"";""POP"";""Phyto"";;SUM
""TranOrc"";"0,16";"0,49";"184,97";"643,26";"28,57";"12,53";"32,53";"139,63";"151,12";"67,15";"283,79";"45,85";"125,45";"1169,52";"421,72";"2100,51";"2233,99";"50,43";"1,13";"23,97";"67,61";"2,19";"228,78";"39,99";"53,36";"35,84";"207,22";"17,86";"239,89";"548,36";"52,25";"4,98";"0,13";"24,19";"33,09";"701,36";"2,86";"0,00";;"9976,72"
""SSLpup"";"0,12";"0,08";"0,02";"0,01";"0,00";"0,00";"0,57";"0,02";"1,07";"0,01";"0,06";"0,48";"0,04";"0,00";"0,18";"0,00";"0,00";"0,00";"0,00";"0,02";"0,03";"0,06";"0,18";"0,02";"0,04";"0,10";"0,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"3,33"
""SSLjuv"";"693,63";"0,25";"14039,97";"50248,54";"9196,87";"6467,12";"877852,44";"2477867,02";"2440529,58";"761061,53";"1065410,76";"1055665,58";"3351610,70";"1624784,90";"855617,53";"10953580,16";"14313596,55";"119394,35";"493,79";"598458,36";"411469,43";"124150,32";"110769,96";"57626,45";"24255,72";"330979,92";"676069,79";"599850,62";"2611978,67";"4316165,35";"89178,17";"4190,80";"1894,57";"56261,22";"15006,12";"1521194,92";"235043,48";"1198220583,82";;"1249983238,92"
""SSLad"";"2412,21";"0,17";"50248,54";"182838,42";"33367,25";"24148,80";"3274617,29";"9476113,54";"9538869,08";"2941569,12";"4065617,90";"2962467,57";"12855412,11";"4741236,95";"2834317,56";"44765410,35";"55205718,49";"472069,75";"1872,87";"2288378,29";"1579953,88";"416241,11";"329850,27";"181667,48";"82643,35";"972000,79";"2405880,85";"2301994,74";"8094173,70";"12470604,66";"229681,39";"15763,80";"6954,89";"163844,17";"50801,21";"4113100,61";"953101,69";"4900586708,91";;"5090671653,76"
""Smamm"";"128,58";"0,08";"11036,24";"40040,70";"4378,73";"2426,38";"407376,42";"1325948,61";"837672,89";"406102,97";"459147,94";"464914,52";"1719186,03";"912432,52";"453899,99";"2257976,31";"7849025,57";"50371,78";"171,25";"320174,51";"147362,99";"50428,08";"54425,97";"26339,25";"14104,93";"146875,20";"363626,11";"321851,99";"1218535,97";"1878804,39";"39055,67";"2046,52";"771,40";"22615,60";"7410,22";"718478,45";"56624,63";"271393542,43";;"293985311,84"
""ToothWhale"";"34,47";"0,00";"4742,55";"17709,12";"1482,78";"644,01";"139366,08";"390286,98";"221299,72";"115181,33";"128228,79";"119689,47";"494967,14";"410177,80";"145888,73";"37750544,61";"277942181,04";"15157,97";"42,02";"94335,68";"39407,55";"13623,35";"18290,16";"7509,74";"4812,80";"37271,64";"113951,65";"90843,06";"306218,01";"457717,95";"9208,80";"720,58";"200,88";"6002,34";"2779,24";"205930,71";"13766,01";"65031270,23";;"384351484,98"
""Sal"";"97,60";"6,87";"702281,95";"2619693,83";"271584,28";"152035,72";"12755720,21";"28069562,84";"70578042,58";"9965032,33";"30092163,23";"9659774,41";"46659280,38";"27721433,14";"12862208,10";"27030140793,42";"196539647860,54";"3601018,98";"6982,85";"6756278,86";"12125622,23";"2433357,11";"2364425,76";"935449,00";"972057,01";"5446249,04";"8655059,72";"7019578,63";"24250099,39";"40489045,91";"768197,22";"172940,35";"40278,82";"909147,60";"305353,69";"29320086,72";"9908481,42";"52170799578,88";;"276149176860,60"
""Spela"";"383,99";"0,19";"1817102,48";"6949149,93";"810301,93";"390286,98";"25730432,60";"5430961,43";"228859197,52";"5989723,80";"86031669,47";"10919101,73";"48302585,18";"82527620,94";"19261921,99";"41666745288,29";"292970824263,00";"10687466,31";"18726,70";"1218745,25";"39062396,59";"6805891,96";"7083755,37";"2092688,97";"2861671,59";"12490854,23";"7685171,79";"1130033,60";"12199902,36";"44555879,88";"870204,91";"523048,33";"106803,14";"3042311,84";"867778,65";"62673399,68";"37093506,91";"197478434848,60";;"532892095078,13"
""AtkaMack"";"868,92";"24,66";"3742145,36";"14626265,93";"1070359,81";"462717,60";"135274581,60";"478523776,63";"419378713,02";"156557266,65";"205199463,83";"46975100,29";"651664348,05";"131465533,42";"115264062,30";"327993746700,40";"2421296212127,58";"24337227,92";"23051,44";"115608104,81";"71989320,73";"15104781,26";"11376817,55";"5474829,06";"5366159,38";"24407855,78";"112675939,25";"119611762,28";"230408149,52";"225383279,47";"1514624,32";"660820,00";"293392,43";"3755034,37";"1440168,79";"69983074,07";"42729622,99";"220363028096,02";;"2973095336167,46"
""Herr"";"167,88";"0,10";"507374,35";"1961046,08";"225612,76";"104710,30";"8304193,61";"5445203,46";"68068376,81";"3003580,64";"25793162,46";"2701789,25";"19002580,29";"22391459,73";"5830889,16";"14919007302,71";"106031076750,87";"3200467,20";"5055,18";"1290759,51";"11610107,62";"2011239,88";"2004756,51";"595684,20";"828173,99";"3475831,23";"2879698,32";"1307287,74";"4090414,31";"11693422,94";"179822,68";"146315,52";"32341,46";"867665,94";"240436,58";"15965160,67";"10842197,71";"57693898071,72";;"178880589111,36"
""Apoll"";"1489,88";"1,36";"1491575,06";"5691865,06";"535672,60";"244800,41";"52661285,65";"164242278,08";"187356032,19";"54165641,17";"85299976,96";"18990362,85";"231315751,33";"77244233,13";"43244172,43";"96012362762,01";"705084450151,62";"10246470,38";"14075,64";"39653231,35";"31982769,07";"6618852,39";"5560968,65";"2368460,58";"2288922,04";"10774793,23";"40293675,60";"40700278,88";"80894645,69";"86460982,10";"733166,42";"319046,29";"120320,44";"2207082,11";"718141,42";"35561810,58";"21688392,99";"113036642120,61";;"915475146258,26"
""DemSM"";"286,53";"11,97";"1759442,64";"4937445,94";"645714,61";"272021,52";"20124530,02";"24816140,30";"51059891,62";"6754473,13";"22607574,83";"40021403,67";"32530852,96";"334855657,55";"36037787,10";"6312522789,81";"43874557770,48";"2272891,69";"26166,60";"5719025,68";"9941890,66";"5825022,50";"13082994,59";"3393270,81";"1781141,49";"13406770,60";"27646936,87";"4027924,24";"48391035,23";"103365277,60";"3574211,07";"164231,46";"33029,82";"6895224,66";"1687348,20";"75212212,62";"6060668,20";"31133087365,48";;"82229098434,78"
""Mycto"";"721,37";"0,94";"5139136,40";"19711631,90";"2196737,70";"1034931,28";"89430287,39";"100996314,48";"651664348,05";"43705934,68";"253345822,88";"29928384,72";"239787026,45";"236543638,88";"66614034,65";"164062072528,07";"1174329914199,71";"31192352,73";"50692,95";"24153446,40";"111224680,53";"19746954,58";"19934158,06";"6110404,81";"8170896,44";"34375690,34";"39340025,52";"24580480,91";"60478835,59";"127584924,97";"1803462,53";"1405615,83";"319452,01";"8546079,65";"2432799,12";"156603523,78";"101133001,34";"537280512226,55";;"1878191785384,18"
""BenthInv"";"7017,11";"0,02";"2599655,84";"7585979,12";"1216576,70";"894933,37";"55442866,29";"180060263,88";"137181426,18";"53739503,36";"88279123,58";"321461431,25";"246828144,92";"98873059,45";"143569994,22";"165539207,11";"1011361436,00";"5880487,40";"59010,48";"43161520,26";"29776871,10";"18575266,26";"19190570,64";"11553203,81";"3051475,28";"93278482,04";"68547141,60";"45980702,89";"680408277,97";"1348035432,20";"35086454,87";"443913,99";"218947,43";"8404411,72";"1589919,86";"519804026,99";"6563782,27";"23139311813,06";;"28593562330,52"
""Cephalo"";"3162,89";"5,32";"1711235,06";"5668635,12";"756499,99";"397878,36";"32155520,26";"52532514,51";"150344429,09";"17492667,48";"61777389,19";"43245344,52";"86887871,28";"179462492,78";"37227060,06";"21045693069,22";"147470651073,40";"7078855,36";"26888,46";"12501472,52";"26346908,41";"7183379,41";"9807106,43";"3273637,04";"2287065,74";"17728013,63";"24368127,63";"11896106,95";"80494664,39";"159526584,13";"4066446,94";"356320,02";"89498,74";"4813928,41";"1226871,85";"91528266,56";"20924469,56";"109831120303,26";;"279502651763,98"
""Lzoopl"";"13653,31";"0,00";"18986205,61";"77593377,94";"3261521,34";"89228559,98";"58565305052,42";"98485034317,79";"370775539748,28";"38789418987,06";"118872449133,92";"6565023701,40";"185461473292,60";"179334141,03";"18239600659,99";"5900689521710,04";"22494226450652,20";"16067644748,52";"68363,64";"23818769413,13";"62523102949,01";"9263550854,77";"308631897,16";"846455551,19";"347667684,23";"5502624916,31";"20636420733,06";"24731080662,91";"44401262327,31";"62458268295,00";"11223894,07";"172702958,90";"182306739,74";"3380569,97";"5115400,79";"191329663,87";"56280876472,01";"300655249210977,00";;"330274039929787,00"
""Szoopl"";"10052,96";"0,00";"17176315,86";"66246862,19";"7849025,57";"454814478,07";"294809471790,81";"479406803339,46";"1894927470360,71";"190855938151,57";"604358100129,96";"31589681594,74";"919040802417,16";"758521077,00";"88482390644,04";"15572926004297,70";"5904904371067,99";"81822971295,52";"183383,43";"115944942558,86";"319506812291,11";"47164987334,91";"1461086723,73";"4175907980,47";"1672097214,97";"27616919642,17";"100304129239,43";"120398351464,90";"215349346024,51";"309739799506,82";"4466557,32";"881230320,67";"926355416,69";"29692712,36";"8262268,08";"526534545,19";"288952626782,06";"1544008015625600,00";;"1571627107980470,00"
""BalWhale"";"176,51";"0,00";"111434,73";"440598,43";"39178,05";"19291,96";"4201188,81";"13602229,85";"14813964,82";"4480654,08";"6830980,25";"1272819,35";"18986649,49";"3430284,32";"3303465,84";"8651808710,74";"63640088785,41";"816599,51";"991,59";"3284999,20";"2520470,44";"493969,63";"348707,75";"168150,79";"175323,76";"789716,28";"3143557,75";"3388083,57";"6419723,22";"6491931,34";"34339,75";"25167,29";"9649,11";"124981,57";"45707,67";"2332778,25";"1689028,57";"8797793512,04";;"81193527801,75"
""ShaMeater"";"3,39";"0,02";"395,03";"1498,30";"114,17";"45,84";"6982,85";"20429,13";"12026,84";"6066,21";"8043,22";"12559,97";"26448,50";"29505,24";"10755,38";"31552,45";"122255,62";"849,93";"2,89";"4945,20";"2343,90";"1121,82";"1743,67";"677,73";"427,31";"3897,69";"7354,61";"4882,02";"27290,17";"47036,19";"1119,59";"52,52";"12,97";"687,55";"213,51";"22127,15";"625,75";"2674811,62";;"3090905,92"
""Sandl"";"77,92";"0,29";"518663,91";"1983261,18";"231237,14";"111487,63";"7319302,10";"1440335,30";"65343711,41";"1677987,37";"24547238,46";"2973893,35";"13651947,97";"23379156,81";"5417304,76";"11909384706,57";"83738014070,28";"3050356,40";"5357,30";"321004,34";"11150711,78";"1936343,59";"2015334,13";"593015,67";"816458,15";"3531840,82";"2142549,21";"294526,43";"3194424,37";"12188323,20";"235036,70";"149251,39";"30426,09";"866707,03";"246860,98";"17674546,71";"10599844,48";"56436756795,47";;"152303794096,69"
