TI3;"Cet""""";"SCod""""";"RedFish""""";"Cape""""";"LPelaFeed""""";"PiscSPelaFeed""""";"PlankSPelaFeed""""";"Shri""""";"Lzoopl""""";"HarpSeal""""";"LCod""""";"SPlai""""";"LPlai""""";"Flou""""";"LDemFeed""""";"SDemFeed""""";"LCrus""""";"BenthInv""""";"HoodSeal""""";"GreenHal""""";"GreySeal""""";"Skate""""";"HarbSeal""""";"Bird""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"LCod""""";0,03;0,05;0,04;0,06;0,03;0,06;0,05;0,05;0,05;0,06;0,04;0,06;0,04;0,05;0,03;0,03;0,05;0,06;0,07;0,03;0,05;0,03;0,08;0,03;0,08;0,07;0,06;0,07;0,04;;1,45
"SPlai""""";0,02;0,05;0,02;0,02;0,02;0,03;0,02;0,04;0,04;0,05;0,05;0,04;0,04;0,03;0,05;0,05;0,05;0,06;0,02;0,03;0,05;0,03;0,02;0,06;0,08;0,07;0,06;0,06;0,04;;1,18
"LPlai""""";0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,04;0,02;0,02;0,03;0,02;0,02;0,02;0,04;0,04;0,01;0,01;0,04;0,02;0,01;0,01;0,07;0,06;0,04;0,01;0,02;;0,72
"Flou""""";0,03;0,05;0,02;0,03;0,07;0,03;0,05;0,04;0,05;0,05;0,05;0,04;0,04;0,04;0,06;0,05;0,06;0,06;0,07;0,03;0,05;0,04;0,03;0,06;0,08;0,07;0,06;0,02;0,03;;1,36
"LDemFeed""""";0,02;0,04;0,02;0,02;0,02;0,04;0,04;0,04;0,02;0,05;0,02;0,05;0,03;0,04;0,03;0,04;0,05;0,05;0,02;0,06;0,05;0,03;0,02;0,03;0,03;0,02;0,05;0,02;0,02;;0,98
"SDemFeed""""";0,03;0,05;0,02;0,05;0,07;0,03;0,05;0,05;0,05;0,06;0,03;0,06;0,04;0,06;0,06;0,04;0,06;0,06;0,03;0,07;0,06;0,09;0,03;0,07;0,08;0,07;0,07;0,03;0,03;;1,53
"LCrus""""";0,02;0,05;0,01;0,02;0,03;0,02;0,03;0,04;0,04;0,06;0,05;0,06;0,08;0,05;0,06;0,05;0,04;0,06;0,02;0,02;0,05;0,08;0,02;0,03;0,09;0,08;0,06;0,02;0,03;;1,27
"BenthInv""""";0,02;0,04;0,02;0,02;0,02;0,05;0,04;0,04;0,02;0,05;0,04;0,05;0,06;0,04;0,05;0,04;0,05;0,03;0,02;0,02;0,03;0,03;0,02;0,06;0,03;0,03;0,03;0,02;0,02;;0,98
"HoodSeal""""";0,02;0,03;0,07;0,04;0,01;0,04;0,03;0,01;0,02;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,05;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,01;;0,64
"GreenHal""""";0,02;0,02;0,02;0,04;0,02;0,02;0,03;0,03;0,03;0,02;0,01;0,02;0,01;0,02;0,04;0,03;0,01;0,02;0,06;0,03;0,04;0,02;0,02;0,05;0,01;0,01;0,01;0,02;0,01;;0,7
"GreySeal""""";0,03;0,04;0,02;0,05;0,07;0,05;0,04;0,03;0,03;0,03;0,04;0,05;0,06;0,04;0,05;0,05;0,05;0,03;0,03;0,06;0,04;0,07;0,03;0,03;0,03;0,03;0,03;0,02;0,02;;1,11
"Skate""""";0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,01;0,01;0,02;0,04;0,03;0,01;0,05;0,01;0,01;0,04;0,01;0,01;;0,53
"HarbSeal""""";0,02;0,03;0,02;0,04;0,05;0,04;0,03;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,02;0,01;;0,54
"Bird""""";0,02;0,02;0,02;0,04;0,02;0,04;0,04;0,03;0,02;0,02;0,02;0,04;0,01;0,03;0,02;0,04;0,02;0,04;0,02;0,06;0,02;0,07;0,02;0,03;0,02;0,01;0,02;0,02;0,01;;0,78
"Echino""""";0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,04;0,05;0,03;0,01;0,03;0,04;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,02;0,02;0,01;0,01;;0,53
"Mollu""""";0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,04;0,05;0,03;0,01;0,03;0,04;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,03;0,02;0,02;0,08;;0,65
"Polych""""";0,02;0,04;0,01;0,01;0,06;0,02;0,02;0,04;0,02;0,02;0,04;0,04;0,06;0,04;0,05;0,04;0,05;0,02;0,01;0,02;0,03;0,07;0,02;0,02;0,03;0,03;0,04;0,02;0,09;;0,99
"Szoopl""""";0,03;0,03;0,07;0,04;0,02;0,04;0,03;0,04;0,04;0,02;0,04;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,04;0,09;;0,82
"Phyto""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,04;0,04;0,03;;0,41
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Cet""""";"SCod""""";"RedFish""""";"Cape""""";"LPelaFeed""""";"PiscSPelaFeed""""";"PlankSPelaFeed""""";"Shri""""";"Lzoopl""""";"HarpSeal""""";"LCod""""";"SPlai""""";"LPlai""""";"Flou""""";"LDemFeed""""";"SDemFeed""""";"LCrus""""";"BenthInv""""";"HoodSeal""""";"GreenHal""""";"GreySeal""""";"Skate""""";"HarbSeal""""";"Bird""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"Cet""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SCod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"RedFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cape""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LPelaFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PiscSPelaFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PlankSPelaFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Shri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lzoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HarpSeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LCod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SPlai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LPlai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Flou""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LDemFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SDemFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LCrus""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HoodSeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"GreenHal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"GreySeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Skate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HarbSeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Echino""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mollu""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Polych""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Szoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Cet""""";"SCod""""";"RedFish""""";"Cape""""";"LPelaFeed""""";"PiscSPelaFeed""""";"PlankSPelaFeed""""";"Shri""""";"Lzoopl""""";"HarpSeal""""";"LCod""""";"SPlai""""";"LPlai""""";"Flou""""";"LDemFeed""""";"SDemFeed""""";"LCrus""""";"BenthInv""""";"HoodSeal""""";"GreenHal""""";"GreySeal""""";"Skate""""";"HarbSeal""""";"Bird""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"Cet""""";3553,6;34869,57;5481,03;17760310,34;1254,44;1158510,89;7339294,42;2064939,35;60020174,43;15197,53;27987,1;369275,35;27382,29;2770,15;1666,38;2724,84;8133,33;8916,58;219,45;806,47;2956,94;229,8;172,18;731,82;2977,6;26500505,26;11417554,27;166837470,1;1530743577;;1824359642
"SCod""""";87173,92;211667,43;34286,17;97523465,78;48154,76;6440437,65;40244619,44;39205690,35;2533432180;326219,15;351538,26;1972384,57;148092,72;61194,86;49106,61;39753,07;97550,29;691108,56;6251,01;9942,85;94673,47;10045,39;3170,09;26867,31;307016,19;5074276303;2186244385;30280644712;8423561894;;48686149884
"RedFish""""";4795,9;12000,16;1913,08;4641421,69;2377,18;316127,34;1952065,28;1550408,16;95022324,55;18920,93;16238,52;135721,84;10070,79;1338,38;2407,48;1626,98;3501,29;20337,79;270,38;612,98;4185,76;444,41;160,28;1404,31;5691,78;184407227,5;79451514,53;1102279467;401765667;;1871630243
"Cape""""";31080543,1;68266426,04;9282843,37;874678790,4;9720498,1;344360325,4;1362821432;8161463752;6,23529E+11;160809370,4;88661606,82;1228732214;92651707,19;6066266,67;9133521,04;7588967,37;26646069,63;4536304,16;1507148,5;5350242,52;23647036,62;1675206,91;667427,97;7840211,77;549114,99;1,39258E+12;5,99965E+11;8,33001E+12;1,08643E+11;;1,10673E+13
"LPelaFeed""""";1254,44;19261,9;2716,78;5554570,34;580,68;393193,07;2428200,35;821533,64;30236495,21;7140,68;18766,86;274969,05;20969,1;4612,73;476,91;1811,98;9422,49;5675,47;105,07;497,3;1431,63;103,57;56,47;195,47;4056,04;34247449,89;14754761,35;210616153,1;484290168,7;;783716630,3
"PiscSPelaFeed""""";2027394,06;4508306,36;632254,67;344360325,4;688087,88;39115520,39;199415988,4;552634793,2;40743741023;10122191,99;5889764,98;76055734,93;5726671,55;405176,3;658638,03;516245,42;1674002,42;1426028,86;100230,76;335032,07;1570806,58;120456,87;46923,32;523859,26;334872,6;89223144574;38440300324;5,33636E+11;31608095341;;7,34901E+11
"PlankSPelaFeed""""";18348236,04;40244619,44;5577329,37;1946887760;6070500,87;284879983,4;1349435759;4921545341;3,68748E+11;92770843,82;52734693,31;698205458,8;52610556,15;3606995,37;5765934,03;4578005,17;15291712,83;9181490,69;899666,7;3073313,26;14116415,33;1056790,54;412573,59;4706979,38;1977946,77;8,14703E+11;3,51001E+11;4,87279E+12;1,86095E+11;;6,60287E+12
"Shri""""";5678583,22;43126259,38;4872711,37;12825157325;2259217,5;868426103,7;5413699876;2735596302;1,3967E+11;30631160,48;85652990,9;464377581,3;41276809,03;89298412,75;2087410,27;3954528,27;122482763;2685013,91;259017,26;1196069,44;4062677,61;604945,71;118696,27;1348056,44;630314,5;2,34867E+11;1,01189E+11;1,40933E+12;1,14144E+12;;3,04924E+12
"Lzoopl""""";135045392,5;2280088962;244343120,3;8,0168E+11;68032114,22;52384809886;3,31873E+11;1,14276E+11;4,35421E+12;814005999;4870473981;21260128735;2009391122;5728882741;60585248,5;196704953,4;7732858575;15608214,36;5251094,22;38724394,23;82340352,92;25461068,39;2376975,86;27304015,56;304858,83;4,87173E+12;2,0989E+12;2,94364E+13;7,12024E+13;;1,13309E+14
"HarpSeal""""";26595,67;228353,4;37841,86;160809370,4;12496,19;10122191,99;64939590,67;19492556,67;633115777;71208,26;181703,77;1626301,28;118019,91;54779,42;18569,51;17472,18;72109,55;136852,26;1781,52;3438,8;22940,51;2526,72;1620,48;6799,76;38102,3;436923138,6;188251700,4;2639220966;13812073026;;17967627831
"LCod""""";62970,97;316384,43;41756,19;113993494,5;42225,44;7572554,98;47461223,98;70079719,82;4870473981;233619,13;492618,64;3416221,03;242731,92;279424,66;42461,21;62050,44;312282,56;974369,84;9784,79;8522,9;128927,57;12922,67;2949,99;19934,31;855268,66;10208897539;4398314833;60880116853;9883862735;;90488330363
"SPlai""""";692391,29;1479288,43;290832,51;1316498800;515566,97;81488287,43;523654094,1;316621078,2;17716773946;1742465,66;2846850,86;2004863,4;119034,29;242938,55;539431,57;355681,2;297441,65;8637864,32;53098,86;41935,61;826708,18;105570,51;32076,22;246717,89;3194953,8;31554314924;13595829035;1,88043E+11;1,12989E+11;;3,66162E+11
"LPlai""""";30805,08;66641,72;12948,16;59561811,77;23590,24;3681431,71;23674750,27;16885967,33;1004695561;75869,94;121365,96;71420,58;4221,28;10488,57;24287,2;16998,13;11978,68;389895,97;3090,23;1800,1;43624,01;5545,17;1451,48;11050,04;246042,45;1882585128;811115949;11216678690;5110662491;;20130714895
"Flou""""";5886,57;52015,63;3250,35;7366180,96;9802,06;491999,79;3065946,07;69003318,95;5410611478;66517,87;263901,07;275330,35;19811,75;30949,39;6058,62;63519,67;42290,52;1400605,9;11695,68;810,62;141828,31;11211,5;666,94;2852,98;1671060,2;12067416799;5198990449;71878928159;636962367;;95276916764
"LDemFeed""""";2707,87;31919,3;4471,04;8481126,68;774,97;611592,45;3747857,12;1233469,7;43756012,81;17243,12;30666,43;467507,36;35081,51;4633,06;569,86;3073,03;12287,57;9753,58;235,06;968;3306,31;133,87;93,95;422,55;8542,42;46999892,95;20248453,5;291345434,7;740234250;;1157292481
"SDemFeed""""";6471,48;37765,42;4416,1;10299312,86;4303,44;700618,78;4349104,91;3415274,42;207633006,4;23712,25;65497,69;450529,52;35884,95;70992,58;4491,35;5782,63;78719,78;72003,56;665,93;965,13;9415,71;1073,14;293,32;2039,57;37210,49;402108438,5;173247400,6;2403375397;903383081,6;;4109423869
"LCrus""""";16266,66;78040,24;8002,94;30452651,01;18844,98;1913145,62;12233370,26;89078373,08;6873652067;82410,91;277584,5;317271,09;21295,44;39802,84;15123,16;66290,34;49118,48;1416314,41;13398,31;1249,44;159859,84;14250,35;1235,63;6678,31;1821432,2;15201451126;6549196982;90548703227;2617698129;;1,21929E+11
"BenthInv""""";14489,44;449220,57;37770,17;4212282,43;9222,63;1324169,66;5967968,95;1586599,13;11272599,26;127077,1;703711,55;7486149,08;563183,07;1071051,57;9753,58;49265,6;1150755,46;97252,18;2503,39;9791,24;32743,13;3845,92;667,91;2236,89;47679,41;10677218,44;4574006,64;190169846,5;669882735,8;;911535796,7
"HoodSeal""""";219,45;2500,41;309,01;861227,71;105,07;57274,72;359866,68;94188,09;2333819,65;1018,01;4348,8;28319,39;2746,87;5503,85;144,65;280,39;6699,15;1540,55;16,16;54,29;231,87;31,67;10,55;48,86;561,34;1189,24;721,85;560896,14;75458902,65;;79782777,08
"GreenHal""""";907,28;4474,28;788,12;3439441,62;559,46;215377,76;1382990,96;489301,13;19362197,11;2210,66;4261,45;25161,36;1800,1;429,15;670,16;457,16;702,81;6778,55;61,07;79,82;863,74;109,46;48,89;280,26;1981,88;22319948,94;9617048,73;133575305,2;295248334,8;;485702572
"GreySeal""""";5174,65;66271,43;8371,52;23647036,62;2505,36;1570806,58;9881490,73;2585340,3;64042496,72;22940,51;100277;771594,3;67859,56;116799,79;3560,64;6937,89;139877,36;35261,83;405,77;1343,59;5593,04;710,84;273,8;1117,2;12730,2;31224,5;16720,01;15342396,91;2063329501;;2181816620
"Skate""""";201,08;3515,89;444,41;837603,45;90,62;60228,43;369876,69;192482,73;9901526,6;1263,36;5025,48;49266,24;4312,91;4616,5;72,08;395,37;6234,53;2070,88;27,71;85,14;355,42;28,48;9,89;28,86;1890,76;17133274,04;7381578,38;103160449,8;73975429,05;;213092384,8
"HarbSeal""""";150,66;1109,53;160,28;333713,98;49,41;23461,66;144400,76;37767;924379,5;810,24;1147,22;14968,9;1128,93;274,62;50,59;108,06;540,59;359,64;9,23;38,03;136,9;9,89;5,04;31,85;155,88;55840,63;24099,4;700004,72;29040980,47;;31305893,61
"Bird""""";914,78;13433,66;2006,15;5600151,27;244,34;374185,19;2353489,69;612752,93;15168897,53;4856,97;11074,62;164478,59;12277,82;1678,23;325,04;1073,46;4173,95;1720,69;61,07;311,4;798;41,23;45,5;127,12;1004;58820,34;25087,73;4293599,83;484136267,5;;512843898,6
"Echino""""";2605,4;107455,67;5691,78;274557,5;3549,03;167436,3;692281,37;200554,61;118556,21;19051,15;332604,48;1490978,44;191366,35;688083,61;4599,77;13709,13;796876,59;25673,53;491,18;1541,46;6365,1;1890,76;155,88;702,8;16029,99;48347,09;21645;17462814,89;173067235;;195762850,1
"Mollu""""";26500505,26;2029710521;210751117,1;7,95757E+11;34247449,89;50984654043;3,25881E+11;85406271698;2,16521E+12;249670364,9;4537287795;16828967959;1673409003;5678784376;28923011,05;169308816,2;7600725563;6570595,96;1189,24;19839954,61;17842,57;19580884,62;63817,87;47056,27;55253,82;78882477,07;41878949,8;2,92876E+11;7,05641E+13;;7,43195E+13
"Polych""""";17126331,4;1311746631;136202596,3;5,14256E+11;22132142,03;32948828849;2,106E+11;55193753801;1,39927E+12;161358600,4;2932209889;10876663228;1081487932;3669875611;18690880,15;109419410,9;4911897737;4222159,98;1082,77;12822731,65;14331,43;12654134,37;41313,26;30105,27;37105,72;62818424,7;32152818,52;1,8936E+11;4,56019E+13;;4,80289E+13
"Szoopl""""";208546837,6;15140322356;1574684952;5,95001E+12;263270191,4;3,81169E+11;2,4364E+12;6,40604E+11;1,63535E+13;1885157833;33822287141;1,25362E+11;12462976322;42281722446;224111872,9;1264934419;56592939517;146284497,3;701120,17;148417005,8;10958854,94;147372071,1;1000006,75;4293599,83;24946878,42;3,66094E+11;1,578E+11;4,36016E+12;5,27548E+14;;5,58486E+14
"Phyto""""";956714735,6;2105890474;286975476,4;38801148388;302681355,4;11288605479;46523855974;2,59418E+11;1,97785E+13;4932883223;2745517427;37663158865;2839256939;187341872,6;284705480,8;237732389,9;818030665,4;257647206,1;47161814,16;164026852,7;736903393,2;52839592,18;20743557,48;242068133,8;123619453,6;4,41026E+13;1,90008E+13;2,63774E+14;4,35802E+12;;3,51425E+14
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"Cet""""";"SCod""""";"RedFish""""";"Cape""""";"LPelaFeed""""";"PiscSPelaFeed""""";"PlankSPelaFeed""""";"Shri""""";"Lzoopl""""";"HarpSeal""""";"LCod""""";"SPlai""""";"LPlai""""";"Flou""""";"LDemFeed""""";"SDemFeed""""";"LCrus""""";"BenthInv""""";"HoodSeal""""";"GreenHal""""";"GreySeal""""";"Skate""""";"HarbSeal""""";"Bird""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"BenthInv""""";0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0;0,03;0,02;0,02;0;0,02;0,02;0,03;0,03;0,03;0,03;;0,83
"Bird""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0;0;0;0,02;0,02;0,02;0,02;0,02;;0,43
"Cape""""";0,03;0,1;0,07;0;0,03;0,14;0,19;0,17;0,22;0,1;0,1;0,14;0,09;0,09;0,03;0,09;0,1;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,19;0,19;0,22;0,22;;2,67
"Cet""""";0;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,03;0,03;0,03;0,03;;0,83
"Echino""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0;0;0,02;0;0,02;0,02;0,02;0,02;;0,43
"Flou""""";0,03;0,09;0,07;0,09;0,03;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0;0,03;0,09;0,09;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,05;0,05;0,09;0,09;;1,62
"GreenHal""""";0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0;0,02;0,02;0;0,02;0,02;0,03;0,03;0,03;0,03;;0,83
"GreySeal""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0;0;0;0,02;0,02;0,02;0,02;0,02;0,02;;0,43
"HarbSeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HarpSeal""""";0,03;0,1;0,07;0,1;0,03;0,1;0,1;0,1;0,1;0;0,1;0,1;0,09;0,09;0,03;0,09;0,09;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,07;0,07;0,1;0,1;;1,83
"HoodSeal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LCod""""";0,03;0,1;0,07;0,1;0,03;0,1;0,1;0,1;0,1;0,1;0;0,1;0,09;0,09;0,03;0,09;0,09;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,07;0,07;0,1;0,1;;1,83
"LCrus""""";0,03;0,09;0,07;0,1;0,03;0,1;0,1;0,1;0,1;0,09;0,09;0,1;0,09;0,09;0,03;0,09;0;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,07;0,07;0,1;0,1;;1,79
"LDemFeed""""";0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,03;0,03;0,03;0,03;;0,83
"LPelaFeed""""";0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,03;0,03;0,03;0,03;;0,83
