TI3;"Rast""""";"Scomber""""";"Caran""""";"Lpisc""""";"Cepha""""";"Tuna""""";"Mamm""""";"Zoopl""""";"Jpela""""";"Phyto""""";"Spela""""";"Sha""""";"Shri""""";"TraFish""""";"Sdem""""";"Lutja""""";"PonyFish""""";"Benth""""";"Pomf""""";"Nemi""""";"FalTrev""""";"SergShri""""";"Jcaranx""""";"Scian""""";"Saur""""";"Plecto""""";"Silla""""";"DemPisc""""";"DemBenth""""";"Jsaur""""";"Jnemi""""";"Ari""""";"Pria""""";"ShellFish""""";"Ray""""";"Cucu""""";"CrabLobs""""";"Jelly""""";;SUM;;
"Phyto""""";0,05;0,02;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,03;0,05;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,08;0,01;0;0,01;0,02;;0,62;;
"Plecto""""";0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,08;0,01;0,01;0,02;0;;0,58;;
"Pomf""""";0,02;0,02;0,02;0,04;0,01;0,04;0,02;0,03;0,01;0,02;0,06;0,04;0,04;0,04;0,04;0,02;0,01;0,03;0,03;0,06;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0,02;0,02;;0,90;;
"PonyFish""""";0,01;0,01;0,04;0,02;0,04;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,03;0,03;0,01;0,01;0,01;0,02;0,02;0,05;0,06;0,01;0,02;0,04;0,05;0,02;0,02;0,02;0,07;0,01;0,01;0;0,02;0,02;;0,85;;
"Pria""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,04;0,05;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,04;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,02;;0,63;;
"Rast""""";0,04;0,06;0,04;0,03;0,04;0,03;0,06;0,04;0,08;0,07;0,03;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,02;0;0;0,01;0,02;;0,89;;
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0,01;0;0,02;0;0,01;0;0;0;0;0;0,01;0,01;0;0;0;0;0,01;0,01;0;0,12;0,46;0,01;0;;0,75;;
"Saur""""";0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,04;0,03;0,01;0,05;0,03;0,01;0,01;0,01;0,02;0,01;0,02;0,03;0,01;0,01;0,02;0,05;0,01;0,01;0,06;0,02;0,02;0,01;0;0,02;0;;0,74;;
"Scian""""";0,02;0,02;0,02;0,03;0,03;0,03;0,02;0,03;0,08;0,01;0,01;0,01;0,03;0,04;0,04;0,02;0,06;0,03;0,02;0,02;0,03;0,06;0,09;0,04;0,02;0,01;0,02;0,02;0,02;0,11;0,11;0,02;0,02;0,01;0,01;0,01;0,02;0,02;;1,20;;
"Scomber""""";0,06;0,03;0,05;0,02;0,03;0,02;0,03;0,03;0,02;0,02;0,06;0,04;0,03;0,04;0,04;0,02;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;;0,82;;
"Sdem""""";0,03;0,06;0,05;0,05;0,03;0,04;0,07;0,04;0,02;0,02;0,03;0,05;0,05;0,03;0,04;0,06;0,03;0,04;0,06;0,03;0,02;0,07;0,02;0,05;0,06;0,03;0,03;0,05;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,01;0,02;0,02;;1,39;;
"SergShri""""";0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,02;0,01;0,04;0,04;0,01;0,03;0,01;0,01;0,06;0,03;0,03;0,05;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,06;0,02;0,02;0,01;0;0,01;0,02;;0,78;;
"Sha""""";0,02;0,06;0,05;0,05;0,02;0,04;0,02;0,02;0,01;0,02;0,02;0,04;0,05;0,05;0,05;0,05;0,02;0,04;0,06;0,03;0,01;0,02;0,01;0,02;0,03;0,09;0,03;0,05;0,06;0,01;0,01;0,07;0,03;0,04;0,02;0,01;0,03;0,01;;1,29;;
"ShellFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,07;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,07;0,01;0,01;0,04;0,01;0,01;0,06;0,01;0,04;0,01;0;0,01;0,02;;0,56;;
"Shri""""";0,02;0,06;0,05;0,03;0,04;0,03;0,03;0,04;0,02;0,02;0,02;0,06;0,05;0,03;0,06;0,07;0,03;0,05;0,06;0,08;0,02;0,03;0,02;0,05;0,03;0,09;0,09;0,06;0,06;0,03;0,03;0,08;0,08;0,04;0,17;0,12;0,03;0,02;;1,93;;
"Silla""""";0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,04;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0;;0,52;;
"Spela""""";0,03;0,06;0,04;0,04;0,02;0,03;0,06;0,04;0,02;0,07;0,04;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,05;0,02;0,07;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0;0,01;0,02;;0,89;;
"TraFish""""";0,03;0,07;0,05;0,05;0,05;0,02;0,07;0,04;0,02;0,08;0,03;0,05;0,03;0,04;0,03;0,06;0,04;0,04;0,06;0,03;0,02;0,03;0,02;0,05;0,07;0,03;0,03;0,05;0,06;0,03;0,03;0,03;0,08;0,03;0,02;0;0,03;0,03;;1,52;;
"Tuna""""";0,07;0,03;0,05;0,06;0,06;0,06;0,03;0,04;0,1;0,03;0,07;0,06;0,03;0,03;0,05;0,03;0,03;0,03;0,07;0,07;0,09;0,03;0,11;0,04;0,03;0,09;0,09;0,05;0,06;0,12;0,12;0,02;0,02;0,03;0,01;0;0,15;0,02;;2,08;;
"Zoopl""""";0,09;0,08;0,06;0,04;0,07;0,04;0,09;0,07;0,11;0,11;0,09;0,03;0,05;0,06;0,06;0,04;0,07;0,05;0,07;0,07;0,1;0,08;0,12;0,05;0,03;0,03;0,02;0,03;0,03;0,13;0,13;0,03;0,08;0,1;0,02;0,01;0,02;0,39;;2,77;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Rast""""";"Scomber""""";"Caran""""";"Lpisc""""";"Cepha""""";"Tuna""""";"Mamm""""";"Zoopl""""";"Jpela""""";"Phyto""""";"Spela""""";"Sha""""";"Shri""""";"TraFish""""";"Sdem""""";"Lutja""""";"PonyFish""""";"Benth""""";"Pomf""""";"Nemi""""";"FalTrev""""";"SergShri""""";"Jcaranx""""";"Scian""""";"Saur""""";"Plecto""""";"Silla""""";"DemPisc""""";"DemBenth""""";"Jsaur""""";"Jnemi""""";"Ari""""";"Pria""""";"ShellFish""""";"Ray""""";"Cucu""""";"CrabLobs""""";"Jelly""""";;SUM;;
"Ari""""";3036555,84;877,96;53081,62;328;577341,75;1012,27;241606,9;6152079596;1493068,45;3074396671;7502616,19;189,98;121091,36;8414558,86;432136,52;807,02;186786,72;453993159,8;6271,21;94164,16;7522,68;218755,07;641238,6;1767,68;8827,28;83,49;666,84;3697,05;18504,18;557148,96;671897,19;743,55;199017,43;23918952,64;514,86;39,19;166184,75;296124464,4;;10025171947,02;thresold;47029130,44
"Benth""""";2,2616E+11;110791577,3;6805471983;2043033,29;76529583178;1444569,69;35539495226;5,41196E+13;2,0024E+11;4,14259E+14;5,71792E+11;26497698,26;18295008115;2,04608E+11;61554008571;27313310,26;26773021799;7,12309E+12;854552052,7;14074123852;994467403,5;32915443525;85984239756;311297811,2;520107795,9;232717845,4;1807741037;110907157,3;5148217502;74714426302;90104007872;1491691811;27011073848;3,03729E+11;1368024753;31,2;6,31445E+11;3,9715E+13;;517918462718455,00;;47029130,44
"Caran""""";15106224,58;588,24;37116,92;1484,8;189740,21;1479,66;632189,6;62484160972;469406,08;1091726297;36260797,41;2034,9;205653,34;76404052,47;441630,43;2694,34;189756,23;4142461207;6745,6;138448,76;3821,81;375853,05;199770,65;23692,34;44645,38;16531,63;128669,2;10483,53;369113,61;172713,36;208111,89;106163,24;201306,21;235058569,1;97316,02;8,25;44881356,49;91351035,43;;68221687680,94;;
"Cepha""""";200029529,7;3535,19;230398,83;15019,57;156435,57;14001,49;7028323,78;8,55547E+11;299380,12;2306285917;478953418,4;25852,69;2240111,95;1041566364;4054298,68;31586,36;1766070,5;56565344088;63498,6;1460993,14;18126,32;4109307,57;107519;307223,6;556277;218651,55;1700783,14;124968,11;4838894,83;83499,39;98745,26;1402115,67;1875563,04;3215328710;1287096,42;1,81;593780399,1;39344190,02;;920021414834,47;;
"CrabLobs""""";550982699,6;158776,11;9617433,53;55857,83;104784776,3;182857,68;43510919,37;1,11586E+12;270992580;5,57956E+11;1361375012;31550,49;21855477,18;1525932190;78256128,06;140446,08;33812576,73;82362343396;1133931,74;17025664;1365438,5;39420333,15;116371243,9;300639,61;1494616,12;5251,66;43435,68;636518,51;3145544,34;101120070,9;121948305,8;71222,03;36015095,87;4338540636;35255,1;6992,97;3402703,46;53750283554;;1818715465804,67;;
"Cucu""""";0;0;0,59;0;0,11;0;20,29;970,93;0;7439,61;0;0,11;8,73;35,42;15,74;0,12;6,79;1,36;0,23;5,86;0;15,66;0;1,26;1,83;0,87;6,79;0,5;19,31;0;0;5,6;7,28;0;5,3;0,11;2330,99;0;;10901,40;;
"DemBenth""""";16467712,35;4760,88;290017,83;1785,46;3131049,6;5488,92;1403159;33370203981;8096179,32;16705227437;40688250,95;1479,84;696344,02;45797428,19;2414714,31;4805,65;1043853,95;2462190979;35001,02;536544,39;40791,22;1256772,49;3476990,03;14784,26;56347,55;4361,14;34066,52;21893,66;186826,09;3021119,69;3643355,81;29078;1111087,04;129723861;25829,56;212,46;11533662,57;1605770633;;54418192643,88;;
"DemPisc""""";529120,66;179,41;11232,36;170;110265,98;196,76;73697,44;974054570,1;277667,57;581240759,8;1315035,05;215,03;34814,99;1412096,14;104869,7;409,97;44641,15;72330754,74;1479,06;25400,91;1467,3;62551,47;119440,31;2104,84;4665,54;1186,32;9366,04;1473,12;29854,99;103653,48;124971,75;7922,26;47034,61;3802909,27;6976,56;7,5;3182592,55;55014872,33;;1694090627,10;;
"FalTrev""""";1088072,97;30,21;1910,91;86,56;7463,78;76,81;39928,94;4573291696;18341,78;46563234,16;2608972,78;140,06;13362,14;5579595,25;26838,65;173,61;11576,64;302663992,4;406,02;8879,06;177,01;24684,53;7781,22;1651,32;3076,68;1173,29;9125,82;684,74;25958,05;6675,4;8033,53;7522,68;12098,05;17195804,57;6906,09;0;3186023,16;3504858,29;;4955927012,67;;
"Jcaranx""""";66047509,64;1052,62;71346,66;4561,69;31623,24;4312,32;2253953,47;2,82731E+11;45969,98;651289606,7;158135172,5;8387,09;726915,82;344134224;1309769,52;10071,02;569926,16;18692226034;20383,54;474106,95;5558,01;1329885,46;12569,64;100181,79;178283,51;71422,55;555522,13;39813,44;1580450,01;8235,89;9407,97;458027,57;604671,08;1062543024;420425,74;0;193952073,2;3024722,93;;303913557948,02;;
"Jelly""""";6099922641;96220,09;6525073,96;419902,32;2314364,12;397717,13;207922038,8;2,61184E+13;2948532,73;57504177470;14604589466;774300,43;67047094,74;31789773067;120537902,2;925811,97;52482075,1;1,72674E+12;1876478,06;43714288,73;500694,04;122661882,3;604944,59;9238098,08;16440108,5;6597708,7;51316565,61;3667658,16;145979148,4;278150,04;287135,55;42303494,91;55634119,41;98155746087;38837092,58;0;17916761185;23188405,8;;28072202067958,60;;
"Jnemi""""";55362158,19;877,02;59460,54;3816,44;23234,18;3611,75;1888005,89;2,37024E+11;31511,14;531600013,5;132550345,7;7028,85;608843,49;288495581,7;1095573,43;8419,4;476892,76;15670262239;17053,55;397017,58;4590,59;1113876,41;7526,38;83900,89;149311,88;59875,85;465711,29;33325,8;1324856,66;4291,56;4736,63;383941,25;505721,27;890765788;352456,45;0;162597741;1148542,2;;254766056619,86;;
"Jpela""""";184625362,2;2965,48;201174,03;12729,63;105663,57;12054,35;6303809,25;7,90098E+11;175052,61;1915870896;442051501,9;23432,6;2035042,15;961722673,3;3673346,08;28060,71;1598375,54;52236605166;57121,58;1327752,32;15721,53;3723017,71;55163,97;279677,23;497705,91;199584,16;1552349,01;111067,03;4416097,81;40411,37;47266,71;1279772,96;1694350,42;2969320072;1174836,26;0;541985159,9;17691196,36;;849398425894,35;;
"Jsaur""""";45907278,09;727,88;49346,67;3165,59;19646,91;2995,29;1565726,73;1,96541E+11;26940,92;442468538,5;109913232;5828,68;504920,5;239221433,4;908739,68;6984,4;395545,54;12993813270;14145,01;329260,43;3814,52;923750,49;6588,71;69581,83;123829,71;49649,4;386170,62;27640,93;1098588,98;3860,43;4291,56;318370,84;419488,39;738624381,5;292258,95;0;134826761,2;1112600,17;;211254143414,53;;
"Lpisc""""";44894,69;25,64;1802,97;28,55;15019,57;15,82;9281,45;13198687,24;36067,29;75109707,92;116086,37;26,31;4157,29;47044,96;13707,81;50,54;5516,3;1510068,08;187,05;3064,12;210,22;7564,39;15509,74;244,84;575,23;119,04;938,21;192,66;2759,34;13453,76;16219,87;796,58;5797,06;67428,11;697,01;0;316527,68;7138339,41;;97702813,12;;
"Lutja""""";105968,58;37,15;2309,44;35,67;22296,25;39,7;14568,56;191819939,1;56121,41;117117357,2;263633,78;39,38;6764,01;278350,4;20604,61;87,36;8785,52;14250422,74;294,43;4914,05;297,62;12307,76;24170,45;391,38;1026,03;208,31;1642,23;327,97;5242,53;20953,19;25258,21;1383,47;9315,42;749711,55;1228,1;1,43;561784,34;11109743,64;;336497563,05;;
"Mamm""""";52017388,54;5574,53;361251,2;4367,74;3307446,49;7023,93;2659038,94;1,83399E+11;8405079;17637063043;126059147;5962,42;1110877,11;228780497,5;3264159,28;9712,37;1389279,16;12361563557;46790,7;809649,02;45633,08;2012217,06;3606325,55;67364,21;142999,59;42835,06;333464,3;39305,3;1020479,27;3131453,45;3776011,77;276122,17;1459920,33;693649619,9;252189,39;162,32;116029118,3;1663376310;;216314661617,74;;
"Nemi""""";18985017,79;1278,46;79113,58;1441,94;687526,18;2201,24;809649,02;73201242507;1770336,42;3775252151;45728907,71;2175,19;312113,47;90190005,3;814399,2;3276,03;352935,48;4895347427;12135,07;221490,44;10147,5;567308,3;758571,12;25375,63;51593,95;16745,59;130271,28;13547,15;390214,1;658520,87;794035,16;107616,19;375293,78;276041564,3;98599,8;46,92;45401770,66;349714309,9;;82706971619,92;;
"Phyto""""";3,83425E+11;7007647,84;467882698,8;26509308,68;813983264,8;25937657,36;13227797283;1,63378E+15;1915870896;7,14801E+12;9,18275E+11;48426819,27;4315533470;1,98962E+12;8007609483;58558678,62;3484828029;1,08068E+14;124118007;2831439114;39911343,57;7891601913;781547528,1;577284350,7;1033472948;410951232,7;3196370269;232496303,9;9111942238;663702807,7;797400020,3;2635197146;3695190478;6,14086E+12;2419072145;44637,68;1,11591E+12;3,45025E+11;;1759959093642970,00;;
"Plecto""""";405986,14;117,06;7084,98;42,02;77171,14;134,91;32126,3;822659389,1;199584,16;410951232,7;1003099,13;24,03;16132,86;1124971,04;57689,05;104,16;24928,9;60709003,15;835,98;12559,19;1005,68;29092,72;85707,06;225,34;1116,42;6,84;55,49;474,53;2378,8;74474,1;89813,77;71,56;26546,5;3198436,41;43,34;5,23;10503,31;39586252,19;;1340388425,28;;
"Pomf""""";1404809,64;75,88;4818,29;110,03;37352,12;140,57;58488,38;5576866603;95202,63;206863344,9;3379266,43;176,33;21811,08;6850629,57;53132,56;245,36;22923,87;371544370,7;788,15;15168,83;580,03;39665,83;40767,08;2046,58;3955,99;1393,29;10846,15;986,04;31819,11;35362,52;42633,87;8958,87;24211,59;21008539,93;8202,86;2,34;3779772,46;18764780,65;;6211023983,68;;
"PonyFish""""";39294967,19;1950,32;121986,15;2920,39;934978,5;3871,45;1562939,05;1,57325E+11;2397563,32;5227242044;94452228,09;4683,32;571622,28;192964672,8;1370518,15;6589,14;594207,92;10476399834;20631,48;397052,41;14884,26;1041204,27;1025867,09;55217,94;107343,04;37393,35;290871,23;26784,69;854062,32;889977,46;1073008,7;240154,35;632932,05;592518094,9;220150,25;61,14;101437730,2;472338675,9;;174536080237,58;;
"Pria""""";30939816,34;1597,84;100653,1;2387,02;772290,66;3078,68;1277430,29;1,23429E+11;1976742,15;4311055558;74393503,48;3893,64;473988,48;151531341,9;1135953,52;5434;492280,48;8220761606;16948,11;328382,06;12098,05;862404,28;846539,51;45284,95;88181,07;30970,92;241050,59;21949,49;707055,39;734104,68;885012,23;199017,43;520587,42;464899611,2;182348,85;50,95;84035223,71;389438835,9;;137167541027,36;;
"Rast""""";590468198,2;157945,94;9711144,37;23767,78;105897986,3;21773,74;58519562,11;1,26446E+12;276938043,2;5,75137E+11;1455616513;70545,66;28209780,89;1730276252;90336131,14;79476,44;39294967,19;88497492926;1264328,68;21358145,01;1398950,96;50852073,28;118885517,4;835051,36;1449172,03;608979,2;4733238,31;317472,4;13473582,83;103291375,7;124564855,9;3904143,22;39779763,87;4890733641;3582049,94;0;1652948099;54899303766;;1994411494627,21;;
"Ray""""";1194016,65;344,41;20853,43;123;227134,66;397,12;94571,02;2417449511;587418,13;1209536072;2950214,27;70,51;47495,99;3306491,69;169822,01;307,02;73383,42;178438011,3;2460,86;36974,93;2959,75;85657,23;252255,44;666,01;3283,54;21,67;175,52;1395,31;7044,43;219194,21;264342,33;220,65;78149,51;9399313,96;137,18;15,9;35255,1;116511277,7;;3940997039,81;;
"Saur""""";1288152,92;409,74;25511,65;270,7;261777,41;443,82;142999,59;2439925465;663607,88;1377963931;3195227,28;293,67;69005,82;3451756,42;223916,73;684,02;95416,04;180907059,4;3164,79;51593,95;3516,21;124305,1;285253,61;3096,52;7492,09;1488,57;11729,46;2488,29;40980,04;247659,43;298623,77;10088,33;100778,37;9516000,54;8756,12;14,61;3985643;131520868;;4154439470,36;;
"Scian""""";1020618,32;310,16;18615,41;158,42;198791,74;352,13;92625,79;2013001435;512741,59;1058354643;2524933,13;122,39;45745,15;2786790,87;156218,66;358,77;67488,59;148881561,9;2251,24;34891,5;2594,93;83243,06;220399,94;1142,78;4257,72;413,12;3257,68;1543,55;14784,26;191350,04;230727,44;2777,79;71162,06;7836866,41;2442,03;13,91;1102345,24;101619078,9;;3339089054,20;;
"Scomber""""";157945,94;5,58;378,16;13,58;1871,57;12,1;6271,35;654581794,7;4448,22;10511471,76;379173,06;21,84;2140,26;800317,81;4599,3;27,86;1950,32;43353225,91;68,29;1438,27;38,84;3906,18;1894,71;253,77;460,96;175,59;1366,74;107,64;3895,26;1637,73;1973,3;1128,8;2054,37;2462165,52;1033,23;0,04;476328,33;865980,85;;713631577,72;;
"Sdem""""";150560218,6;7665,49;473175,46;12095,13;3577322,36;15647,76;6120298,65;6,02848E+11;9183365,21;20019023709;361893440,2;18139,38;2200385,19;739446604,8;5263679,94;25755,77;2284196,92;40143918633;79698,84;1526998,5;57511,4;4016872,22;3929308,56;213025,44;419843,87;144222,62;1121865,35;104869,7;3292792,24;3407773,8;4108400,36;926006,83;2434186,12;2270440843;849110,06;236,14;391280640,3;1808068533;;668788565264,72;;
"SergShri""""";45201842,91;3472,16;214773,17;3559,72;1933791,8;5624,97;2012217,06;1,70821E+11;4964023,62;10522135884;108998445,6;5157,45;792158,67;211009049,1;2142331,85;8205,17;925514,91;11448849922;31732,66;567308,3;28210,89;1438776,82;2127816,73;60540,41;124305,1;38790,3;301882,23;33360,78;914016,36;1847500,98;2227752,81;250005,8;985604,9;644607074,1;228419,27;125,26;105120888,4;981295058,2;;194912699621,69;;
"Sha""""";109737,7;33,98;2034,9;21,66;21290,45;40,62;10434,24;218268307,9;54676,07;112995911,6;271473,55;17,04;4998,22;302018,33;16930,09;45,95;7285,16;16129033,73;246,87;3806,59;280,12;9025,54;23483,84;155,77;513,92;56,08;442,15;200,7;1883,43;20400,38;24600,96;379,96;7787,27;849258,51;329,06;1,48;147235,6;10840206,04;;360124585,45;;
"ShellFish""""";2717074245;1367869,73;83949488,97;19831,8;945684914,7;12733,64;433531012,4;3,35941E+11;2474433394;5,11738E+12;6879887930;303306,61;223944467,6;2118279590;756813614,3;312379,81;329176719,4;66028143418;10504269,97;172525977,7;12282717,55;402879421,3;1062543024;3562212;5947500,34;2665363,68;20700842,28;1267636,42;58965391,36;923280476,9;1113457235;17084966,17;332071150,9;2503016981;15665523,26;0;7230901059;4,90779E+11;;6040985689637,09;;
