TI3;"ProdPrim""""";"Copep""""";"PFV""""";"MeioBenth""""";"MacroBenth""""";"Crev""""";"Mul""""";"PetPel""""";"Syng""""";"Gob""""";"Estur""""";"Ang""""";"GPM""""";"PeauD""""";"GraPel""""";"PoiPla""""";;SUM;;;
"GPM""""";2,81894E+15;1,83663E+15;2,42637E+15;9,10871E+13;5,83116E+14;1,62897E+13;9,24207E+12;1,26885E+13;5,54774E+12;2,30003E+13;12953473548;14276130240;72260121272;2050591252;67811547,03;96088191409;;7823111426886840,00;;;
"GraPel""""";11025966136;2,45481E+12;7,6745E+11;1,2372E+11;8,03974E+11;22030121375;13157793278;26019786,24;79969051,87;71429031,4;722410,72;7607611,45;29062091,58;229615,57;4192,14;9187239,2;;4196392209755,76;;;
"MacroBenth""""";7,81326E+18;1,93594E+18;3,85857E+18;5,49708E+16;8,89407E+15;1,04118E+16;2,227E+15;2,71056E+16;1,16182E+16;5,71989E+16;5,07533E+14;3,82535E+14;8,33023E+14;7,95216E+13;2,67991E+12;3,27477E+15;;13785281607957800000,00;;;
"MeioBenth""""";6,02048E+17;2,30917E+17;3,22799E+17;8,34986E+15;2,74854E+16;1,53481E+15;6,12277E+14;2,0887E+15;8,97827E+14;4,40818E+15;3,90574E+13;2,96692E+13;6,50622E+13;6,12228E+12;2,062E+11;2,52098E+14;;1201533384233050000,00;;;
"Mul""""";3,67433E+16;1,09451E+16;1,85937E+16;3,67366E+14;6,681E+14;6,8288E+13;2,01288E+13;1,26558E+14;5,41882E+13;2,66786E+14;2,47497E+12;1,87124E+12;3,96089E+12;3,90108E+11;13157793278;1,60758E+13;;67878276736326400,00;;;
"PeauD""""";4,12135E+12;1,45626E+14;4,78544E+13;7,34674E+12;4,7713E+13;1,30834E+12;7,80217E+11;17174513113;11492654367;31832615504;74822103,36;472856396,9;1757649644;19575954,93;459231,14;806032052,5;;254813183341611,00;;;
"PetPel""""";2,00728E+16;1,05234E+17;2,21026E+16;3,34192E+15;2,16845E+16;5,95556E+14;3,37487E+14;1,95135E+13;4,30222E+12;2,29382E+14;1,40706E+12;2,49843E+11;1,45012E+13;22899350817;69386096,65;30873800909;;173638525474275000,00;;;
"PFV""""";8,60602E+18;1,66516E+19;5,87583E+18;5,16478E+17;3,08686E+18;9,251E+16;4,95832E+16;2,21026E+16;8,85576E+15;7,49372E+16;5,93912E+14;3,26922E+14;2,77299E+15;6,38058E+13;2,04653E+12;2,49267E+15;;34990986098647000000,00;;;
"PoiPla""""";1,64861E+13;4,99694E+15;1,55792E+15;2,52098E+14;1,63739E+15;4,48958E+13;2,6793E+13;19296125568;1,47326E+11;73042658386;2463477148;17402093070;68634422435;671693377,1;15312065,33;27132478606;;8532877356705050,00;;;
"ProdPrim""""";5,88387E+18;2,07058E+19;6,45451E+18;7,22457E+17;4,68795E+18;1,28737E+17;7,34866E+16;1,50546E+16;5,94432E+15;5,88181E+16;2,32134E+14;4,81061E+13;2,41624E+15;4,12135E+12;22051932272;1,97833E+13;;38739397192300500000,00;;;
"Syng""""";1,98144E+15;1,13592E+16;2,21394E+15;3,59131E+14;2,32363E+15;6,39963E+13;3,61255E+13;1,07556E+12;4808722,8;2,31544E+13;1,61249E+11;32723881621;1,58507E+12;3830884789;53312701,24;58930245010;;18363557184046700,00;;;
